2026-02-27 01:30:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-27 01:30:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-27 01:30:07 [INFO] 🔍 Уникальных конфигов собрано: 190
2026-02-27 01:30:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-27 01:30:28 [INFO]    [PING OK] LV | VLESS | 2633ms
2026-02-27 01:30:28 [INFO]    [PING OK] DE | VLESS | 1825ms
2026-02-27 01:30:29 [INFO]    [PING OK] DE | VLESS | 1990ms
2026-02-27 01:30:29 [INFO]    [PING OK] SG | VLESS | 2751ms
2026-02-27 01:30:29 [INFO]    [PING OK] DE | VLESS | 2652ms
2026-02-27 01:30:29 [INFO]    [PING OK] SG | VLESS | 3317ms
2026-02-27 01:30:29 [INFO]    [PING OK] US | VLESS | 2126ms
2026-02-27 01:30:29 [INFO]    [PING OK] SG | VLESS | 2307ms
2026-02-27 01:30:29 [INFO]    [PING OK] NL | VLESS | 2661ms
2026-02-27 01:30:30 [INFO]    [PING OK] TW | VLESS | 2730ms
2026-02-27 01:30:30 [INFO]    [PING OK] KR | VLESS | 3770ms
2026-02-27 01:30:31 [INFO]    [PING OK] TR | VLESS | 583ms
2026-02-27 01:30:33 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для 40 иностранных кандидатов...
2026-02-27 01:30:38 [INFO]    🏆 DE | VLESS | Пинг: 1990ms | Скорость: 5.21 Mbps ⚡⚡
2026-02-27 01:30:38 [INFO]    🏆 DE | VLESS | Пинг: 3489ms | Скорость: 5.42 Mbps ⚡⚡
2026-02-27 01:30:38 [INFO]    🏆 LV | VLESS | Пинг: 2633ms | Скорость: 5.02 Mbps ⚡⚡
2026-02-27 01:30:38 [INFO]    🏆 TR | VLESS | Пинг: 583ms | Скорость: 4.9 Mbps ⚡⚡
2026-02-27 01:30:38 [INFO]    🏆 DE | VLESS | Пинг: 2823ms | Скорость: 5.23 Mbps ⚡⚡
2026-02-27 01:30:38 [INFO]    🏆 DE | VLESS | Пинг: 3740ms | Скорость: 5.16 Mbps ⚡⚡
2026-02-27 01:30:38 [INFO]    🏆 US | VLESS | Пинг: 2126ms | Скорость: 4.86 Mbps ⚡⚡
2026-02-27 01:30:38 [INFO]    🏆 DE | VLESS | Пинг: 2652ms | Скорость: 4.88 Mbps ⚡⚡
2026-02-27 01:30:38 [INFO]    🏆 DE | VLESS | Пинг: 1825ms | Скорость: 4.58 Mbps ⚡⚡
2026-02-27 01:30:39 [INFO]    🏆 SG | VLESS | Пинг: 2751ms | Скорость: 4.66 Mbps ⚡⚡
2026-02-27 01:30:39 [INFO]    🏆 SG | VLESS | Пинг: 2307ms | Скорость: 4.54 Mbps ⚡⚡
2026-02-27 01:30:39 [INFO]    🏆 SG | VLESS | Пинг: 3317ms | Скорость: 4.51 Mbps ⚡⚡
2026-02-27 01:30:39 [INFO]    🏆 TW | VLESS | Пинг: 2730ms | Скорость: 4.01 Mbps ⚡⚡
2026-02-27 01:30:42 [INFO]    🏆 PL | VLESS | Пинг: 4006ms | Скорость: 6.58 Mbps ⚡⚡
2026-02-27 01:30:42 [INFO]    🏆 DE | VLESS | Пинг: 3913ms | Скорость: 6.49 Mbps ⚡⚡
2026-02-27 01:30:42 [INFO]    🏆 IT | VLESS | Пинг: 4281ms | Скорость: 6.75 Mbps ⚡⚡
2026-02-27 01:30:42 [INFO]    🏆 PL | VLESS | Пинг: 3801ms | Скорость: 6.42 Mbps ⚡⚡
2026-02-27 01:30:42 [INFO]    🏆 PL | VLESS | Пинг: 4230ms | Скорость: 6.56 Mbps ⚡⚡
