2026-02-23 13:50:06 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-23 13:50:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-23 13:50:08 [INFO] 🔍 Уникальных конфигов собрано: 220
2026-02-23 13:50:08 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-23 13:50:14 [INFO]    [PING OK] CZ | VLESS | 4716ms
2026-02-23 13:50:15 [INFO]    [PING OK] PL | VLESS | 4112ms
2026-02-23 13:50:15 [INFO]    [PING OK] ES | VLESS | 4147ms
2026-02-23 13:50:15 [INFO]    [PING OK] HU | VLESS | 4159ms
2026-02-23 13:50:18 [INFO]    [PING OK] HU | VLESS | 3977ms
2026-02-23 13:50:18 [INFO]    [PING OK] HU | VLESS | 4333ms
2026-02-23 13:50:18 [INFO]    [PING OK] IT | VLESS | 4317ms
2026-02-23 13:50:18 [INFO]    [PING OK] TR | VLESS | 3994ms
2026-02-23 13:50:18 [INFO]    [PING OK] ES | VLESS | 4114ms
2026-02-23 13:50:19 [INFO]    [PING OK] ES | VLESS | 3717ms
2026-02-23 13:50:19 [INFO]    [PING OK] ES | VLESS | 4024ms
2026-02-23 13:50:19 [INFO]    [PING OK] IT | VLESS | 3772ms
2026-02-23 13:50:19 [INFO]    [PING OK] ES | VLESS | 3992ms
2026-02-23 13:50:19 [INFO]    [PING OK] US | VLESS | 5239ms
2026-02-23 13:50:19 [INFO]    [PING OK] TR | VLESS | 3903ms
2026-02-23 13:50:19 [INFO]    [PING OK] ES | VLESS | 3594ms
2026-02-23 13:50:19 [INFO]    [PING OK] HU | VLESS | 3770ms
2026-02-23 13:50:20 [INFO]    [PING OK] PL | VLESS | 3648ms
2026-02-23 13:50:20 [INFO]    [PING OK] DE | VLESS | 4342ms
2026-02-23 13:50:21 [INFO]    [PING OK] PL | VLESS | 3875ms
2026-02-23 13:50:21 [INFO]    [PING OK] PL | VLESS | 4058ms
2026-02-23 13:50:21 [INFO]    [PING OK] FI | VLESS | 4424ms
2026-02-23 13:50:22 [INFO]    [PING OK] TR | VLESS | 4626ms
2026-02-23 13:50:22 [INFO]    [PING OK] HU | VLESS | 4668ms
2026-02-23 13:50:23 [INFO]    [PING OK] IT | VLESS | 4583ms
2026-02-23 13:50:23 [INFO]    [PING OK] ES | VLESS | 5024ms
2026-02-23 13:50:24 [INFO]    [PING OK] PL | VLESS | 5338ms
2026-02-23 13:50:25 [INFO]    [PING OK] SE | VLESS | 6005ms
2026-02-23 13:50:25 [INFO]    [PING OK] SE | VLESS | 5560ms
2026-02-23 13:50:26 [INFO]    [PING OK] DE | VLESS | 6013ms
2026-02-23 13:50:26 [INFO]    [PING OK] NL | VLESS | 5888ms
2026-02-23 13:50:26 [INFO]    [PING OK] SE | VLESS | 6190ms
2026-02-23 13:50:26 [INFO]    [PING OK] DE | VLESS | 5602ms
2026-02-23 13:50:27 [INFO]    [PING OK] SE | VLESS | 5437ms
2026-02-23 13:50:28 [INFO]    [PING OK] SE | VLESS | 5381ms
2026-02-23 13:50:28 [INFO]    [PING OK] SE | VLESS | 4927ms
2026-02-23 13:50:29 [INFO]    [PING OK] DE | VLESS | 4364ms
2026-02-23 13:50:29 [INFO]    [PING OK] DE | VLESS | 4586ms
2026-02-23 13:50:29 [INFO]    [PING OK] SE | VLESS | 2909ms
2026-02-23 13:50:30 [INFO]    [PING OK] SE | VLESS | 1621ms
2026-02-23 13:50:30 [INFO]    [PING OK] SE | VLESS | 3518ms
2026-02-23 13:50:30 [INFO]    [PING OK] SE | VLESS | 1817ms
2026-02-23 13:50:34 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для 40 иностранных кандидатов...
2026-02-23 13:50:37 [INFO]    🏆 SE | VLESS | Пинг: 1817ms | Скорость: 8.84 Mbps ⚡⚡
2026-02-23 13:50:38 [INFO]    🏆 IT | VLESS | Пинг: 3772ms | Скорость: 6.5 Mbps ⚡⚡
2026-02-23 13:50:38 [INFO]    🏆 ES | VLESS | Пинг: 4024ms | Скорость: 6.63 Mbps ⚡⚡
2026-02-23 13:50:38 [INFO]    🏆 PL | VLESS | Пинг: 3648ms | Скорость: 6.22 Mbps ⚡⚡
2026-02-23 13:50:38 [INFO]    🏆 TR | VLESS | Пинг: 3994ms | Скорость: 6.55 Mbps ⚡⚡
2026-02-23 13:50:38 [INFO]    🏆 TR | VLESS | Пинг: 3903ms | Скорость: 6.23 Mbps ⚡⚡
2026-02-23 13:50:38 [INFO]    🏆 PL | VLESS | Пинг: 3875ms | Скорость: 6.23 Mbps ⚡⚡
2026-02-23 13:50:39 [INFO]    🏆 ES | VLESS | Пинг: 3992ms | Скорость: 5.84 Mbps ⚡⚡
2026-02-23 13:50:40 [INFO]    🏆 PL | VLESS | Пинг: 4058ms | Скорость: 9.79 Mbps ⚡⚡
2026-02-23 13:50:40 [INFO]    🏆 PL | VLESS | Пинг: 4112ms | Скорость: 13.65 Mbps ⚡⚡
2026-02-23 13:50:41 [INFO]    🏆 ES | VLESS | Пинг: 3594ms | Скорость: 3.52 Mbps ⚡⚡
2026-02-23 13:50:41 [INFO]    🏆 HU | VLESS | Пинг: 3770ms | Скорость: 1.61 Mbps ⚡
2026-02-23 13:50:41 [INFO]    🏆 ES | VLESS | Пинг: 3717ms | Скорость: 0.96 Mbps 
2026-02-23 13:50:41 [INFO]    🏆 HU | VLESS | Пинг: 3977ms | Скорость: 0.73 Mbps 
2026-02-23 13:50:41 [INFO]    🏆 ES | VLESS | Пинг: 4147ms | Скорость: 8.39 Mbps ⚡⚡
2026-02-23 13:50:42 [INFO]    🏆 HU | VLESS | Пинг: 4159ms | Скорость: 6.1 Mbps ⚡⚡
2026-02-23 13:50:43 [INFO]    🏆 DE | VLESS | Пинг: 4586ms | Скорость: 9.87 Mbps ⚡⚡
2026-02-23 13:50:43 [INFO]    🏆 HU | VLESS | Пинг: 4668ms | Скорость: 12.92 Mbps ⚡⚡
2026-02-23 13:50:44 [INFO]    🏆 TR | VLESS | Пинг: 4626ms | Скорость: 7.85 Mbps ⚡⚡
2026-02-23 13:50:45 [INFO]    🏆 ES | VLESS | Пинг: 5024ms | Скорость: 6.58 Mbps ⚡⚡
2026-02-23 13:50:45 [INFO]    🏆 IT | VLESS | Пинг: 4317ms | Скорость: 2.0 Mbps ⚡
2026-02-23 13:50:45 [INFO]    🏆 PL | VLESS | Пинг: 5338ms | Скорость: 6.41 Mbps ⚡⚡
2026-02-23 13:50:46 [INFO]    🏆 IT | VLESS | Пинг: 4583ms | Скорость: 1.57 Mbps ⚡
2026-02-23 13:50:46 [INFO]    🏆 DE | VLESS | Пинг: 5602ms | Скорость: 9.59 Mbps ⚡⚡
