2026-02-27 06:40:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-27 06:40:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-27 06:40:07 [INFO] 🔍 Уникальных конфигов собрано: 428
2026-02-27 06:40:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-27 06:40:31 [INFO]    [PING OK] DE | VLESS | 3748ms
2026-02-27 06:40:33 [INFO]    [PING OK] PL | VLESS | 4094ms
2026-02-27 06:40:33 [INFO]    [PING OK] ES | VLESS | 4029ms
2026-02-27 06:40:33 [INFO]    [PING OK] FR | VLESS | 4812ms
2026-02-27 06:40:33 [INFO]    [PING OK] PL | VLESS | 3581ms
2026-02-27 06:40:33 [INFO]    [PING OK] IT | VLESS | 3630ms
2026-02-27 06:40:33 [INFO]    [PING OK] LT | VLESS | 3764ms
2026-02-27 06:40:34 [INFO]    [PING OK] FI | VLESS | 3464ms
2026-02-27 06:40:34 [INFO]    [PING OK] NL | VLESS | 3861ms
2026-02-27 06:40:34 [INFO]    [PING OK] FI | VLESS | 3807ms
2026-02-27 06:40:34 [INFO]    [PING OK] NL | VLESS | 4789ms
2026-02-27 06:40:34 [INFO]    [PING OK] TR | VLESS | 4357ms
2026-02-27 06:40:34 [INFO]    [PING OK] FI | VLESS | 3993ms
2026-02-27 06:40:34 [INFO]    [PING OK] LT | VLESS | 3654ms
2026-02-27 06:40:35 [INFO]    [PING OK] PL | VLESS | 3904ms
2026-02-27 06:40:35 [INFO]    [PING OK] PL | VLESS | 7710ms
2026-02-27 06:40:35 [INFO]    [PING OK] ES | VLESS | 3875ms
2026-02-27 06:40:36 [INFO]    [PING OK] JP | VLESS | 3789ms
2026-02-27 06:40:36 [INFO]    [PING OK] DE | VLESS | 3859ms
2026-02-27 06:40:36 [INFO]    [PING OK] KZ | VLESS | 4415ms
2026-02-27 06:40:38 [INFO]    [PING OK] TR | VLESS | 3915ms
