2026-02-21 16:50:06 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-21 16:50:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-21 16:50:08 [INFO] 🔍 Уникальных конфигов собрано: 212
2026-02-21 16:50:08 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-21 16:50:13 [INFO]    [PING OK] DE | VLESS | 4121ms
2026-02-21 16:50:14 [INFO]    [PING OK] TR | VLESS | 3898ms
2026-02-21 16:50:14 [INFO]    [PING OK] TR | VLESS | 3750ms
2026-02-21 16:50:14 [INFO]    [PING OK] CZ | VLESS | 3724ms
2026-02-21 16:50:14 [INFO]    [PING OK] DE | VLESS | 5545ms
2026-02-21 16:50:14 [INFO]    [PING OK] HU | VLESS | 2490ms
2026-02-21 16:50:15 [INFO]    [PING OK] DE | VLESS | 5784ms
2026-02-21 16:50:15 [INFO]    [PING OK] DE | VLESS | 5900ms
2026-02-21 16:50:15 [INFO]    [PING OK] FI | VLESS | 4996ms
2026-02-21 16:50:16 [INFO]    [PING OK] DE | VLESS | 7412ms
2026-02-21 16:50:16 [INFO]    [PING OK] IT | VLESS | 2499ms
2026-02-21 16:50:17 [INFO]    [PING OK] HU | VLESS | 2650ms
2026-02-21 16:50:17 [INFO]    [PING OK] HU | VLESS | 2627ms
2026-02-21 16:50:17 [INFO]    [PING OK] ES | VLESS | 2637ms
2026-02-21 16:50:17 [INFO]    [PING OK] DE | VLESS | 6395ms
2026-02-21 16:50:17 [INFO]    [PING OK] ES | VLESS | 2841ms
2026-02-21 16:50:17 [INFO]    [PING OK] ES | VLESS | 2972ms
2026-02-21 16:50:17 [INFO]    [PING OK] DE | VLESS | 4055ms
2026-02-21 16:50:18 [INFO]    [PING OK] HU | VLESS | 2916ms
2026-02-21 16:50:18 [INFO]    [PING OK] HU | VLESS | 2997ms
2026-02-21 16:50:18 [INFO]    [PING OK] PL | VLESS | 2973ms
2026-02-21 16:50:18 [INFO]    [PING OK] TR | VLESS | 2892ms
2026-02-21 16:50:18 [INFO]    [PING OK] DE | VLESS | 7487ms
2026-02-21 16:50:18 [INFO]    [PING OK] ES | VLESS | 3450ms
2026-02-21 16:50:18 [INFO]    [PING OK] DE | VLESS | 7438ms
2026-02-21 16:50:18 [INFO]    [PING OK] PL | VLESS | 3150ms
