2026-02-23 01:20:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-23 01:20:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-23 01:20:10 [INFO] 🔍 Уникальных конфигов собрано: 658
2026-02-23 01:20:10 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-23 01:20:46 [INFO]    [PING OK] DE | VLESS | 3252ms
2026-02-23 01:20:46 [INFO]    [PING OK] DE | VLESS | 3379ms
2026-02-23 01:20:48 [INFO]    [PING OK] US | VLESS | 3980ms
2026-02-23 01:20:48 [INFO]    [PING OK] US | VLESS | 4171ms
2026-02-23 01:20:49 [INFO]    [PING OK] CA | VLESS | 4933ms
2026-02-23 01:20:49 [INFO]    [PING OK] CA | VLESS | 5679ms
2026-02-23 01:20:49 [INFO]    [PING OK] CA | VLESS | 4269ms
2026-02-23 01:20:49 [INFO]    [PING OK] CA | VLESS | 4346ms
2026-02-23 01:20:49 [INFO]    [PING OK] CA | VLESS | 4303ms
2026-02-23 01:20:50 [INFO]    [PING OK] FR | VLESS | 3819ms
2026-02-23 01:20:50 [INFO]    [PING OK] CA | VLESS | 4596ms
2026-02-23 01:20:50 [INFO]    [PING OK] CA | VLESS | 4460ms
2026-02-23 01:20:51 [INFO]    [PING OK] CA | VLESS | 5552ms
2026-02-23 01:20:51 [INFO]    [PING OK] CA | VLESS | 3696ms
2026-02-23 01:20:51 [INFO]    [PING OK] CA | VLESS | 3868ms
2026-02-23 01:20:51 [INFO]    [PING OK] FR | VLESS | 3024ms
2026-02-23 01:20:51 [INFO]    [PING OK] CA | VLESS | 3807ms
2026-02-23 01:20:51 [INFO]    [PING OK] DE | VLESS | 2593ms
2026-02-23 01:20:51 [INFO]    [PING OK] SG | VLESS | 3032ms
2026-02-23 01:20:51 [INFO]    [PING OK] US | VLESS | 3027ms
2026-02-23 01:20:51 [INFO]    [PING OK] CA | VLESS | 5467ms
2026-02-23 01:20:52 [INFO]    [PING OK] CA | VLESS | 3354ms
2026-02-23 01:20:52 [INFO]    [PING OK] FI | VLESS | 2430ms
2026-02-23 01:20:53 [INFO]    [PING OK] TR | VLESS | 2979ms
2026-02-23 01:20:53 [INFO]    [PING OK] DE | VLESS | 5477ms
2026-02-23 01:20:54 [INFO]    [PING OK] DE | VLESS | 3013ms
2026-02-23 01:20:54 [INFO]    [PING OK] CA | VLESS | 3427ms
2026-02-23 01:20:54 [INFO]    [PING OK] CA | VLESS | 8794ms
2026-02-23 01:20:55 [INFO]    [PING OK] DE | VLESS | 3950ms
2026-02-23 01:20:56 [INFO]    [PING OK] CA | VLESS | 4383ms
2026-02-23 01:20:56 [INFO]    [PING OK] CA | VLESS | 4921ms
2026-02-23 01:20:57 [INFO]    [PING OK] CA | VLESS | 4857ms
2026-02-23 01:20:57 [INFO]    [PING OK] CA | VLESS | 4713ms
2026-02-23 01:20:57 [INFO]    [PING OK] CA | VLESS | 4579ms
2026-02-23 01:20:58 [INFO]    [PING OK] SG | VLESS | 3822ms
2026-02-23 01:20:59 [INFO]    [PING OK] LV | VLESS | 3270ms
2026-02-23 01:20:59 [INFO]    [PING OK] US | VLESS | 3055ms
2026-02-23 01:20:59 [INFO]    [PING OK] SG | VLESS | 2859ms
2026-02-23 01:20:59 [INFO]    [PING OK] SG | VLESS | 2601ms
2026-02-23 01:20:59 [INFO]    [PING OK] SG | VLESS | 2642ms
2026-02-23 01:21:00 [INFO]    [PING OK] FR | VLESS | 2217ms
2026-02-23 01:21:00 [INFO]    [PING OK] DE | VLESS | 2167ms
2026-02-23 01:21:00 [INFO]    [PING OK] FR | VLESS | 1705ms
2026-02-23 01:21:01 [INFO]    [PING OK] DE | VLESS | 1508ms
2026-02-23 01:21:01 [INFO]    [PING OK] FR | VLESS | 1195ms
2026-02-23 01:21:01 [INFO]    [PING OK] US | VLESS | 1321ms
2026-02-23 01:21:01 [INFO]    [PING OK] GB | VLESS | 1151ms
2026-02-23 01:21:01 [INFO]    [PING OK] GB | VLESS | 1080ms
2026-02-23 01:21:02 [INFO]    [PING OK] FI | VLESS | 963ms
2026-02-23 01:21:02 [INFO]    [PING OK] TR | VLESS | 7502ms
2026-02-23 01:21:02 [INFO]    [PING OK] CA | VLESS | 1649ms
2026-02-23 01:21:02 [INFO]    [PING OK] CA | VLESS | 3581ms
2026-02-23 01:21:02 [INFO]    [PING OK] CA | VLESS | 2053ms
2026-02-23 01:21:04 [INFO]    [PING OK] CA | VLESS | 2641ms
2026-02-23 01:21:05 [INFO]    [PING OK] PL | VLESS | 3147ms
2026-02-23 01:21:05 [INFO]    [PING OK] CA | VLESS | 3533ms
2026-02-23 01:21:06 [INFO]    [PING OK] CA | VLESS | 3950ms
2026-02-23 01:21:06 [INFO]    [PING OK] CA | VLESS | 4152ms
2026-02-23 01:21:06 [INFO]    [PING OK] NL | VLESS | 3935ms
2026-02-23 01:21:07 [INFO]    [PING OK] DE | VLESS | 3883ms
2026-02-23 01:21:07 [INFO]    [PING OK] DE | VLESS | 3957ms
2026-02-23 01:21:07 [INFO]    [PING OK] NL | VLESS | 3839ms
2026-02-23 01:21:07 [INFO]    [PING OK] DE | VLESS | 4067ms
2026-02-23 01:21:07 [INFO]    [PING OK] CA | VLESS | 4388ms
2026-02-23 01:21:07 [INFO]    [PING OK] CA | VLESS | 4107ms
2026-02-23 01:21:07 [INFO]    [PING OK] DE | VLESS | 4008ms
2026-02-23 01:21:07 [INFO]    [PING OK] CA | VLESS | 4248ms
2026-02-23 01:21:08 [INFO]    [PING OK] CA | VLESS | 4032ms
2026-02-23 01:21:09 [INFO]    [PING OK] DE | VLESS | 4078ms
2026-02-23 01:21:09 [INFO]    [PING OK] FR | VLESS | 3696ms
2026-02-23 01:21:10 [INFO]    [PING OK] NL | VLESS | 3240ms
2026-02-23 01:21:10 [INFO]    [PING OK] DE | VLESS | 3397ms
2026-02-23 01:21:10 [INFO]    [PING OK] DE | VLESS | 3190ms
2026-02-23 01:21:10 [INFO]    [PING OK] FR | VLESS | 2686ms
