2026-02-26 05:50:06 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-26 05:50:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-26 05:50:07 [INFO] 🔍 Уникальных конфигов собрано: 617
2026-02-26 05:50:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-26 05:50:13 [INFO]    [PING OK] NL | VLESS | 4650ms
2026-02-26 05:50:13 [INFO]    [PING OK] DE | VLESS | 4857ms
2026-02-26 05:50:13 [INFO]    [PING OK] PL | VLESS | 4605ms
2026-02-26 05:50:13 [INFO]    [PING OK] LT | VLESS | 4829ms
2026-02-26 05:50:14 [INFO]    [PING OK] DE | VLESS | 5620ms
2026-02-26 05:50:14 [INFO]    [PING OK] DE | VLESS | 4845ms
2026-02-26 05:50:15 [INFO]    [PING OK] DE | VLESS | 4049ms
2026-02-26 05:50:15 [INFO]    [PING OK] PL | VLESS | 3952ms
2026-02-26 05:50:16 [INFO]    [PING OK] PL | VLESS | 3761ms
2026-02-26 05:50:16 [INFO]    [PING OK] PL | VLESS | 3735ms
2026-02-26 05:50:17 [INFO]    [PING OK] PL | VLESS | 3475ms
2026-02-26 05:50:18 [INFO]    [PING OK] DE | VLESS | 3600ms
2026-02-26 05:50:18 [INFO]    [PING OK] DE | VLESS | 3352ms
2026-02-26 05:50:19 [INFO]    [PING OK] IT | VLESS | 3362ms
2026-02-26 05:50:19 [INFO]    [PING OK] NL | VLESS | 3216ms
2026-02-26 05:50:19 [INFO]    [PING OK] HK | VLESS | 4245ms
2026-02-26 05:50:19 [INFO]    [PING OK] LT | VLESS | 4025ms
2026-02-26 05:50:19 [INFO]    [PING OK] NL | VLESS | 3497ms
2026-02-26 05:50:19 [INFO]    [PING OK] ES | VLESS | 3360ms
2026-02-26 05:50:19 [INFO]    [PING OK] PL | VLESS | 3533ms
2026-02-26 05:50:20 [INFO]    [PING OK] DE | VLESS | 4408ms
2026-02-26 05:50:20 [INFO]    [PING OK] NL | VLESS | 3580ms
2026-02-26 05:50:22 [INFO]    [PING OK] LT | VLESS | 3966ms
2026-02-26 05:50:22 [INFO]    [PING OK] NL | VLESS | 3952ms
2026-02-26 05:50:22 [INFO]    [PING OK] PL | VLESS | 3842ms
2026-02-26 05:50:23 [INFO]    [PING OK] PL | VLESS | 3766ms
2026-02-26 05:50:23 [INFO]    [PING OK] JP | VLESS | 4244ms
2026-02-26 05:50:23 [INFO]    [PING OK] ES | VLESS | 4089ms
2026-02-26 05:50:23 [INFO]    [PING OK] IT | VLESS | 4130ms
2026-02-26 05:50:23 [INFO]    [PING OK] FI | VLESS | 3645ms
2026-02-26 05:50:23 [INFO]    [PING OK] US | VLESS | 4164ms
2026-02-26 05:50:24 [INFO]    [PING OK] NL | VLESS | 4198ms
2026-02-26 05:50:24 [INFO]    [PING OK] DE | VLESS | 3975ms
2026-02-26 05:50:24 [INFO]    [PING OK] PL | VLESS | 3575ms
2026-02-26 05:50:24 [INFO]    [PING OK] FI | VLESS | 4018ms
2026-02-26 05:50:24 [INFO]    [PING OK] NL | VLESS | 3849ms
2026-02-26 05:50:25 [INFO]    [PING OK] DE | VLESS | 3722ms
2026-02-26 05:50:27 [INFO]    [PING OK] DE | VLESS | 4078ms
2026-02-26 05:50:28 [INFO]    [PING OK] NL | VLESS | 3887ms
2026-02-26 05:50:28 [INFO]    [PING OK] LT | VLESS | 4301ms
2026-02-26 05:50:28 [INFO]    [PING OK] DE | VLESS | 3976ms
2026-02-26 05:50:29 [INFO]    [PING OK] IT | VLESS | 3916ms
2026-02-26 05:50:29 [INFO]    [PING OK] US | VLESS | 4732ms
2026-02-26 05:50:29 [INFO]    [PING OK] NL | VLESS | 3582ms
2026-02-26 05:50:29 [INFO]    [PING OK] FR | VLESS | 3678ms
2026-02-26 05:50:31 [INFO]    [PING OK] NL | VLESS | 6173ms
2026-02-26 05:50:31 [INFO]    [PING OK] NO | VLESS | 5982ms
2026-02-26 05:50:32 [INFO]    [PING OK] IT | VLESS | 3852ms
2026-02-26 05:50:32 [INFO]    [PING OK] DE | VLESS | 3696ms
