2026-02-27 06:20:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-27 06:20:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-27 06:20:07 [INFO] 🔍 Уникальных конфигов собрано: 429
2026-02-27 06:20:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-27 06:20:25 [INFO]    [PING OK] ES | VLESS | 4693ms
2026-02-27 06:20:26 [INFO]    [PING OK] LV | VLESS | 4554ms
2026-02-27 06:20:26 [INFO]    [PING OK] LV | VLESS | 4648ms
2026-02-27 06:20:27 [INFO]    [PING OK] DE | VLESS | 4684ms
2026-02-27 06:20:28 [INFO]    [PING OK] DE | VLESS | 5129ms
2026-02-27 06:20:28 [INFO]    [PING OK] DE | VLESS | 4694ms
2026-02-27 06:20:28 [INFO]    [PING OK] DE | VLESS | 4815ms
2026-02-27 06:20:29 [INFO]    [PING OK] LV | VLESS | 4927ms
2026-02-27 06:20:29 [INFO]    [PING OK] NL | VLESS | 4865ms
2026-02-27 06:20:29 [INFO]    [PING OK] NL | VLESS | 4772ms
2026-02-27 06:20:29 [INFO]    [PING OK] PL | VLESS | 6636ms
2026-02-27 06:20:29 [INFO]    [PING OK] EE | VLESS | 4387ms
2026-02-27 06:20:29 [INFO]    [PING OK] DE | VLESS | 4585ms
2026-02-27 06:20:29 [INFO]    [PING OK] US | VLESS | 5015ms
2026-02-27 06:20:30 [INFO]    [PING OK] NL | VLESS | 4265ms
2026-02-27 06:20:30 [INFO]    [PING OK] PL | VLESS | 4437ms
2026-02-27 06:20:30 [INFO]    [PING OK] US | VLESS | 4517ms
2026-02-27 06:20:30 [INFO]    [PING OK] LT | VLESS | 6309ms
2026-02-27 06:20:30 [INFO]    [PING OK] FI | VLESS | 4286ms
2026-02-27 06:20:30 [INFO]    [PING OK] CH | VLESS | 4608ms
2026-02-27 06:20:30 [INFO]    [PING OK] NL | VLESS | 4652ms
2026-02-27 06:20:30 [INFO]    [PING OK] KZ | VLESS | 4840ms
2026-02-27 06:20:31 [INFO]    [PING OK] ES | VLESS | 4628ms
2026-02-27 06:20:31 [INFO]    [PING OK] DE | VLESS | 4333ms
2026-02-27 06:20:31 [INFO]    [PING OK] FR | VLESS | 4418ms
2026-02-27 06:20:31 [INFO]    [PING OK] TR | VLESS | 4266ms
2026-02-27 06:20:31 [INFO]    [PING OK] EE | VLESS | 4450ms
2026-02-27 06:20:31 [INFO]    [PING OK] JP | VLESS | 4835ms
2026-02-27 06:20:31 [INFO]    [PING OK] HK | VLESS | 4548ms
2026-02-27 06:20:31 [INFO]    [PING OK] FI | VLESS | 4063ms
2026-02-27 06:20:33 [INFO]    [PING OK] EE | VLESS | 4126ms
2026-02-27 06:20:33 [INFO]    [PING OK] FI | VLESS | 4110ms
2026-02-27 06:20:34 [INFO]    [PING OK] PL | VLESS | 3977ms
2026-02-27 06:20:34 [INFO]    [PING OK] FI | VLESS | 3991ms
2026-02-27 06:20:34 [INFO]    [PING OK] US | VLESS | 5621ms
2026-02-27 06:20:34 [INFO]    [PING OK] DE | VLESS | 7649ms
2026-02-27 06:20:34 [INFO]    [PING OK] FI | VLESS | 3930ms
2026-02-27 06:20:34 [INFO]    [PING OK] PL | VLESS | 3925ms
2026-02-27 06:20:34 [INFO]    [PING OK] NL | VLESS | 4181ms
2026-02-27 06:20:34 [INFO]    [PING OK] HU | VLESS | 3966ms
2026-02-27 06:20:35 [INFO]    [PING OK] LT | VLESS | 3883ms
2026-02-27 06:20:35 [INFO]    [PING OK] NL | VLESS | 3832ms
2026-02-27 06:20:35 [INFO]    [PING OK] FI | VLESS | 3669ms
2026-02-27 06:20:35 [INFO]    [PING OK] HU | VLESS | 4336ms
2026-02-27 06:20:35 [INFO]    [PING OK] NL | VLESS | 3728ms
2026-02-27 06:20:35 [INFO]    [PING OK] PL | VLESS | 3940ms
2026-02-27 06:20:35 [INFO]    [PING OK] DE | VLESS | 3463ms
2026-02-27 06:20:36 [INFO]    [PING OK] IT | VLESS | 3666ms
2026-02-27 06:20:36 [INFO]    [PING OK] HK | VLESS | 3980ms
2026-02-27 06:20:36 [INFO]    [PING OK] GB | VLESS | 3498ms
2026-02-27 06:20:36 [INFO]    [PING OK] AE | VLESS | 3912ms
2026-02-27 06:20:36 [INFO]    [PING OK] US | VLESS | 3837ms
2026-02-27 06:20:36 [INFO]    [PING OK] NO | VLESS | 3604ms
2026-02-27 06:20:37 [INFO]    [PING OK] DE | VLESS | 3519ms
2026-02-27 06:20:37 [INFO]    [PING OK] HU | VLESS | 5185ms
2026-02-27 06:20:37 [INFO]    [PING OK] NL | VLESS | 3570ms
2026-02-27 06:20:37 [INFO]    [PING OK] TR | VLESS | 3724ms
2026-02-27 06:20:38 [INFO]    [PING OK] NL | VLESS | 3971ms
2026-02-27 06:20:38 [INFO]    [PING OK] ES | VLESS | 3970ms
2026-02-27 06:20:39 [INFO]    [PING OK] NL | VLESS | 4025ms
2026-02-27 06:20:39 [INFO]    [PING OK] LT | VLESS | 4130ms
2026-02-27 06:20:39 [INFO]    [PING OK] JP | VLESS | 4116ms
2026-02-27 06:20:39 [INFO]    [PING OK] FI | VLESS | 4258ms
2026-02-27 06:20:39 [INFO]    [PING OK] CA | VLESS | 4183ms
2026-02-27 06:20:39 [INFO]    [PING OK] NL | VLESS | 3901ms
2026-02-27 06:20:40 [INFO]    [PING OK] HU | VLESS | 4299ms
2026-02-27 06:20:40 [INFO]    [PING OK] JP | VLESS | 4599ms
2026-02-27 06:20:40 [INFO]    [PING OK] US | VLESS | 4758ms
2026-02-27 06:20:40 [INFO]    [PING OK] PL | VLESS | 4597ms
2026-02-27 06:20:41 [INFO]    [PING OK] SE | VLESS | 4621ms
2026-02-27 06:20:41 [INFO]    [PING OK] ES | VLESS | 4545ms
2026-02-27 06:20:41 [INFO]    [PING OK] NL | VLESS | 4460ms
2026-02-27 06:20:41 [INFO]    [PING OK] DE | VLESS | 4209ms
2026-02-27 06:20:41 [INFO]    [PING OK] IT | VLESS | 4767ms
2026-02-27 06:20:41 [INFO]    [PING OK] DE | VLESS | 4491ms
2026-02-27 06:20:42 [INFO]    [PING OK] FI | VLESS | 4632ms
2026-02-27 06:20:42 [INFO]    [PING OK] NL | VLESS | 4324ms
2026-02-27 06:20:42 [INFO]    [PING OK] PL | VLESS | 4909ms
2026-02-27 06:20:42 [INFO]    [PING OK] DE | VLESS | 4706ms
2026-02-27 06:20:43 [INFO]    [PING OK] PL | VLESS | 4726ms
2026-02-27 06:20:43 [INFO]    [PING OK] NL | VLESS | 5109ms
2026-02-27 06:20:43 [INFO]    [PING OK] US | VLESS | 4913ms
2026-02-27 06:20:44 [INFO]    [PING OK] DE | VLESS | 4560ms
2026-02-27 06:20:44 [INFO]    [PING OK] NL | VLESS | 4793ms
2026-02-27 06:20:45 [INFO]    [PING OK] PL | VLESS | 10086ms
2026-02-27 06:20:45 [INFO]    [PING OK] DE | VLESS | 4929ms
2026-02-27 06:20:45 [INFO]    [PING OK] EE | VLESS | 4766ms
