15:53:38 [INFO] 🚀 FL1P VPN V2.5 - TITAN EDITION
15:53:38 [INFO]    🔥 Priority Countries: FI, EE, LV, SE
15:53:38 [INFO] 📥 Сбор конфигураций (Titan Mode)...
15:53:40 [INFO] 
📊 Найдено ссылок (Raw): 2136
15:53:40 [INFO] 📊 Отфильтровано: 553 глобальных, 1148 WL
15:53:57 [INFO]    🎯 5.175.141.238 (Германия) - 6.3Mbps, 594ms [WARP]
15:53:57 [INFO]    🎯 45.85.119.238 (Румыния) - 7.0Mbps, 592ms [WARP]
15:53:57 [INFO]    🎯 5.10.247.238 (Нидерланды) - 6.2Mbps, 562ms [WARP]
15:53:58 [INFO]    🎯 92.42.96.223 (ME) - 8.5Mbps, 479ms [WARP]
15:53:58 [INFO]    🎯 45.12.31.138 (Румыния) - 10.5Mbps, 456ms [WARP]
15:53:59 [INFO]    🎯 185.184.123.93 (Нидерланды) - 7.8Mbps, 674ms [WARP]
15:53:59 [INFO]    🎯 82.153.50.30 (Германия) - 8.1Mbps, 187ms [WARP]
15:54:00 [INFO]    🎯 156.255.123.138 (HK) - 7.8Mbps, 969ms [WARP]
15:54:00 [INFO]    🎯 5.34.214.83 (Латвия) - 1.1Mbps, 1475ms [WARP]
15:54:00 [INFO]    🎯 194.76.18.25 (KZ) - 0.0Mbps, 275ms [WARP]
15:54:00 [INFO]    🎯 45.135.194.50 (Германия) - 6.5Mbps, 334ms [WARP]
15:54:00 [INFO]    📊 Deep: 60/206 (29%) | ✅52 ❌8
15:54:01 [INFO]    🎯 80.66.85.115 (Германия) - 2.1Mbps, 159ms [WARP]
15:54:01 [INFO]    🎯 147.78.140.238 (Болгария) - 0.0Mbps, 2725ms [WARP]
15:54:01 [INFO]    🎯 185.158.133.138 (Германия) - 5.6Mbps, 421ms [WARP]
15:54:01 [INFO]    🎯 5.10.214.238 (Германия) - 5.4Mbps, 411ms [WARP]
15:54:02 [INFO]    🎯 188.164.158.138 (AM) - 5.4Mbps, 502ms [WARP]
15:54:02 [INFO]    🎯 77.105.163.138 (AM) - 5.6Mbps, 348ms [WARP]
15:54:02 [INFO]    🎯 89.116.180.138 (Литва) - 5.3Mbps, 444ms [WARP]
15:54:02 [INFO]    🎯 45.12.30.238 (Румыния) - 5.5Mbps, 438ms [WARP]
15:54:03 [INFO]    🎯 25.129.199.238 (Британия) - 5.3Mbps, 525ms [WARP]
15:54:03 [INFO]    🎯 178.20.209.70 (Германия) - 5.3Mbps, 1183ms [WARP]
15:54:03 [INFO]    🎯 37.128.207.194 (Латвия) - 0.8Mbps, 867ms [WARP]
15:54:03 [INFO]    🎯 141.11.203.238 (Франция) - 5.2Mbps, 494ms [WARP]
15:54:03 [INFO]    🎯 185.207.196.238 (MH) - 5.2Mbps, 552ms [WARP]
15:54:03 [INFO]    🎯 185.18.250.238 (Швейцария) - 4.9Mbps, 590ms [WARP]
15:54:04 [INFO]    🎯 25.25.25.238 (Британия) - 5.1Mbps, 415ms [WARP]
15:54:04 [INFO]    🎯 156.243.246.238 (Германия) - 5.5Mbps, 478ms [WARP]
15:54:05 [INFO]    🎯 194.76.18.23 (KZ) - 6.2Mbps, 463ms [WARP]
15:54:05 [INFO]    🎯 185.170.153.186 (Нидерланды) - 6.1Mbps, 1714ms [WARP]
15:54:05 [INFO]    📊 Deep: 80/206 (39%) | ✅70 ❌10
15:54:05 [INFO]    🎯 89.116.250.138 (Литва) - 6.0Mbps, 533ms [WARP]
15:54:05 [INFO]    🎯 185.16.110.1 (Франция) - 5.7Mbps, 551ms [WARP]
15:54:05 [INFO]    🎯 45.131.5.238 (Нидерланды) - 5.9Mbps, 398ms [WARP]
15:54:05 [INFO]    🎯 92.53.191.238 (SI) - 5.8Mbps, 558ms [WARP]
15:54:05 [INFO]    🎯 77.75.199.138 (Британия) - 4.8Mbps, 493ms [WARP]
15:54:06 [INFO]    🎯 194.28.226.167 (Германия) - 2.7Mbps, 1141ms [WARP]
15:54:06 [INFO]    🎯 202.61.200.220 (Германия) - 7.4Mbps, 556ms [WARP]
15:54:07 [INFO]    🎯 92.246.136.62 (Германия) - 8.5Mbps, 542ms [WARP]
15:54:07 [INFO]    🎯 154.197.80.238 (Япония) - 8.6Mbps, 558ms [WARP]
15:54:07 [INFO]    🎯 202.71.13.242 (Нидерланды) - 8.2Mbps, 391ms [WARP]
15:54:07 [INFO]    🎯 94.16.117.81 (Германия) - 7.3Mbps, 360ms [WARP]
15:54:07 [INFO]    🎯 85.192.60.51 (Нидерланды) - 8.4Mbps, 504ms [WARP]
15:54:07 [INFO]    🎯 80.74.24.127 (Нидерланды) - 8.1Mbps, 504ms [WARP]
15:54:08 [INFO]    🎯 5.253.188.238 (Германия) - 8.9Mbps, 556ms [WARP]
15:54:08 [INFO]    🎯 202.61.200.220 (Германия) - 12.6Mbps, 1213ms [WARP]
15:54:08 [INFO]    🎯 103.90.75.41 (Нидерланды) - 7.8Mbps, 477ms [WARP]
15:54:08 [INFO]    🎯 146.0.79.109 (Нидерланды) - 26.9Mbps, 441ms [WARP]
15:54:08 [INFO]    🎯 31.207.45.251 (Нидерланды) - 11.3Mbps, 383ms [WARP]
15:54:09 [INFO]    📊 Deep: 100/206 (49%) | ✅88 ❌12
15:54:09 [INFO]    🎯 80.74.25.154 (Нидерланды) - 13.1Mbps, 361ms [WARP]
15:54:09 [INFO]    🎯 213.202.218.198 (Германия) - 5.5Mbps, 443ms [WARP]
15:54:09 [INFO]    🎯 45.88.67.37 (Нидерланды) - 17.5Mbps, 517ms [WARP]
15:54:10 [INFO]    🎯 176.96.138.17 (Германия) - 21.7Mbps, 352ms [WARP]
15:54:10 [INFO]    🎯 194.9.6.3 (Германия) - 45.7Mbps, 369ms [WARP]
15:54:10 [INFO]    🎯 212.113.116.50 (Германия) - 30.8Mbps, 370ms [WARP]
15:54:10 [INFO]    🎯 27.50.49.238 (Сингапур) - 5.6Mbps, 377ms [WARP]
15:54:11 [INFO]    🎯 185.104.112.163 (Германия) - 11.8Mbps, 489ms [WARP]
15:54:11 [INFO]    🎯 103.137.250.250 (Нидерланды) - 25.3Mbps, 458ms [WARP]
15:54:11 [INFO]    🎯 87.236.177.56 (Нидерланды) - 11.7Mbps, 637ms [WARP]
15:54:13 [INFO]    🎯 91.149.222.113 (Германия) - 0.0Mbps, 3954ms [WARP]
15:54:13 [INFO]    🎯 77.239.104.36 (Германия) - 18.0Mbps, 771ms [WARP]
15:54:13 [INFO]    🎯 91.196.34.28 (Германия) - 8.9Mbps, 2015ms [WARP]
15:54:14 [INFO]    🎯 151.101.9.80 (Бельгия) - 0.0Mbps, 209ms [WARP]
15:54:14 [INFO]    🎯 213.165.37.33 (Нидерланды) - 17.2Mbps, 2508ms [WARP]
15:54:14 [INFO]    🎯 77.239.104.238 (Германия) - 13.0Mbps, 384ms [WARP]
15:54:14 [INFO]    🎯 5.61.41.183 (Германия) - 15.3Mbps, 1300ms [WARP]
15:54:14 [INFO]    📊 Deep: 120/206 (58%) | ✅105 ❌15
15:54:14 [INFO]    🎯 193.37.70.98 (Германия) - 2.3Mbps, 3134ms [WARP]
15:54:16 [INFO]    🎯 103.54.18.53 (Нидерланды) - 42.4Mbps, 322ms [WARP]
15:54:16 [INFO]    🎯 87.251.86.199 (Германия) - 0.0Mbps, 687ms [WARP]
15:54:16 [INFO]    🎯 185.209.162.38 (Нидерланды) - 24.4Mbps, 135ms [WARP]
15:54:16 [INFO]    🎯 34.39.62.53 (Британия) - 25.6Mbps, 454ms [WARP]
15:54:17 [INFO]    🎯 213.21.241.70 (Германия) - 2.3Mbps, 879ms [WARP]
15:54:17 [INFO]    🎯 185.120.59.81 (Франция) - 7.8Mbps, 453ms [WARP]
15:54:17 [INFO]    🎯 194.87.25.176 (Германия) - 2.8Mbps, 4488ms [WARP]
15:54:17 [INFO]    🎯 194.55.137.25 (Нидерланды) - 6.2Mbps, 1768ms [WARP]
15:54:18 [INFO]    🎯 45.128.99.24 (Германия) - 10.1Mbps, 869ms [WARP]
15:54:18 [INFO]    🎯 195.93.253.207 (Нидерланды) - 12.4Mbps, 311ms [WARP]
15:54:18 [INFO]    🎯 45.12.30.138 (Румыния) - 17.6Mbps, 97ms [WARP]
15:54:19 [INFO]    🎯 5.187.4.103 (Германия) - 15.0Mbps, 766ms [WARP]
15:54:19 [INFO]    📊 Deep: 140/206 (68%) | ✅118 ❌22
15:54:19 [INFO]    🎯 195.133.59.26 (Нидерланды) - 18.1Mbps, 542ms [WARP]
15:54:20 [INFO]    🎯 91.84.105.40 (Нидерланды) - 9.9Mbps, 411ms [WARP]
15:54:20 [INFO]    🎯 77.238.230.12 (Нидерланды) - 9.9Mbps, 387ms [WARP]
15:54:20 [INFO]    🎯 146.103.109.42 (Нидерланды) - 12.1Mbps, 456ms [WARP]
15:54:21 [INFO]    🎯 91.84.105.147 (Нидерланды) - 10.1Mbps, 501ms [WARP]
15:54:21 [INFO]    🎯 89.169.13.207 (Нидерланды) - 7.6Mbps, 2800ms [WARP]
15:54:22 [INFO]    🎯 2.59.37.154 (Нидерланды) - 0.0Mbps, 693ms [WARP]
15:54:22 [INFO]    🎯 103.90.75.121 (Нидерланды) - 5.9Mbps, 232ms [WARP]
15:54:22 [INFO]    🎯 212.34.128.170 (Нидерланды) - 7.4Mbps, 402ms [WARP]
15:54:22 [INFO]    🎯 178.130.40.109 (Нидерланды) - 7.3Mbps, 572ms [WARP]
15:54:22 [INFO]    🎯 212.34.131.236 (Нидерланды) - 7.7Mbps, 451ms [WARP]
15:54:22 [INFO]    🎯 212.34.131.18 (Нидерланды) - 9.2Mbps, 785ms [WARP]
15:54:22 [INFO]    🎯 212.34.142.252 (Нидерланды) - 7.7Mbps, 360ms [WARP]
15:54:23 [INFO]    🎯 77.238.238.133 (Нидерланды) - 6.0Mbps, 494ms [WARP]
15:54:23 [INFO]    🎯 91.84.102.54 (Нидерланды) - 7.0Mbps, 602ms [WARP]
15:54:23 [INFO]    🎯 146.103.100.127 (Нидерланды) - 7.0Mbps, 318ms [WARP]
15:54:23 [INFO]    🎯 91.84.111.44 (Нидерланды) - 7.4Mbps, 457ms [WARP]
15:54:23 [INFO]    📊 Deep: 160/206 (78%) | ✅135 ❌25
15:54:24 [INFO]    🎯 212.34.130.151 (Нидерланды) - 11.4Mbps, 221ms [WARP]
15:54:24 [INFO]    🎯 5.253.188.151 (Германия) - 2.4Mbps, 1618ms [WARP]
15:54:25 [INFO]    🎯 77.238.232.228 (Нидерланды) - 7.5Mbps, 548ms [WARP]
15:54:25 [INFO]    🎯 195.200.30.202 (Нидерланды) - 7.8Mbps, 608ms [WARP]
15:54:25 [INFO]    🎯 77.105.137.63 (Нидерланды) - 7.7Mbps, 642ms [WARP]
15:54:26 [INFO]    🎯 89.110.102.110 (Нидерланды) - 6.6Mbps, 526ms [WARP]
15:54:26 [INFO]    🎯 2.59.183.197 (Нидерланды) - 6.4Mbps, 640ms [WARP]
15:54:26 [INFO]    🎯 89.110.71.72 (Нидерланды) - 5.8Mbps, 212ms [WARP]
15:54:27 [INFO]    🎯 185.218.137.83 (Германия) - 2.2Mbps, 2224ms [WARP]
15:54:27 [INFO]    🎯 91.84.103.232 (Нидерланды) - 5.4Mbps, 322ms [WARP]
15:54:27 [INFO]    🎯 91.184.242.250 (Нидерланды) - 2.4Mbps, 4066ms [WARP]
15:54:28 [INFO]    🎯 45.87.3.224 (Нидерланды) - 5.2Mbps, 948ms [WARP]
15:54:28 [INFO]    🎯 194.147.149.54 (Нидерланды) - 5.3Mbps, 405ms [WARP]
15:54:28 [INFO]    🎯 5.35.37.31 (Нидерланды) - 5.2Mbps, 665ms [WARP]
15:54:28 [INFO]    🎯 212.87.220.225 (Нидерланды) - 4.8Mbps, 969ms [WARP]
15:54:28 [INFO]    🎯 45.144.233.205 (Германия) - 5.5Mbps, 485ms [WARP]
15:54:28 [INFO]    🎯 45.149.235.119 (Нидерланды) - 5.4Mbps, 585ms [WARP]
15:54:28 [INFO]    📊 Deep: 180/206 (87%) | ✅152 ❌28
15:54:28 [INFO]    🎯 89.42.142.249 (Нидерланды) - 6.0Mbps, 729ms [WARP]
15:54:28 [INFO]    🎯 195.133.75.35 (Нидерланды) - 6.8Mbps, 631ms [WARP]
15:54:29 [INFO]    🎯 212.118.52.236 (Нидерланды) - 4.8Mbps, 384ms [WARP]
15:54:30 [INFO]    🎯 195.2.93.34 (Нидерланды) - 25.8Mbps, 3109ms [WARP]
15:54:30 [INFO]    🎯 2.58.65.28 (Германия) - 3.0Mbps, 734ms [WARP]
15:54:31 [INFO]    🎯 89.169.13.12 (Нидерланды) - 2.0Mbps, 4529ms [WARP]
15:54:31 [INFO]    🎯 188.241.241.33 (Румыния) - 3.9Mbps, 970ms [WARP]
15:54:31 [INFO]    🎯 103.136.68.86 (Сингапур) - 6.6Mbps, 1491ms [WARP]
15:54:31 [INFO]    🎯 64.235.43.213 (Сингапур) - 5.8Mbps, 1555ms [WARP]
15:54:34 [INFO]    🎯 193.111.31.182 (Япония) - 5.1Mbps, 1713ms [WARP]
15:54:35 [INFO]    🎯 203.69.248.40 (TW) - 5.8Mbps, 1959ms [WARP]
15:54:36 [INFO]    🎯 134.195.137.107 (IN) - 4.2Mbps, 1786ms [WARP]
15:54:36 [INFO]    🎯 45.8.113.200 (Япония) - 4.8Mbps, 2170ms [WARP]
15:54:39 [INFO]    🎯 193.32.148.125 (Япония) - 4.4Mbps, 2601ms [WARP]
15:54:40 [INFO]    🎯 141.98.197.83 (Япония) - 3.2Mbps, 2444ms [WARP]
15:54:41 [INFO]    🎯 8.222.220.81 (Сингапур) - 0.0Mbps, 2850ms [WARP]
15:54:43 [INFO]    🎯 150.109.236.191 (Корея) - 1.9Mbps, 2585ms [WARP]
