2026-02-23 20:20:06 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-23 20:20:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-23 20:20:08 [INFO] 🔍 Уникальных конфигов собрано: 230
2026-02-23 20:20:08 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-23 20:20:45 [INFO]    🏆 SE | VLESS | Пинг: 4378ms | Скорость: 9.12 Mbps ⚡⚡
2026-02-23 20:20:45 [INFO]    🏆 EE | VLESS | Пинг: 4236ms | Скорость: 5.18 Mbps ⚡⚡
2026-02-23 20:20:46 [INFO]    🏆 HU | VLESS | Пинг: 4483ms | Скорость: 8.45 Mbps ⚡⚡
2026-02-23 20:20:46 [INFO]    🏆 TR | VLESS | Пинг: 4713ms | Скорость: 8.63 Mbps ⚡⚡
2026-02-23 20:20:46 [INFO]    🏆 HU | VLESS | Пинг: 4380ms | Скорость: 6.64 Mbps ⚡⚡
2026-02-23 20:20:46 [INFO]    🏆 IT | VLESS | Пинг: 4125ms | Скорость: 3.09 Mbps ⚡⚡
2026-02-23 20:20:47 [INFO]    🏆 HU | VLESS | Пинг: 4234ms | Скорость: 2.79 Mbps ⚡
2026-02-23 20:20:47 [INFO]    🏆 PL | VLESS | Пинг: 4757ms | Скорость: 5.96 Mbps ⚡⚡
2026-02-23 20:20:47 [INFO]    🏆 TR | VLESS | Пинг: 4850ms | Скорость: 10.59 Mbps ⚡⚡
2026-02-23 20:20:47 [INFO]    🏆 PL | VLESS | Пинг: 4863ms | Скорость: 10.55 Mbps ⚡⚡
2026-02-23 20:20:48 [INFO]    🏆 ES | VLESS | Пинг: 4779ms | Скорость: 5.37 Mbps ⚡⚡
2026-02-23 20:20:48 [INFO]    🏆 FI | VLESS | Пинг: 5049ms | Скорость: 16.86 Mbps ⚡⚡
2026-02-23 20:20:48 [INFO]    🏆 ES | VLESS | Пинг: 4889ms | Скорость: 11.58 Mbps ⚡⚡
2026-02-23 20:20:48 [INFO]    🏆 SE | VLESS | Пинг: 5076ms | Скорость: 18.74 Mbps ⚡⚡
2026-02-23 20:20:49 [INFO]    🏆 PL | VLESS | Пинг: 4898ms | Скорость: 9.96 Mbps ⚡⚡
2026-02-23 20:20:49 [INFO]    🏆 ES | VLESS | Пинг: 4465ms | Скорость: 2.23 Mbps ⚡
2026-02-23 20:20:50 [INFO]    🏆 TR | VLESS | Пинг: 4625ms | Скорость: 2.0 Mbps ⚡
2026-02-23 20:20:51 [INFO] 📊 Итого в подписке сохранено иностранных серверов: 10
2026-02-23 20:20:51 [INFO] 💾 Файл успешно сохранен: FL1PVPN
