2026-02-23 04:30:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-23 04:30:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-23 04:30:08 [INFO] 🔍 Уникальных конфигов собрано: 229
2026-02-23 04:30:08 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-23 04:30:33 [INFO]    [PING OK] CA | VLESS | 4359ms
2026-02-23 04:30:36 [INFO]    [PING OK] CA | VLESS | 6399ms
2026-02-23 04:30:36 [INFO]    [PING OK] CA | VLESS | 6193ms
2026-02-23 04:30:37 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для 40 иностранных кандидатов...
2026-02-23 04:30:41 [INFO]    🏆 HU | VLESS | Пинг: 2803ms | Скорость: 6.0 Mbps ⚡⚡
2026-02-23 04:30:41 [INFO]    🏆 HU | VLESS | Пинг: 3062ms | Скорость: 6.48 Mbps ⚡⚡
2026-02-23 04:30:41 [INFO]    🏆 TR | VLESS | Пинг: 2857ms | Скорость: 6.24 Mbps ⚡⚡
2026-02-23 04:30:41 [INFO]    🏆 IT | VLESS | Пинг: 2828ms | Скорость: 6.07 Mbps ⚡⚡
2026-02-23 04:30:41 [INFO]    🏆 PL | VLESS | Пинг: 2770ms | Скорость: 5.9 Mbps ⚡⚡
2026-02-23 04:30:41 [INFO]    🏆 ES | VLESS | Пинг: 3004ms | Скорость: 6.24 Mbps ⚡⚡
2026-02-23 04:30:41 [INFO]    🏆 DE | VLESS | Пинг: 2583ms | Скорость: 5.78 Mbps ⚡⚡
2026-02-23 04:30:41 [INFO]    🏆 PL | VLESS | Пинг: 2867ms | Скорость: 6.01 Mbps ⚡⚡
2026-02-23 04:30:41 [INFO]    🏆 ES | VLESS | Пинг: 2626ms | Скорость: 5.74 Mbps ⚡⚡
2026-02-23 04:30:41 [INFO]    🏆 ES | VLESS | Пинг: 2881ms | Скорость: 6.18 Mbps ⚡⚡
2026-02-23 04:30:41 [INFO]    🏆 ES | VLESS | Пинг: 2826ms | Скорость: 5.78 Mbps ⚡⚡
