2026-02-21 12:50:06 [INFO] 🚀 START: Smart Selector (Target: 10, Strict Mode, Hybrid Protocol)
2026-02-21 12:50:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-21 12:50:13 [INFO] 🔍 Уникальных конфигов собрано: 3595
2026-02-21 12:50:13 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 40)...
2026-02-21 12:50:38 [INFO]    [PING OK] HK | VLESS | 1268ms
2026-02-21 12:50:38 [INFO]    [PING OK] US | VLESS | 682ms
2026-02-21 12:50:38 [INFO]    [PING OK] LV | VLESS | 462ms
2026-02-21 12:50:38 [INFO]    [PING OK] DE | VLESS | 3806ms
2026-02-21 12:50:39 [INFO]    [PING OK] CA | VLESS | 317ms
2026-02-21 12:50:39 [INFO]    [PING OK] CA | VMESS | 437ms
2026-02-21 12:50:39 [INFO]    [PING OK] CY | VLESS | 247ms
2026-02-21 12:50:39 [INFO]    [PING OK] US | VLESS | 623ms
2026-02-21 12:50:39 [INFO]    [PING OK] FR | VMESS | 119ms
2026-02-21 12:50:40 [INFO]    [PING OK] FI | VLESS | 218ms
2026-02-21 12:50:40 [INFO]    [PING OK] US | VLESS | 615ms
2026-02-21 12:50:40 [INFO]    [PING OK] US | VLESS | 451ms
2026-02-21 12:50:40 [INFO]    [PING OK] MD | VLESS | 163ms
2026-02-21 12:50:42 [INFO]    [PING OK] FI | VLESS | 233ms
2026-02-21 12:50:42 [INFO]    [PING OK] MD | VLESS | 3281ms
2026-02-21 12:50:42 [INFO]    [PING OK] SE | VLESS | 123ms
2026-02-21 12:50:42 [INFO]    [PING OK] UZ | VLESS | 280ms
2026-02-21 12:50:42 [INFO]    [PING OK] HK | VMESS | 2294ms
2026-02-21 12:50:43 [INFO]    [PING OK] SG | VLESS | 560ms
2026-02-21 12:50:43 [INFO]    [PING OK] AU | VLESS | 658ms
2026-02-21 12:50:43 [INFO]    [PING OK] RU | VMESS | 135ms
2026-02-21 12:50:43 [INFO]    [PING OK] GB | VLESS | 1004ms
2026-02-21 12:50:43 [INFO]    [PING OK] IR | VLESS | 1208ms
2026-02-21 12:50:43 [INFO]    [PING OK] TW | VMESS | 594ms
2026-02-21 12:50:43 [INFO]    [PING OK] US | VLESS | 684ms
2026-02-21 12:50:43 [INFO]    [PING OK] DE | VLESS | 171ms
2026-02-21 12:50:44 [INFO]    [PING OK] US | VLESS | 621ms
2026-02-21 12:50:50 [INFO]    [PING OK] DE | VLESS | 137ms
2026-02-21 12:50:50 [INFO]    [PING OK] FR | VLESS | 1057ms
2026-02-21 12:50:51 [INFO]    [PING OK] DE | VLESS | 156ms
2026-02-21 12:50:53 [INFO]    [PING OK] DE | VLESS | 412ms
2026-02-21 12:50:53 [INFO]    [PING OK] DE | VLESS | 173ms
2026-02-21 12:50:54 [INFO]    [PING OK] DE | VLESS | 122ms
2026-02-21 12:50:55 [INFO]    [PING OK] DE | VLESS | 1162ms
2026-02-21 12:50:55 [INFO]    [PING OK] DE | VLESS | 111ms
2026-02-21 12:50:56 [INFO]    [PING OK] DE | VLESS | 233ms
2026-02-21 12:50:57 [INFO]    [PING OK] DE | VLESS | 167ms
2026-02-21 12:50:58 [INFO]    [PING OK] HK | VMESS | 811ms
2026-02-21 12:51:00 [INFO]    [PING OK] DE | VLESS | 141ms
2026-02-21 12:51:00 [INFO]    [PING OK] DE | VLESS | 110ms
2026-02-21 12:51:00 [INFO]    [PING OK] DE | VLESS | 110ms
2026-02-21 12:51:01 [INFO]    [PING OK] HK | VMESS | 550ms
2026-02-21 12:51:02 [INFO]    [PING OK] US | VLESS | 483ms
2026-02-21 12:51:02 [INFO]    [PING OK] DE | VLESS | 117ms
2026-02-21 12:51:02 [INFO]    [PING OK] DE | VLESS | 107ms
2026-02-21 12:51:04 [INFO]    [PING OK] DE | VLESS | 117ms
2026-02-21 12:51:04 [INFO]    [PING OK] DE | VLESS | 126ms
2026-02-21 12:51:06 [INFO]    [PING OK] DE | VLESS | 123ms
2026-02-21 12:51:06 [INFO]    [PING OK] DE | VLESS | 1127ms
2026-02-21 12:51:08 [INFO]    [PING OK] SG | VLESS | 655ms
2026-02-21 12:51:08 [INFO]    [PING OK] NO | VLESS | 118ms
2026-02-21 12:51:08 [INFO]    [PING OK] RU | VLESS | 348ms
2026-02-21 12:51:08 [INFO]    [PING OK] TR | VLESS | 269ms
2026-02-21 12:51:09 [INFO]    [PING OK] DE | VLESS | 234ms
2026-02-21 12:51:10 [INFO]    [PING OK] RU | VLESS | 235ms
2026-02-21 12:51:11 [INFO]    [PING OK] RU | VLESS | 415ms
2026-02-21 12:51:12 [INFO]    [PING OK] SE | VLESS | 108ms
2026-02-21 12:51:13 [INFO]    [PING OK] US | VMESS | 378ms
2026-02-21 12:51:14 [INFO]    [PING OK] DE | VLESS | 3956ms
2026-02-21 12:51:14 [INFO]    [PING OK] RU | VLESS | 416ms
2026-02-21 12:51:15 [INFO]    [PING OK] DE | VLESS | 417ms
2026-02-21 12:51:15 [INFO]    [PING OK] DE | VLESS | 1326ms
2026-02-21 12:51:17 [INFO]    [PING OK] RU | VLESS | 194ms
2026-02-21 12:51:17 [INFO]    [PING OK] RU | VLESS | 536ms
2026-02-21 12:51:18 [INFO]    [PING OK] GB | VMESS | 1321ms
2026-02-21 12:51:18 [INFO]    [PING OK] SC | VLESS | 1235ms
2026-02-21 12:51:19 [INFO]    [PING OK] JP | VLESS | 987ms
2026-02-21 12:51:19 [INFO]    [PING OK] FI | VLESS | 305ms
2026-02-21 12:51:20 [INFO]    [PING OK] FR | VLESS | 632ms
2026-02-21 12:51:26 [INFO]    [PING OK] DE | VLESS | 4341ms
2026-02-21 12:51:27 [INFO]    [PING OK] NL | VLESS | 276ms
2026-02-21 12:51:28 [INFO]    [PING OK] SC | VLESS | 1203ms
2026-02-21 12:51:29 [INFO]    [PING OK] DE | VLESS | 1704ms
2026-02-21 12:51:29 [INFO]    [PING OK] IN | VLESS | 727ms
2026-02-21 12:51:29 [INFO]    [PING OK] NL | VLESS | 3046ms
2026-02-21 12:51:31 [INFO]    [PING OK] LV | VLESS | 509ms
2026-02-21 12:51:31 [INFO]    [PING OK] NL | VLESS | 2016ms
2026-02-21 12:51:32 [INFO]    [PING OK] NL | VLESS | 239ms
2026-02-21 12:51:33 [INFO]    [PING OK] CY | VLESS | 401ms
2026-02-21 12:51:34 [INFO]    [PING OK] DE | VLESS | 1042ms
2026-02-21 12:51:34 [INFO]    [PING OK] CY | VLESS | 393ms
2026-02-21 12:51:36 [INFO]    [PING OK] NL | VLESS | 146ms
2026-02-21 12:51:36 [INFO]    [PING OK] US | VLESS | 1309ms
2026-02-21 12:51:36 [INFO]    [PING OK] US | VLESS | 407ms
2026-02-21 12:51:37 [INFO]    [PING OK] DE | VLESS | 234ms
2026-02-21 12:51:41 [INFO]    [PING OK] NL | VLESS | 206ms
2026-02-21 12:51:42 [INFO]    [PING OK] FR | VLESS | 4266ms
2026-02-21 12:51:47 [INFO]    [PING OK] DE | VLESS | 4634ms
2026-02-21 12:51:49 [INFO]    [PING OK] FR | VLESS | 401ms
2026-02-21 12:51:49 [INFO]    [PING OK] AL | VLESS | 1420ms
2026-02-21 12:51:49 [INFO]    [PING OK] DE | VLESS | 2803ms
2026-02-21 12:51:50 [INFO]    [PING OK] AT | VLESS | 314ms
2026-02-21 12:51:53 [INFO]    [PING OK] IT | VLESS | 408ms
2026-02-21 12:51:54 [INFO]    [PING OK] US | VLESS | 462ms
2026-02-21 12:52:00 [INFO]    [PING OK] US | VLESS | 667ms
2026-02-21 12:52:00 [INFO]    [PING OK] US | VLESS | 618ms
2026-02-21 12:52:01 [INFO]    [PING OK] DE | VLESS | 213ms
2026-02-21 12:52:04 [INFO]    [PING OK] IR | VLESS | 734ms
2026-02-21 12:52:05 [INFO]    [PING OK] NL | VLESS | 210ms
2026-02-21 12:52:06 [INFO]    [PING OK] GB | VLESS | 318ms
2026-02-21 12:52:07 [INFO]    [PING OK] US | VLESS | 612ms
2026-02-21 12:52:08 [INFO]    [PING OK] FR | VLESS | 2892ms
2026-02-21 12:52:08 [INFO]    [PING OK] US | VLESS | 425ms
2026-02-21 12:52:12 [INFO]    [PING OK] FR | VLESS | 550ms
2026-02-21 12:52:15 [INFO]    [PING OK] NL | VLESS | 221ms
2026-02-21 12:52:15 [INFO]    [PING OK] NL | VLESS | 431ms
2026-02-21 12:52:17 [INFO]    [PING OK] DE | VLESS | 483ms
2026-02-21 12:52:17 [INFO]    [PING OK] US | VLESS | 4333ms
2026-02-21 12:52:20 [INFO]    [PING OK] FR | VLESS | 190ms
2026-02-21 12:52:21 [INFO]    [PING OK] BR | VLESS | 1599ms
2026-02-21 12:52:26 [INFO]    [PING OK] AT | VLESS | 246ms
2026-02-21 12:52:28 [INFO]    [PING OK] CY | VLESS | 2211ms
2026-02-21 12:52:28 [INFO]    [PING OK] GB | VLESS | 160ms
2026-02-21 12:52:29 [INFO]    [PING OK] IS | VLESS | 806ms
2026-02-21 12:52:31 [INFO]    [PING OK] US | VLESS | 412ms
2026-02-21 12:52:31 [INFO]    [PING OK] NL | VLESS | 224ms
2026-02-21 12:52:32 [INFO]    [PING OK] US | VLESS | 598ms
2026-02-21 12:52:33 [INFO]    [PING OK] IQ | VLESS | 247ms
2026-02-21 12:52:35 [INFO]    [PING OK] US | VLESS | 713ms
2026-02-21 12:52:36 [INFO]    [PING OK] CY | VLESS | 1348ms
2026-02-21 12:52:36 [INFO]    [PING OK] DE | VLESS | 278ms
2026-02-21 12:52:39 [INFO]    [PING OK] FI | VLESS | 180ms
2026-02-21 12:52:40 [INFO]    [PING OK] NL | VLESS | 215ms
2026-02-21 12:52:40 [INFO]    [PING OK] FR | VLESS | 301ms
2026-02-21 12:52:40 [INFO]    [PING OK] DE | VLESS | 195ms
2026-02-21 12:52:40 [INFO]    [PING OK] DE | VLESS | 2819ms
2026-02-21 12:52:45 [INFO]    [PING OK] US | VLESS | 437ms
2026-02-21 12:52:45 [INFO]    [PING OK] FR | VLESS | 210ms
2026-02-21 12:52:46 [INFO]    [PING OK] FR | VLESS | 185ms
2026-02-21 12:52:46 [INFO]    [PING OK] AU | VLESS | 111ms
2026-02-21 12:52:46 [INFO]    [PING OK] NL | VLESS | 223ms
2026-02-21 12:52:47 [INFO]    [PING OK] FR | VLESS | 353ms
2026-02-21 12:52:50 [INFO]    [PING OK] NL | VLESS | 259ms
2026-02-21 12:53:00 [INFO]    [PING OK] JP | VLESS | 1244ms
2026-02-21 12:53:01 [INFO]    [PING OK] RU | VLESS | 193ms
2026-02-21 12:53:02 [INFO]    [PING OK] FR | VLESS | 225ms
2026-02-21 12:53:07 [INFO]    [PING OK] CH | VLESS | 4853ms
