2026-02-18 17:00:06 [INFO] 🚀 START: Smart Selector (STRICT: ONLY VLESS+REALITY, ANY SNI, Target: 10)
2026-02-18 17:00:06 [INFO] 🌐 Загрузка источников (отбор только VLESS+Reality)...
2026-02-18 17:00:07 [INFO] 🔍 Найдено серверов VLESS+Reality: 1537
2026-02-18 17:00:07 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 40)...
2026-02-18 17:00:30 [INFO]    [PING OK] EE | VLESS-REALITY | SNI: bunny.net | 260ms | Src: raw.githubusercontent.com
2026-02-18 17:00:30 [INFO]    [PING OK] TR | VLESS-REALITY | SNI: yandex.ru | 461ms | Src: raw.githubusercontent.com
2026-02-18 17:00:30 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 213ms | Src: raw.githubusercontent.com
2026-02-18 17:00:31 [INFO]    [PING OK] PL | VLESS-REALITY | SNI: poland.scroogethebest.com | 151ms | Src: raw.githubusercontent.com
2026-02-18 17:00:31 [INFO]    [PING OK] FI | VLESS-REALITY | SNI: google.com | 191ms | Src: raw.githubusercontent.com
2026-02-18 17:00:31 [INFO]    [PING OK] DE | VLESS-REALITY | SNI: live.com | 558ms | Src: raw.githubusercontent.com
2026-02-18 17:00:32 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: bunny.net | 3251ms | Src: raw.githubusercontent.com
2026-02-18 17:00:33 [INFO]    [PING OK] TR | VLESS-REALITY | SNI: yandex.ru | 454ms | Src: raw.githubusercontent.com
2026-02-18 17:00:38 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: bunny.net | 3369ms | Src: raw.githubusercontent.com
2026-02-18 17:00:38 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: knix.fasssst.online | 606ms | Src: raw.githubusercontent.com
2026-02-18 17:00:38 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: m.vk.ru | 329ms | Src: raw.githubusercontent.com
2026-02-18 17:00:38 [INFO]    [PING OK] KZ | VLESS-REALITY | SNI: bunny.net | 412ms | Src: raw.githubusercontent.com
2026-02-18 17:00:39 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: ya.ru | 123ms | Src: raw.githubusercontent.com
2026-02-18 17:00:39 [INFO]    [PING OK] AT | VLESS-REALITY | SNI: one-piece.com | 328ms | Src: raw.githubusercontent.com
2026-02-18 17:00:41 [INFO]    [PING OK] AT | VLESS-REALITY | SNI: at.jojack.ru | 296ms | Src: raw.githubusercontent.com
2026-02-18 17:00:41 [INFO]    [PING OK] IT | VLESS-REALITY | SNI: ozon.ru | 967ms | Src: raw.githubusercontent.com
