2026-02-17 09:40:06 [INFO] 🚀 START: Smart VLESS Selector (Target: 10, Strict Mode)
2026-02-17 09:40:06 [INFO] 🌐 Загрузка источников...
2026-02-17 09:40:08 [INFO] 🔍 Уникальных конфигов собрано: 605
2026-02-17 09:40:08 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 25)...
2026-02-17 09:40:10 [INFO]    [PING OK] US | 700ms
2026-02-17 09:40:11 [INFO]    [PING OK] DE | 192ms
2026-02-17 09:40:12 [INFO]    [PING OK] DE | 133ms
2026-02-17 09:40:12 [INFO]    [PING OK] US | 705ms
2026-02-17 09:40:15 [INFO]    [PING OK] DE | 150ms
2026-02-17 09:40:17 [INFO]    [PING OK] DE | 826ms
2026-02-17 09:40:18 [INFO]    [PING OK] NL | 189ms
2026-02-17 09:40:18 [INFO]    [PING OK] FR | 241ms
2026-02-17 09:40:20 [INFO]    [PING OK] NL | 154ms
2026-02-17 09:40:20 [INFO]    [PING OK] DE | 154ms
2026-02-17 09:40:21 [INFO]    [PING OK] RU | 329ms
2026-02-17 09:40:21 [INFO]    [PING OK] RU | 350ms
2026-02-17 09:40:21 [INFO]    [PING OK] PL | 209ms
2026-02-17 09:40:22 [INFO]    [PING OK] RU | 250ms
2026-02-17 09:40:22 [INFO]    [PING OK] RU | 257ms
2026-02-17 09:40:22 [INFO]    [PING OK] RU | 834ms
2026-02-17 09:40:22 [INFO]    [PING OK] RU | 303ms
2026-02-17 09:40:23 [INFO]    [PING OK] RU | 277ms
2026-02-17 09:40:23 [INFO]    [PING OK] RU | 284ms
2026-02-17 09:40:23 [INFO]    [PING OK] RU | 223ms
2026-02-17 09:40:23 [INFO]    [PING OK] RU | 323ms
2026-02-17 09:40:23 [INFO]    [PING OK] PL | 166ms
2026-02-17 09:40:23 [INFO]    [PING OK] RU | 405ms
2026-02-17 09:40:23 [INFO]    [PING OK] RU | 291ms
2026-02-17 09:40:23 [INFO]    [PING OK] RU | 285ms
2026-02-17 09:40:24 [INFO]    [PING OK] DE | 151ms
2026-02-17 09:40:24 [INFO]    [PING OK] RU | 329ms
2026-02-17 09:40:24 [INFO]    [PING OK] RU | 367ms
2026-02-17 09:40:24 [INFO]    [PING OK] RU | 296ms
2026-02-17 09:40:24 [INFO]    [PING OK] RU | 255ms
2026-02-17 09:40:24 [INFO]    [PING OK] RU | 2342ms
2026-02-17 09:40:24 [INFO]    [PING OK] RU | 265ms
