16:28:00 [INFO] 🚀 FL1P VPN V3.2 - ULTIMATE (AVENCORES + FIXES)
16:28:00 [INFO]    🔥 Priority Countries: FI, EE, LV, SE
16:28:00 [INFO] 📥 Сбор конфигураций (Titan Mode + AvenCores)...
16:28:03 [INFO] 
📊 Найдено ссылок (Raw): 19227
16:28:03 [INFO] 📊 Отфильтровано: 9790 глобальных, 379 WL
16:28:24 [INFO]    🎯 185.207.196.238 (MH) - 5.7Mbps, 492ms [WARP]
16:28:24 [INFO]    🎯 5.34.209.219 (Латвия) - 5.5Mbps, 750ms [WARP]
16:28:24 [INFO]    🎯 5.10.247.238 (Нидерланды) - 5.7Mbps, 736ms [WARP]
16:28:25 [INFO]    🎯 185.18.250.238 (Швейцария) - 5.1Mbps, 526ms [WARP]
16:28:25 [INFO]    🎯 91.149.233.78 (Германия) - 5.0Mbps, 1568ms [WARP]
16:28:26 [INFO]    🎯 57.129.53.182 (Германия) - 5.2Mbps, 137ms [Reality]
16:28:26 [INFO]    🎯 5.187.4.103 (Германия) - 5.0Mbps, 574ms [WARP]
16:28:26 [INFO]    🎯 178.20.209.70 (Германия) - 3.3Mbps, 571ms [WARP]
16:28:26 [INFO]    🎯 185.158.133.138 (Германия) - 5.2Mbps, 617ms [WARP]
16:28:26 [INFO]    🎯 172.104.249.116 (Германия) - 4.7Mbps, 108ms [TCP]
16:28:26 [INFO]    🎯 176.96.138.17 (Германия) - 4.5Mbps, 750ms [WARP]
16:28:26 [INFO]    📊 Deep: 106/531 (20%) | ✅52 ❌54
16:28:27 [INFO]    🎯 185.16.110.1 (Франция) - 4.5Mbps, 502ms [WARP]
16:28:27 [INFO]    🎯 45.12.31.138 (Румыния) - 2.5Mbps, 742ms [WARP]
16:28:27 [INFO]    🎯 193.37.70.98 (Германия) - 8.0Mbps, 446ms [WARP]
16:28:27 [INFO]    🎯 5.175.141.238 (Германия) - 12.6Mbps, 388ms [WARP]
16:28:27 [INFO]    🎯 89.116.250.138 (Литва) - 3.6Mbps, 731ms [WARP]
16:28:29 [INFO]    🎯 89.116.180.138 (Литва) - 2.9Mbps, 554ms [WARP]
16:28:29 [INFO]    🎯 45.135.194.50 (Германия) - 18.0Mbps, 366ms [WARP]
16:28:30 [INFO]    🎯 156.243.246.238 (Германия) - 10.1Mbps, 254ms [WARP]
16:28:30 [INFO]    🎯 156.255.123.138 (HK) - 7.2Mbps, 244ms [WARP]
16:28:31 [INFO]    🎯 45.12.30.238 (Румыния) - 6.3Mbps, 144ms [WARP]
16:28:31 [INFO]    🎯 25.129.199.238 (Британия) - 6.7Mbps, 323ms [WARP]
16:28:31 [INFO]    🎯 57.129.53.181 (Германия) - 6.6Mbps, 96ms [Reality]
16:28:32 [INFO]    🎯 154.197.80.238 (Япония) - 6.3Mbps, 355ms [WARP]
16:28:32 [INFO]    🎯 25.26.27.238 (Британия) - 5.6Mbps, 274ms [WARP]
16:28:32 [INFO]    🎯 27.50.49.238 (Сингапур) - 6.9Mbps, 463ms [WARP]
16:28:32 [INFO]    🎯 185.251.81.238 (Испания) - 6.6Mbps, 379ms [WARP]
16:28:32 [INFO]    🎯 188.164.158.138 (AM) - 6.5Mbps, 335ms [WARP]
16:28:33 [INFO]    🎯 185.170.166.138 (Британия) - 3.7Mbps, 459ms [WARP]
16:28:33 [INFO]    🎯 77.105.163.138 (AM) - 35.4Mbps, 82ms [WARP]
16:28:33 [INFO]    🎯 25.129.198.238 (Британия) - 8.5Mbps, 425ms [WARP]
16:28:34 [INFO]    🎯 92.246.136.173 (Германия) - 17.2Mbps, 376ms [WARP]
16:28:34 [INFO]    🎯 185.184.123.93 (Нидерланды) - 19.8Mbps, 391ms [WARP]
16:28:34 [INFO]    🎯 45.85.119.238 (Румыния) - 14.7Mbps, 492ms [WARP]
16:28:35 [INFO]    🎯 188.241.241.123 (Румыния) - 10.5Mbps, 1134ms [WARP]
16:28:35 [INFO]    🎯 57.129.53.180 (Германия) - 13.0Mbps, 78ms [Reality]
