2026-02-26 07:00:06 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-26 07:00:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-26 07:00:07 [INFO] 🔍 Уникальных конфигов собрано: 409
2026-02-26 07:00:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-26 07:00:13 [INFO]    [PING OK] PL | VLESS | 4778ms
2026-02-26 07:00:13 [INFO]    [PING OK] DE | VLESS | 4973ms
2026-02-26 07:00:13 [INFO]    [PING OK] NL | VLESS | 5057ms
2026-02-26 07:00:13 [INFO]    [PING OK] IT | VLESS | 5115ms
2026-02-26 07:00:13 [INFO]    [PING OK] PL | VLESS | 5106ms
2026-02-26 07:00:13 [INFO]    [PING OK] FI | VLESS | 4959ms
2026-02-26 07:00:13 [INFO]    [PING OK] DE | VLESS | 5025ms
2026-02-26 07:00:13 [INFO]    [PING OK] DE | VLESS | 5079ms
2026-02-26 07:00:13 [INFO]    [PING OK] NL | VLESS | 5047ms
2026-02-26 07:00:14 [INFO]    [PING OK] PL | VLESS | 4017ms
2026-02-26 07:00:14 [INFO]    [PING OK] DE | VLESS | 4309ms
2026-02-26 07:00:14 [INFO]    [PING OK] FI | VLESS | 4703ms
2026-02-26 07:00:14 [INFO]    [PING OK] US | VLESS | 4352ms
2026-02-26 07:00:15 [INFO]    [PING OK] US | VLESS | 4154ms
2026-02-26 07:00:15 [INFO]    [PING OK] LV | VLESS | 3918ms
2026-02-26 07:00:15 [INFO]    [PING OK] FI | VLESS | 3607ms
2026-02-26 07:00:15 [INFO]    [PING OK] PL | VLESS | 4690ms
2026-02-26 07:00:15 [INFO]    [PING OK] NL | VLESS | 3794ms
2026-02-26 07:00:15 [INFO]    [PING OK] ES | VLESS | 3905ms
2026-02-26 07:00:15 [INFO]    [PING OK] PL | VLESS | 3935ms
2026-02-26 07:00:15 [INFO]    [PING OK] US | VLESS | 3973ms
2026-02-26 07:00:15 [INFO]    [PING OK] LT | VLESS | 3606ms
2026-02-26 07:00:17 [INFO]    [PING OK] PL | VLESS | 5285ms
2026-02-26 07:00:17 [INFO]    [PING OK] PL | VLESS | 3251ms
2026-02-26 07:00:17 [INFO]    [PING OK] NL | VLESS | 3429ms
2026-02-26 07:00:17 [INFO]    [PING OK] NL | VLESS | 3034ms
