2026-02-27 06:50:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-27 06:50:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-27 06:50:07 [INFO] 🔍 Уникальных конфигов собрано: 428
2026-02-27 06:50:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-27 06:50:30 [INFO]    [PING OK] HK | VLESS | 5226ms
2026-02-27 06:50:30 [INFO]    [PING OK] HK | VLESS | 5181ms
2026-02-27 06:50:32 [INFO]    [PING OK] DE | VLESS | 5285ms
2026-02-27 06:50:32 [INFO]    [PING OK] DE | VLESS | 4613ms
2026-02-27 06:50:32 [INFO]    [PING OK] CA | VLESS | 5019ms
2026-02-27 06:50:32 [INFO]    [PING OK] DE | VLESS | 6323ms
2026-02-27 06:50:32 [INFO]    [PING OK] NL | VLESS | 4540ms
2026-02-27 06:50:32 [INFO]    [PING OK] FI | VLESS | 4644ms
2026-02-27 06:50:35 [INFO]    [PING OK] JP | VLESS | 4557ms
2026-02-27 06:50:35 [INFO]    [PING OK] EE | VLESS | 4375ms
2026-02-27 06:50:35 [INFO]    [PING OK] PL | VLESS | 4425ms
2026-02-27 06:50:35 [INFO]    [PING OK] CA | VLESS | 4888ms
2026-02-27 06:50:36 [INFO]    [PING OK] CA | VLESS | 4879ms
2026-02-27 06:50:36 [INFO]    [PING OK] SE | VLESS | 8254ms
2026-02-27 06:50:36 [INFO]    [PING OK] LT | VLESS | 4923ms
2026-02-27 06:50:36 [INFO]    [PING OK] CZ | VLESS | 5273ms
2026-02-27 06:50:37 [INFO]    [PING OK] PL | VLESS | 5249ms
2026-02-27 06:50:37 [INFO]    [PING OK] DE | VLESS | 5800ms
2026-02-27 06:50:37 [INFO]    [PING OK] NL | VLESS | 4571ms
2026-02-27 06:50:37 [INFO]    [PING OK] EE | VLESS | 3998ms
2026-02-27 06:50:38 [INFO]    [PING OK] KZ | VLESS | 4374ms
2026-02-27 06:50:38 [INFO]    [PING OK] FR | VLESS | 4660ms
2026-02-27 06:50:38 [INFO]    [PING OK] TR | VLESS | 4719ms
2026-02-27 06:50:38 [INFO]    [PING OK] PL | VLESS | 4215ms
2026-02-27 06:50:39 [INFO]    [PING OK] FI | VLESS | 4322ms
2026-02-27 06:50:39 [INFO]    [PING OK] CA | VLESS | 4651ms
2026-02-27 06:50:39 [INFO]    [PING OK] JP | VLESS | 4716ms
2026-02-27 06:50:39 [INFO]    [PING OK] PL | VLESS | 4396ms
2026-02-27 06:50:39 [INFO]    [PING OK] ES | VLESS | 4636ms
2026-02-27 06:50:40 [INFO]    [PING OK] PL | VLESS | 4375ms
2026-02-27 06:50:40 [INFO]    [PING OK] EE | VLESS | 4671ms
2026-02-27 06:50:40 [INFO]    [PING OK] IT | VLESS | 4216ms
2026-02-27 06:50:40 [INFO]    [PING OK] JP | VLESS | 4794ms
2026-02-27 06:50:40 [INFO]    [PING OK] FR | VLESS | 4483ms
2026-02-27 06:50:40 [INFO]    [PING OK] EE | VLESS | 4246ms
2026-02-27 06:50:40 [INFO]    [PING OK] NL | VLESS | 4590ms
2026-02-27 06:50:41 [INFO]    [PING OK] US | VLESS | 4397ms
2026-02-27 06:50:41 [INFO]    [PING OK] DE | VLESS | 4433ms
2026-02-27 06:50:41 [INFO]    [PING OK] CZ | VLESS | 3889ms
2026-02-27 06:50:42 [INFO]    [PING OK] NL | VLESS | 3676ms
2026-02-27 06:50:42 [INFO]    [PING OK] TR | VLESS | 3905ms
2026-02-27 06:50:42 [INFO]    [PING OK] ES | VLESS | 4226ms
2026-02-27 06:50:42 [INFO]    [PING OK] NL | VLESS | 4130ms
2026-02-27 06:50:42 [INFO]    [PING OK] AE | VLESS | 3906ms
2026-02-27 06:50:43 [INFO]    [PING OK] US | VLESS | 4029ms
2026-02-27 06:50:43 [INFO]    [PING OK] US | VLESS | 4649ms
2026-02-27 06:50:43 [INFO]    [PING OK] PL | VLESS | 4125ms
2026-02-27 06:50:43 [INFO]    [PING OK] NO | VLESS | 4379ms
2026-02-27 06:50:44 [INFO]    [PING OK] NL | VLESS | 4412ms
2026-02-27 06:50:44 [INFO]    [PING OK] ES | VLESS | 4120ms
2026-02-27 06:50:44 [INFO]    [PING OK] PL | VLESS | 3997ms
2026-02-27 06:50:44 [INFO]    [PING OK] DE | VLESS | 4058ms
2026-02-27 06:50:45 [INFO]    [PING OK] HU | VLESS | 4130ms
2026-02-27 06:50:45 [INFO]    [PING OK] ES | VLESS | 3887ms
2026-02-27 06:50:45 [INFO]    [PING OK] FR | VLESS | 5429ms
2026-02-27 06:50:46 [INFO]    [PING OK] PL | VLESS | 4385ms
2026-02-27 06:50:46 [INFO]    [PING OK] CH | VLESS | 4482ms
2026-02-27 06:50:46 [INFO]    [PING OK] EE | VLESS | 4440ms
2026-02-27 06:50:46 [INFO]    [PING OK] FI | VLESS | 4253ms
2026-02-27 06:50:47 [INFO]    [PING OK] DE | VLESS | 4455ms
2026-02-27 06:50:47 [INFO]    [PING OK] DE | VLESS | 4595ms
2026-02-27 06:50:47 [INFO]    [PING OK] FI | VLESS | 4777ms
2026-02-27 06:50:47 [INFO]    [PING OK] JP | VLESS | 4635ms
2026-02-27 06:50:47 [INFO]    [PING OK] NL | VLESS | 4833ms
2026-02-27 06:50:48 [INFO]    [PING OK] HU | VLESS | 4494ms
2026-02-27 06:50:48 [INFO]    [PING OK] NL | VLESS | 4832ms
2026-02-27 06:50:48 [INFO]    [PING OK] NL | VLESS | 4850ms
2026-02-27 06:50:49 [INFO]    [PING OK] PL | VLESS | 4597ms
2026-02-27 06:50:49 [INFO]    [PING OK] FI | VLESS | 4558ms
2026-02-27 06:50:49 [INFO]    [PING OK] TR | VLESS | 4358ms
2026-02-27 06:50:50 [INFO]    [PING OK] FI | VLESS | 4472ms
2026-02-27 06:50:51 [INFO]    [PING OK] DE | VLESS | 4621ms
2026-02-27 06:50:51 [INFO]    [PING OK] US | VLESS | 4629ms
2026-02-27 06:50:51 [INFO]    [PING OK] LV | VLESS | 4454ms
2026-02-27 06:50:51 [INFO]    [PING OK] PL | VLESS | 5809ms
2026-02-27 06:50:51 [INFO]    [PING OK] PL | VLESS | 4340ms
2026-02-27 06:50:51 [INFO]    [PING OK] KZ | VLESS | 4840ms
2026-02-27 06:50:51 [INFO]    [PING OK] PL | VLESS | 4563ms
2026-02-27 06:50:51 [INFO]    [PING OK] PL | VLESS | 4634ms
2026-02-27 06:50:52 [INFO]    [PING OK] DE | VLESS | 3958ms
2026-02-27 06:50:52 [INFO]    [PING OK] DE | VLESS | 4270ms
2026-02-27 06:50:52 [INFO]    [PING OK] US | VLESS | 3969ms
2026-02-27 06:50:52 [INFO]    [PING OK] DE | VLESS | 4076ms
2026-02-27 06:50:52 [INFO]    [PING OK] DE | VLESS | 3745ms
2026-02-27 06:50:52 [INFO]    [PING OK] SG | VLESS | 4177ms
2026-02-27 06:50:52 [INFO]    [PING OK] LV | VLESS | 3473ms
2026-02-27 06:50:52 [INFO]    [PING OK] DE | VLESS | 4064ms
2026-02-27 06:50:52 [INFO]    [PING OK] US | VLESS | 3986ms
2026-02-27 06:50:53 [INFO]    [PING OK] DE | VLESS | 2182ms
2026-02-27 06:50:53 [INFO]    [PING OK] SG | VLESS | 3529ms
2026-02-27 06:50:53 [INFO]    [PING OK] CA | VLESS | 3668ms
2026-02-27 06:50:53 [INFO]    [PING OK] CA | VLESS | 2382ms
2026-02-27 06:50:55 [INFO]    [PING OK] DE | VLESS | 3604ms
2026-02-27 06:50:57 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для 40 иностранных кандидатов...
2026-02-27 06:51:01 [INFO]    🏆 LV | VLESS | Пинг: 3473ms | Скорость: 6.55 Mbps ⚡⚡
2026-02-27 06:51:01 [INFO]    🏆 DE | VLESS | Пинг: 3745ms | Скорость: 6.55 Mbps ⚡⚡
