2026-02-26 07:10:06 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-26 07:10:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-26 07:10:07 [INFO] 🔍 Уникальных конфигов собрано: 409
2026-02-26 07:10:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-26 07:10:13 [INFO]    [PING OK] IT | VLESS | 4407ms
2026-02-26 07:10:13 [INFO]    [PING OK] NL | VLESS | 4624ms
2026-02-26 07:10:13 [INFO]    [PING OK] FI | VLESS | 4471ms
2026-02-26 07:10:13 [INFO]    [PING OK] DE | VLESS | 4693ms
2026-02-26 07:10:13 [INFO]    [PING OK] NL | VLESS | 4868ms
2026-02-26 07:10:13 [INFO]    [PING OK] PL | VLESS | 4741ms
2026-02-26 07:10:14 [INFO]    [PING OK] DE | VLESS | 4612ms
2026-02-26 07:10:14 [INFO]    [PING OK] ES | VLESS | 4295ms
2026-02-26 07:10:14 [INFO]    [PING OK] PL | VLESS | 4476ms
2026-02-26 07:10:14 [INFO]    [PING OK] NL | VLESS | 4484ms
2026-02-26 07:10:14 [INFO]    [PING OK] NL | VLESS | 4632ms
2026-02-26 07:10:15 [INFO]    [PING OK] DE | VLESS | 4795ms
2026-02-26 07:10:15 [INFO]    [PING OK] FR | VLESS | 4593ms
2026-02-26 07:10:15 [INFO]    [PING OK] PL | VLESS | 4233ms
2026-02-26 07:10:16 [INFO]    [PING OK] TR | VLESS | 4585ms
2026-02-26 07:10:16 [INFO]    [PING OK] DE | VLESS | 4689ms
2026-02-26 07:10:18 [INFO]    [PING OK] ES | VLESS | 3834ms
2026-02-26 07:10:18 [INFO]    [PING OK] NL | VLESS | 3733ms
2026-02-26 07:10:18 [INFO]    [PING OK] PL | VLESS | 3529ms
2026-02-26 07:10:18 [INFO]    [PING OK] NL | VLESS | 3724ms
2026-02-26 07:10:18 [INFO]    [PING OK] DE | VLESS | 8096ms
2026-02-26 07:10:18 [INFO]    [PING OK] PL | VLESS | 3551ms
