2026-02-27 07:00:06 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-27 07:00:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-27 07:00:07 [INFO] 🔍 Уникальных конфигов собрано: 429
2026-02-27 07:00:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-27 07:00:30 [INFO]    [PING OK] BE | VLESS | 4023ms
2026-02-27 07:00:30 [INFO]    [PING OK] US | VLESS | 3965ms
2026-02-27 07:00:30 [INFO]    [PING OK] PL | VLESS | 3885ms
2026-02-27 07:00:31 [INFO]    [PING OK] PL | VLESS | 3876ms
2026-02-27 07:00:31 [INFO]    [PING OK] LV | VLESS | 4091ms
2026-02-27 07:00:31 [INFO]    [PING OK] IT | VLESS | 4105ms
2026-02-27 07:00:31 [INFO]    [PING OK] TR | VLESS | 4116ms
2026-02-27 07:00:31 [INFO]    [PING OK] CA | VLESS | 3965ms
2026-02-27 07:00:31 [INFO]    [PING OK] PL | VLESS | 3992ms
2026-02-27 07:00:32 [INFO]    [PING OK] NL | VLESS | 3952ms
2026-02-27 07:00:32 [INFO]    [PING OK] FR | VLESS | 4064ms
2026-02-27 07:00:32 [INFO]    [PING OK] RO | VLESS | 5532ms
2026-02-27 07:00:33 [INFO]    [PING OK] TR | VLESS | 4816ms
2026-02-27 07:00:33 [INFO]    [PING OK] NL | VLESS | 3970ms
2026-02-27 07:00:33 [INFO]    [PING OK] FI | VLESS | 4003ms
2026-02-27 07:00:33 [INFO]    [PING OK] NL | VLESS | 4256ms
2026-02-27 07:00:34 [INFO]    [PING OK] FI | VLESS | 4022ms
2026-02-27 07:00:34 [INFO]    [PING OK] LT | VLESS | 4212ms
2026-02-27 07:00:34 [INFO]    [PING OK] DE | VLESS | 4413ms
2026-02-27 07:00:34 [INFO]    [PING OK] FI | VLESS | 3799ms
2026-02-27 07:00:34 [INFO]    [PING OK] DE | VLESS | 4479ms
2026-02-27 07:00:34 [INFO]    [PING OK] HU | VLESS | 4422ms
2026-02-27 07:00:34 [INFO]    [PING OK] DE | VLESS | 4130ms
2026-02-27 07:00:34 [INFO]    [PING OK] PL | VLESS | 4276ms
2026-02-27 07:00:34 [INFO]    [PING OK] LV | VLESS | 4048ms
2026-02-27 07:00:35 [INFO]    [PING OK] LT | VLESS | 4545ms
2026-02-27 07:00:35 [INFO]    [PING OK] JP | VLESS | 4119ms
2026-02-27 07:00:36 [INFO]    [PING OK] NL | VLESS | 4571ms
2026-02-27 07:00:36 [INFO]    [PING OK] JP | VLESS | 4294ms
2026-02-27 07:00:36 [INFO]    [PING OK] CA | VLESS | 4626ms
2026-02-27 07:00:37 [INFO]    [PING OK] PL | VLESS | 4758ms
2026-02-27 07:00:37 [INFO]    [PING OK] NL | VLESS | 4452ms
