2026-02-17 22:20:05 [INFO] 🚀 START: Smart VLESS Selector (Target: 10, Strict Mode)
2026-02-17 22:20:05 [INFO] 🌐 Загрузка источников...
2026-02-17 22:20:08 [INFO] 🔍 Уникальных конфигов собрано: 351
2026-02-17 22:20:08 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 25)...
2026-02-17 22:20:19 [INFO]    [PING OK] RU | 45ms
2026-02-17 22:20:19 [INFO]    [PING OK] RU | 316ms
2026-02-17 22:20:19 [INFO]    [PING OK] RU | 240ms
2026-02-17 22:20:19 [INFO]    [PING OK] RU | 362ms
2026-02-17 22:20:19 [INFO]    [PING OK] RU | 188ms
2026-02-17 22:20:19 [INFO]    [PING OK] RU | 153ms
2026-02-17 22:20:19 [INFO]    [PING OK] RU | 396ms
2026-02-17 22:20:19 [INFO]    [PING OK] RU | 3022ms
2026-02-17 22:20:19 [INFO]    [PING OK] RU | 236ms
2026-02-17 22:20:20 [INFO]    [PING OK] RU | 271ms
2026-02-17 22:20:20 [INFO]    [PING OK] RU | 326ms
2026-02-17 22:20:20 [INFO]    [PING OK] RU | 215ms
2026-02-17 22:20:20 [INFO]    [PING OK] RU | 59ms
2026-02-17 22:20:20 [INFO]    [PING OK] RU | 144ms
2026-02-17 22:20:20 [INFO]    [PING OK] RU | 216ms
2026-02-17 22:20:20 [INFO]    [PING OK] RU | 91ms
2026-02-17 22:20:20 [INFO]    [PING OK] RU | 682ms
2026-02-17 22:20:20 [INFO]    [PING OK] HU | 1367ms
2026-02-17 22:20:20 [INFO]    [PING OK] RU | 1150ms
2026-02-17 22:20:21 [INFO]    [PING OK] FR | 466ms
2026-02-17 22:20:22 [INFO]    [PING OK] FI | 498ms
2026-02-17 22:20:22 [INFO]    [PING OK] US | 456ms
2026-02-17 22:20:22 [INFO]    [PING OK] RU | 2630ms
2026-02-17 22:20:23 [INFO]    [PING OK] JP | 1073ms
2026-02-17 22:20:23 [INFO]    [PING OK] DE | 192ms
2026-02-17 22:20:25 [INFO]    [PING OK] AE | 236ms
2026-02-17 22:20:26 [INFO]    [PING OK] PL | 123ms
2026-02-17 22:20:26 [INFO]    [PING OK] HU | 351ms
2026-02-17 22:20:27 [INFO]    [PING OK] LV | 446ms
2026-02-17 22:20:27 [INFO]    [PING OK] UZ | 245ms
2026-02-17 22:20:27 [INFO]    [PING OK] FI | 198ms
2026-02-17 22:20:27 [INFO]    [PING OK] IQ | 182ms
2026-02-17 22:20:28 [INFO]    [PING OK] FR | 222ms
2026-02-17 22:20:29 [INFO]    [PING OK] RU | 1149ms
2026-02-17 22:20:30 [INFO]    [PING OK] PL | 210ms
2026-02-17 22:20:31 [INFO]    [PING OK] RU | 168ms
2026-02-17 22:20:32 [INFO]    [PING OK] DE | 233ms
2026-02-17 22:20:32 [INFO]    [PING OK] DE | 519ms
2026-02-17 22:20:33 [INFO]    [PING OK] AT | 243ms
2026-02-17 22:20:34 [INFO]    [PING OK] GB | 166ms
2026-02-17 22:20:35 [INFO]    [PING OK] RU | 373ms
