2026-02-17 11:10:05 [INFO] 🚀 START: Smart VLESS Selector (Target: 10, Strict Mode)
2026-02-17 11:10:05 [INFO] 🌐 Загрузка источников...
2026-02-17 11:10:08 [INFO] 🔍 Уникальных конфигов собрано: 571
2026-02-17 11:10:08 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 25)...
2026-02-17 11:10:10 [INFO]    [PING OK] NL | 162ms
2026-02-17 11:10:20 [INFO]    [PING OK] DE | 335ms
2026-02-17 11:10:20 [INFO]    [PING OK] DE | 166ms
2026-02-17 11:10:21 [INFO]    [PING OK] DE | 148ms
2026-02-17 11:10:21 [INFO]    [PING OK] DE | 198ms
2026-02-17 11:10:22 [INFO]    [PING OK] US | 759ms
2026-02-17 11:10:23 [INFO]    [PING OK] DE | 3305ms
2026-02-17 11:10:24 [INFO]    [PING OK] RU | 196ms
2026-02-17 11:10:24 [INFO]    [PING OK] RU | 307ms
2026-02-17 11:10:25 [INFO]    [PING OK] RU | 267ms
2026-02-17 11:10:25 [INFO]    [PING OK] RU | 284ms
2026-02-17 11:10:25 [INFO]    [PING OK] RU | 971ms
2026-02-17 11:10:25 [INFO]    [PING OK] RU | 227ms
2026-02-17 11:10:25 [INFO]    [PING OK] RU | 567ms
2026-02-17 11:10:25 [INFO]    [PING OK] RU | 289ms
2026-02-17 11:10:25 [INFO]    [PING OK] RU | 378ms
2026-02-17 11:10:26 [INFO]    [PING OK] RU | 155ms
2026-02-17 11:10:26 [INFO]    [PING OK] RU | 284ms
2026-02-17 11:10:26 [INFO]    [PING OK] RU | 334ms
2026-02-17 11:10:26 [INFO]    [PING OK] RU | 305ms
2026-02-17 11:10:27 [INFO]    [PING OK] RU | 287ms
2026-02-17 11:10:27 [INFO]    [PING OK] RU | 207ms
2026-02-17 11:10:27 [INFO]    [PING OK] RU | 137ms
2026-02-17 11:10:27 [INFO]    [PING OK] RU | 315ms
2026-02-17 11:10:27 [INFO]    [PING OK] RU | 301ms
2026-02-17 11:10:27 [INFO]    [PING OK] RU | 345ms
2026-02-17 11:10:27 [INFO]    [PING OK] RU | 188ms
2026-02-17 11:10:27 [INFO]    [PING OK] RU | 157ms
2026-02-17 11:10:27 [INFO]    [PING OK] RU | 396ms
2026-02-17 11:10:27 [INFO]    [PING OK] RU | 362ms
2026-02-17 11:10:28 [INFO]    [PING OK] RU | 325ms
2026-02-17 11:10:28 [INFO]    [PING OK] RU | 113ms
2026-02-17 11:10:28 [INFO]    [PING OK] RU | 342ms
2026-02-17 11:10:28 [INFO]    [PING OK] RU | 138ms
2026-02-17 11:10:28 [INFO]    [PING OK] PL | 201ms
2026-02-17 11:10:28 [INFO]    [PING OK] RU | 172ms
2026-02-17 11:10:28 [INFO]    [PING OK] RU | 101ms
2026-02-17 11:10:28 [INFO]    [PING OK] RU | 210ms
2026-02-17 11:10:28 [INFO]    [PING OK] RU | 289ms
2026-02-17 11:10:29 [INFO]    [PING OK] RU | 321ms
2026-02-17 11:10:29 [INFO]    [PING OK] RU | 121ms
2026-02-17 11:10:29 [INFO]    [PING OK] RU | 237ms
