2026-02-21 13:30:06 [INFO] 🚀 START: Smart Selector (Target: 10, Strict Mode, Hybrid Protocol)
2026-02-21 13:30:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-21 13:30:14 [INFO] 🔍 Уникальных конфигов собрано: 3595
2026-02-21 13:30:14 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 40)...
2026-02-21 13:30:39 [INFO]    [PING OK] IT | VLESS | 548ms
2026-02-21 13:30:39 [INFO]    [PING OK] FI | VLESS | 227ms
2026-02-21 13:30:39 [INFO]    [PING OK] GB | VLESS | 881ms
2026-02-21 13:30:39 [INFO]    [PING OK] DE | VLESS | 190ms
2026-02-21 13:30:39 [INFO]    [PING OK] DE | VLESS | 214ms
2026-02-21 13:30:39 [INFO]    [PING OK] RU | VMESS | 845ms
2026-02-21 13:30:39 [INFO]    [PING OK] SE | VLESS | 102ms
2026-02-21 13:30:40 [INFO]    [PING OK] TW | VMESS | 573ms
2026-02-21 13:30:40 [INFO]    [PING OK] NL | VMESS | 2057ms
2026-02-21 13:30:40 [INFO]    [PING OK] US | VLESS | 610ms
2026-02-21 13:30:40 [INFO]    [PING OK] CA | VLESS | 337ms
2026-02-21 13:30:40 [INFO]    [PING OK] GB | VLESS | 4184ms
2026-02-21 13:30:41 [INFO]    [PING OK] DE | VLESS | 2613ms
2026-02-21 13:30:41 [INFO]    [PING OK] US | VLESS | 649ms
2026-02-21 13:30:41 [INFO]    [PING OK] FR | VMESS | 124ms
2026-02-21 13:30:41 [INFO]    [PING OK] SG | VLESS | 608ms
2026-02-21 13:30:41 [INFO]    [PING OK] US | VLESS | 615ms
2026-02-21 13:30:42 [INFO]    [PING OK] DE | VLESS | 361ms
2026-02-21 13:30:42 [INFO]    [PING OK] CY | VLESS | 389ms
2026-02-21 13:30:42 [INFO]    [PING OK] AT | VLESS | 237ms
2026-02-21 13:30:42 [INFO]    [PING OK] AU | VLESS | 672ms
2026-02-21 13:30:42 [INFO]    [PING OK] FI | VLESS | 211ms
2026-02-21 13:30:43 [INFO]    [PING OK] DE | VLESS | 473ms
2026-02-21 13:30:43 [INFO]    [PING OK] US | VLESS | 449ms
2026-02-21 13:30:44 [INFO]    [PING OK] MD | VLESS | 188ms
2026-02-21 13:30:44 [INFO]    [PING OK] JP | VLESS | 1501ms
2026-02-21 13:30:44 [INFO]    [PING OK] CY | VLESS | 256ms
2026-02-21 13:30:44 [INFO]    [PING OK] US | VLESS | 546ms
2026-02-21 13:30:45 [INFO]    [PING OK] CA | VMESS | 476ms
2026-02-21 13:30:45 [INFO]    [PING OK] IS | VLESS | 937ms
2026-02-21 13:30:45 [INFO]    [PING OK] HK | VLESS | 1259ms
2026-02-21 13:30:49 [INFO]    [PING OK] US | VLESS | 426ms
2026-02-21 13:30:51 [INFO]    [PING OK] DE | VLESS | 143ms
2026-02-21 13:30:52 [INFO]    [PING OK] DE | VLESS | 102ms
2026-02-21 13:30:52 [INFO]    [PING OK] DE | VLESS | 598ms
2026-02-21 13:30:54 [INFO]    [PING OK] DE | VLESS | 394ms
2026-02-21 13:30:55 [INFO]    [PING OK] DE | VLESS | 115ms
2026-02-21 13:30:57 [INFO]    [PING OK] DE | VLESS | 119ms
2026-02-21 13:31:01 [INFO]    [PING OK] DE | VLESS | 107ms
2026-02-21 13:31:04 [INFO]    [PING OK] FR | VLESS | 1657ms
2026-02-21 13:31:05 [INFO]    [PING OK] DE | VLESS | 112ms
2026-02-21 13:31:06 [INFO]    [PING OK] DE | VLESS | 120ms
2026-02-21 13:31:07 [INFO]    [PING OK] TR | VLESS | 278ms
2026-02-21 13:31:08 [INFO]    [PING OK] DE | VLESS | 159ms
2026-02-21 13:31:08 [INFO]    [PING OK] SE | VLESS | 109ms
2026-02-21 13:31:08 [INFO]    [PING OK] RU | VLESS | 393ms
2026-02-21 13:31:09 [INFO]    [PING OK] RU | VLESS | 114ms
2026-02-21 13:31:09 [INFO]    [PING OK] SC | VLESS | 1174ms
2026-02-21 13:31:10 [INFO]    [PING OK] RU | VLESS | 266ms
2026-02-21 13:31:11 [INFO]    [PING OK] RU | VLESS | 144ms
2026-02-21 13:31:14 [INFO]    [PING OK] DE | VLESS | 1361ms
2026-02-21 13:31:15 [INFO]    [PING OK] DE | VLESS | 295ms
