2026-02-22 04:50:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-22 04:50:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-22 04:50:08 [INFO] 🔍 Уникальных конфигов собрано: 260
2026-02-22 04:50:08 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-22 04:50:45 [INFO]    🏆 US | VLESS | Пинг: 2399ms | Скорость: 4.82 Mbps ⚡⚡
2026-02-22 04:50:47 [INFO]    🏆 CA | VLESS | Пинг: 1919ms | Скорость: 0.67 Mbps 
2026-02-22 04:50:47 [INFO]    🏆 IT | VLESS | Пинг: 3300ms | Скорость: 2.9 Mbps ⚡
2026-02-22 04:50:47 [INFO]    🏆 FR | VLESS | Пинг: 2585ms | Скорость: 3.06 Mbps ⚡⚡
2026-02-22 04:50:47 [INFO]    🏆 PL | VLESS | Пинг: 3868ms | Скорость: 3.33 Mbps ⚡⚡
2026-02-22 04:50:47 [INFO]    🏆 NL | VLESS | Пинг: 3644ms | Скорость: 0.67 Mbps 
2026-02-22 04:50:47 [INFO]    🏆 NL | VLESS | Пинг: 3800ms | Скорость: 1.86 Mbps ⚡
2026-02-22 04:50:48 [INFO]    🏆 ES | VLESS | Пинг: 3912ms | Скорость: 7.28 Mbps ⚡⚡
2026-02-22 04:50:48 [INFO]    🏆 ES | VLESS | Пинг: 3984ms | Скорость: 7.67 Mbps ⚡⚡
2026-02-22 04:50:48 [INFO]    🏆 PL | VLESS | Пинг: 3905ms | Скорость: 7.21 Mbps ⚡⚡
2026-02-22 04:50:48 [INFO]    🏆 PL | VLESS | Пинг: 4009ms | Скорость: 7.97 Mbps ⚡⚡
2026-02-22 04:50:48 [INFO]    🏆 ES | VLESS | Пинг: 3962ms | Скорость: 7.07 Mbps ⚡⚡
2026-02-22 04:50:49 [INFO]    🏆 TR | VLESS | Пинг: 3965ms | Скорость: 7.09 Mbps ⚡⚡
2026-02-22 04:50:49 [INFO]    🏆 IT | VLESS | Пинг: 3967ms | Скорость: 7.08 Mbps ⚡⚡
