2026-02-23 22:40:06 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-23 22:40:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-23 22:40:08 [INFO] 🔍 Уникальных конфигов собрано: 162
2026-02-23 22:40:08 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-23 22:40:13 [INFO]    [PING OK] FI | VLESS | 4502ms
2026-02-23 22:40:14 [INFO]    [PING OK] PL | VLESS | 4558ms
2026-02-23 22:40:14 [INFO]    [PING OK] HU | VLESS | 4372ms
2026-02-23 22:40:14 [INFO]    [PING OK] ES | VLESS | 4981ms
2026-02-23 22:40:14 [INFO]    [PING OK] HU | VLESS | 5173ms
2026-02-23 22:40:14 [INFO]    [PING OK] ES | VLESS | 4878ms
2026-02-23 22:40:14 [INFO]    [PING OK] PL | VLESS | 4864ms
2026-02-23 22:40:14 [INFO]    [PING OK] ES | VLESS | 4616ms
2026-02-23 22:40:14 [INFO]    [PING OK] TR | VLESS | 4844ms
2026-02-23 22:40:14 [INFO]    [PING OK] ES | VLESS | 4704ms
2026-02-23 22:40:14 [INFO]    [PING OK] HU | VLESS | 4846ms
2026-02-23 22:40:14 [INFO]    [PING OK] ES | VLESS | 4496ms
2026-02-23 22:40:14 [INFO]    [PING OK] TR | VLESS | 4564ms
2026-02-23 22:40:15 [INFO]    [PING OK] ES | VLESS | 4373ms
2026-02-23 22:40:15 [INFO]    [PING OK] HU | VLESS | 4223ms
2026-02-23 22:40:15 [INFO]    [PING OK] DE | VLESS | 5414ms
2026-02-23 22:40:15 [INFO]    [PING OK] PL | VLESS | 4442ms
2026-02-23 22:40:15 [INFO]    [PING OK] ES | VLESS | 4120ms
2026-02-23 22:40:15 [INFO]    [PING OK] TR | VLESS | 4313ms
2026-02-23 22:40:16 [INFO]    [PING OK] ES | VLESS | 4176ms
2026-02-23 22:40:17 [INFO]    [PING OK] EE | VLESS | 7028ms
2026-02-23 22:40:18 [INFO]    [PING OK] DE | VLESS | 4922ms
2026-02-23 22:40:18 [INFO]    [PING OK] PL | VLESS | 4976ms
2026-02-23 22:40:18 [INFO]    [PING OK] HU | VLESS | 4931ms
2026-02-23 22:40:19 [INFO]    [PING OK] HU | VLESS | 5777ms
2026-02-23 22:40:20 [INFO]    [PING OK] PL | VLESS | 8162ms
2026-02-23 22:40:20 [INFO]    [PING OK] DE | VLESS | 5346ms
2026-02-23 22:40:20 [INFO]    [PING OK] SE | VLESS | 5372ms
2026-02-23 22:40:20 [INFO]    [PING OK] SE | VLESS | 5544ms
2026-02-23 22:40:20 [INFO]    [PING OK] DE | VLESS | 5722ms
2026-02-23 22:40:20 [INFO]    [PING OK] EE | VLESS | 5568ms
2026-02-23 22:40:21 [INFO]    [PING OK] US | VLESS | 5619ms
2026-02-23 22:40:22 [INFO]    [PING OK] SG | VLESS | 6467ms
2026-02-23 22:40:22 [INFO]    [PING OK] DE | VLESS | 5453ms
2026-02-23 22:40:22 [INFO]    [PING OK] CA | VLESS | 6151ms
2026-02-23 22:40:22 [INFO]    [PING OK] SE | VLESS | 7063ms
2026-02-23 22:40:23 [INFO]    [PING OK] DE | VLESS | 4092ms
2026-02-23 22:40:23 [INFO]    [PING OK] SE | VLESS | 3429ms
2026-02-23 22:40:23 [INFO]    [PING OK] DE | VLESS | 1233ms
2026-02-23 22:40:23 [INFO]    [PING OK] SE | VLESS | 3713ms
2026-02-23 22:40:23 [INFO]    [PING OK] CA | VLESS | 4089ms
2026-02-23 22:40:24 [INFO]    [PING OK] SG | VLESS | 2680ms
2026-02-23 22:40:25 [INFO]    [PING OK] CA | VLESS | 4558ms
2026-02-23 22:40:25 [INFO]    [PING OK] CA | VLESS | 6112ms
2026-02-23 22:40:26 [INFO]    [PING OK] CA | VLESS | 6311ms
2026-02-23 22:40:26 [INFO]    [PING OK] US | VLESS | 6957ms
2026-02-23 22:40:26 [INFO]    [PING OK] NL | VLESS | 5612ms
2026-02-23 22:40:28 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для 40 иностранных кандидатов...
2026-02-23 22:40:32 [INFO]    🏆 DE | VLESS | Пинг: 1233ms | Скорость: 5.87 Mbps ⚡⚡
2026-02-23 22:40:32 [INFO]    🏆 SE | VLESS | Пинг: 3429ms | Скорость: 5.78 Mbps ⚡⚡
