2026-02-26 05:10:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-26 05:10:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-26 05:10:07 [INFO] 🔍 Уникальных конфигов собрано: 617
2026-02-26 05:10:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-26 05:10:37 [INFO]    [PING OK] DE | VLESS | 4282ms
2026-02-26 05:10:37 [INFO]    [PING OK] PL | VLESS | 3848ms
2026-02-26 05:10:38 [INFO]    [PING OK] FI | VLESS | 3897ms
2026-02-26 05:10:38 [INFO]    [PING OK] HU | VLESS | 3676ms
2026-02-26 05:10:39 [INFO]    [PING OK] EE | VLESS | 3722ms
2026-02-26 05:10:39 [INFO]    [PING OK] LT | VLESS | 3697ms
2026-02-26 05:10:39 [INFO]    [PING OK] IT | VLESS | 3574ms
2026-02-26 05:10:39 [INFO]    [PING OK] GB | VLESS | 3174ms
2026-02-26 05:10:39 [INFO]    [PING OK] NL | VLESS | 3499ms
2026-02-26 05:10:40 [INFO]    [PING OK] NL | VLESS | 3166ms
2026-02-26 05:10:40 [INFO]    [PING OK] PL | VLESS | 6494ms
2026-02-26 05:10:41 [INFO]    [PING OK] NL | VLESS | 3324ms
2026-02-26 05:10:41 [INFO]    [PING OK] PL | VLESS | 5662ms
2026-02-26 05:10:42 [INFO]    [PING OK] NL | VLESS | 3808ms
2026-02-26 05:10:42 [INFO]    [PING OK] NL | VLESS | 3746ms
2026-02-26 05:10:42 [INFO]    [PING OK] DE | VLESS | 3952ms
2026-02-26 05:10:42 [INFO]    [PING OK] NL | VLESS | 4093ms
2026-02-26 05:10:43 [INFO]    [PING OK] TR | VLESS | 4225ms
2026-02-26 05:10:43 [INFO]    [PING OK] NL | VLESS | 4121ms
2026-02-26 05:10:43 [INFO]    [PING OK] NL | VLESS | 4151ms
2026-02-26 05:10:44 [INFO]    [PING OK] FI | VLESS | 4231ms
2026-02-26 05:10:44 [INFO]    [PING OK] LT | VLESS | 4187ms
2026-02-26 05:10:45 [INFO]    [PING OK] US | VLESS | 4544ms
2026-02-26 05:10:45 [INFO]    [PING OK] CH | VLESS | 4769ms
2026-02-26 05:10:45 [INFO]    [PING OK] DE | VLESS | 4380ms
2026-02-26 05:10:46 [INFO]    [PING OK] NL | VLESS | 4593ms
2026-02-26 05:10:46 [INFO]    [PING OK] PL | VLESS | 4811ms
2026-02-26 05:10:46 [INFO]    [PING OK] NL | VLESS | 4850ms
2026-02-26 05:10:47 [INFO]    [PING OK] FI | VLESS | 4880ms
2026-02-26 05:10:47 [INFO]    [PING OK] SE | VLESS | 4754ms
2026-02-26 05:10:47 [INFO]    [PING OK] DE | VLESS | 4896ms
2026-02-26 05:10:47 [INFO]    [PING OK] DE | VLESS | 5037ms
2026-02-26 05:10:47 [INFO]    [PING OK] DE | VLESS | 4387ms
2026-02-26 05:10:47 [INFO]    [PING OK] FI | VLESS | 5289ms
2026-02-26 05:10:47 [INFO]    [PING OK] KZ | VLESS | 4840ms
2026-02-26 05:10:48 [INFO]    [PING OK] FI | VLESS | 5393ms
2026-02-26 05:10:48 [INFO]    [PING OK] US | VLESS | 5353ms
2026-02-26 05:10:50 [INFO]    [PING OK] ES | VLESS | 5275ms
2026-02-26 05:10:50 [INFO]    [PING OK] KZ | VLESS | 5596ms
2026-02-26 05:10:50 [INFO]    [PING OK] EE | VLESS | 5386ms
2026-02-26 05:10:51 [INFO]    [PING OK] PL | VLESS | 4854ms
2026-02-26 05:10:51 [INFO]    [PING OK] KZ | VLESS | 5114ms
2026-02-26 05:10:51 [INFO]    [PING OK] NL | VLESS | 5412ms
2026-02-26 05:10:51 [INFO]    [PING OK] FI | VLESS | 7203ms
2026-02-26 05:10:52 [INFO]    [PING OK] NL | VLESS | 5619ms
2026-02-26 05:10:52 [INFO]    [PING OK] PL | VLESS | 4921ms
2026-02-26 05:10:52 [INFO]    [PING OK] LV | VLESS | 5155ms
2026-02-26 05:10:52 [INFO]    [PING OK] FI | VLESS | 5162ms
2026-02-26 05:10:53 [INFO]    [PING OK] IT | VLESS | 4987ms
2026-02-26 05:10:53 [INFO]    [PING OK] JP | VLESS | 5024ms
2026-02-26 05:10:53 [INFO]    [PING OK] HU | VLESS | 4920ms
2026-02-26 05:10:53 [INFO]    [PING OK] PL | VLESS | 4813ms
2026-02-26 05:10:54 [INFO]    [PING OK] NL | VLESS | 4550ms
2026-02-26 05:10:54 [INFO]    [PING OK] HU | VLESS | 4239ms
2026-02-26 05:10:54 [INFO]    [PING OK] NL | VLESS | 4486ms
2026-02-26 05:10:54 [INFO]    [PING OK] PL | VLESS | 4375ms
2026-02-26 05:10:54 [INFO]    [PING OK] IN | VLESS | 4703ms
2026-02-26 05:10:54 [INFO]    [PING OK] DE | VLESS | 4749ms
2026-02-26 05:10:55 [INFO]    [PING OK] JP | VLESS | 4779ms
2026-02-26 05:10:56 [INFO]    [PING OK] NL | VLESS | 3994ms
2026-02-26 05:10:56 [INFO]    [PING OK] FI | VLESS | 3859ms
2026-02-26 05:10:57 [INFO]    [PING OK] PL | VLESS | 3894ms
2026-02-26 05:10:57 [INFO]    [PING OK] NL | VLESS | 3862ms
2026-02-26 05:10:57 [INFO]    [PING OK] DE | VLESS | 3858ms
2026-02-26 05:10:57 [INFO]    [PING OK] DE | VLESS | 3834ms
2026-02-26 05:10:57 [INFO]    [PING OK] NL | VLESS | 4225ms
2026-02-26 05:10:57 [INFO]    [PING OK] US | VLESS | 4051ms
2026-02-26 05:10:58 [INFO]    [PING OK] PL | VLESS | 4552ms
2026-02-26 05:10:58 [INFO]    [PING OK] CH | VLESS | 4569ms
2026-02-26 05:10:58 [INFO]    [PING OK] PL | VLESS | 4849ms
2026-02-26 05:10:59 [INFO]    [PING OK] NL | VLESS | 3439ms
2026-02-26 05:10:59 [INFO]    [PING OK] FI | VLESS | 3840ms
2026-02-26 05:10:59 [INFO]    [PING OK] FI | VLESS | 3553ms
2026-02-26 05:10:59 [INFO]    [PING OK] FI | VLESS | 3660ms
2026-02-26 05:10:59 [INFO]    [PING OK] PL | VLESS | 3887ms
2026-02-26 05:10:59 [INFO]    [PING OK] US | VLESS | 3605ms
2026-02-26 05:10:59 [INFO]    [PING OK] JP | VLESS | 3719ms
2026-02-26 05:11:00 [INFO]    [PING OK] NL | VLESS | 3783ms
2026-02-26 05:11:00 [INFO]    [PING OK] NL | VLESS | 3479ms
2026-02-26 05:11:00 [INFO]    [PING OK] NL | VLESS | 3805ms
2026-02-26 05:11:01 [INFO]    [PING OK] NL | VLESS | 3773ms
2026-02-26 05:11:01 [INFO]    [PING OK] JP | VLESS | 3750ms
2026-02-26 05:11:01 [INFO]    [PING OK] ES | VLESS | 3959ms
2026-02-26 05:11:02 [INFO]    [PING OK] DE | VLESS | 3754ms
2026-02-26 05:11:02 [INFO]    [PING OK] FR | VLESS | 4065ms
2026-02-26 05:11:02 [INFO]    [PING OK] IT | VLESS | 3987ms
2026-02-26 05:11:02 [INFO]    [PING OK] PL | VLESS | 4870ms
2026-02-26 05:11:02 [INFO]    [PING OK] IT | VLESS | 4055ms
2026-02-26 05:11:02 [INFO]    [PING OK] HK | VLESS | 4367ms
2026-02-26 05:11:03 [INFO]    [PING OK] NL | VLESS | 3981ms
2026-02-26 05:11:03 [INFO]    [PING OK] SE | VLESS | 4017ms
2026-02-26 05:11:04 [INFO]    [PING OK] JP | VLESS | 4312ms
2026-02-26 05:11:04 [INFO]    [PING OK] IT | VLESS | 4363ms
2026-02-26 05:11:04 [INFO]    [PING OK] FI | VLESS | 3882ms
2026-02-26 05:11:04 [INFO]    [PING OK] JP | VLESS | 4431ms
2026-02-26 05:11:05 [INFO]    [PING OK] AE | VLESS | 3904ms
2026-02-26 05:11:05 [INFO]    [PING OK] ES | VLESS | 4027ms
2026-02-26 05:11:05 [INFO]    [PING OK] FI | VLESS | 4006ms
2026-02-26 05:11:06 [INFO]    [PING OK] ES | VLESS | 3956ms
2026-02-26 05:11:06 [INFO]    [PING OK] CH | VLESS | 4095ms
2026-02-26 05:11:06 [INFO]    [PING OK] FI | VLESS | 3914ms
2026-02-26 05:11:06 [INFO]    [PING OK] CA | VLESS | 4151ms
2026-02-26 05:11:06 [INFO]    [PING OK] DE | VLESS | 4393ms
2026-02-26 05:11:07 [INFO]    [PING OK] DE | VLESS | 4120ms
2026-02-26 05:11:07 [INFO]    [PING OK] FI | VLESS | 3999ms
2026-02-26 05:11:07 [INFO]    [PING OK] US | VLESS | 4127ms
2026-02-26 05:11:07 [INFO]    [PING OK] PL | VLESS | 7007ms
2026-02-26 05:11:07 [INFO]    [PING OK] PL | VLESS | 6270ms
2026-02-26 05:11:07 [INFO]    [PING OK] DE | VLESS | 3950ms
