2026-02-23 15:00:06 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-23 15:00:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-23 15:00:08 [INFO] 🔍 Уникальных конфигов собрано: 227
2026-02-23 15:00:08 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-23 15:00:15 [INFO]    [PING OK] PL | VLESS | 4168ms
2026-02-23 15:00:16 [INFO]    [PING OK] DE | VLESS | 4546ms
2026-02-23 15:00:16 [INFO]    [PING OK] DE | VLESS | 4739ms
2026-02-23 15:00:17 [INFO]    [PING OK] TR | VLESS | 4583ms
2026-02-23 15:00:17 [INFO]    [PING OK] HU | VLESS | 4601ms
2026-02-23 15:00:19 [INFO]    [PING OK] ES | VLESS | 4253ms
2026-02-23 15:00:19 [INFO]    [PING OK] ES | VLESS | 4181ms
2026-02-23 15:00:19 [INFO]    [PING OK] HU | VLESS | 4242ms
2026-02-23 15:00:19 [INFO]    [PING OK] HU | VLESS | 3889ms
2026-02-23 15:00:19 [INFO]    [PING OK] ES | VLESS | 3969ms
2026-02-23 15:00:20 [INFO]    [PING OK] US | VLESS | 4951ms
2026-02-23 15:00:20 [INFO]    [PING OK] ES | VLESS | 3507ms
2026-02-23 15:00:20 [INFO]    [PING OK] PL | VLESS | 3767ms
2026-02-23 15:00:20 [INFO]    [PING OK] TR | VLESS | 3771ms
2026-02-23 15:00:20 [INFO]    [PING OK] IT | VLESS | 3743ms
2026-02-23 15:00:21 [INFO]    [PING OK] TR | VLESS | 3539ms
2026-02-23 15:00:21 [INFO]    [PING OK] EE | VLESS | 4562ms
2026-02-23 15:00:21 [INFO]    [PING OK] IT | VLESS | 4161ms
2026-02-23 15:00:21 [INFO]    [PING OK] DE | VLESS | 4116ms
2026-02-23 15:00:23 [INFO]    [PING OK] ES | VLESS | 4891ms
2026-02-23 15:00:23 [INFO]    [PING OK] ES | VLESS | 5637ms
2026-02-23 15:00:24 [INFO]    [PING OK] TR | VLESS | 4939ms
2026-02-23 15:00:25 [INFO]    [PING OK] HU | VLESS | 5348ms
2026-02-23 15:00:25 [INFO]    [PING OK] PL | VLESS | 5471ms
2026-02-23 15:00:25 [INFO]    [PING OK] PL | VLESS | 5200ms
2026-02-23 15:00:25 [INFO]    [PING OK] PL | VLESS | 5422ms
2026-02-23 15:00:25 [INFO]    [PING OK] PL | VLESS | 5301ms
2026-02-23 15:00:25 [INFO]    [PING OK] DE | VLESS | 5255ms
2026-02-23 15:00:25 [INFO]    [PING OK] PL | VLESS | 5404ms
2026-02-23 15:00:25 [INFO]    [PING OK] NL | VLESS | 8332ms
2026-02-23 15:00:25 [INFO]    [PING OK] SE | VLESS | 5404ms
2026-02-23 15:00:26 [INFO]    [PING OK] SE | VLESS | 5084ms
2026-02-23 15:00:26 [INFO]    [PING OK] DE | VLESS | 5425ms
2026-02-23 15:00:26 [INFO]    [PING OK] DE | VLESS | 5351ms
2026-02-23 15:00:26 [INFO]    [PING OK] CA | VLESS | 5789ms
