2026-02-22 21:30:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-22 21:30:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-22 21:30:06 [INFO] 🔍 Уникальных конфигов собрано: 245
2026-02-22 21:30:06 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-22 21:30:12 [INFO]    [PING OK] DE | VLESS | 4851ms
2026-02-22 21:30:13 [INFO]    [PING OK] ES | VLESS | 3499ms
2026-02-22 21:30:13 [INFO]    [PING OK] DE | VLESS | 5452ms
2026-02-22 21:30:13 [INFO]    [PING OK] ES | VLESS | 3714ms
2026-02-22 21:30:13 [INFO]    [PING OK] ES | VLESS | 3812ms
2026-02-22 21:30:13 [INFO]    [PING OK] PL | VLESS | 3534ms
2026-02-22 21:30:14 [INFO]    [PING OK] DE | VLESS | 4734ms
2026-02-22 21:30:14 [INFO]    [PING OK] NL | VLESS | 5028ms
2026-02-22 21:30:15 [INFO]    [PING OK] DE | VLESS | 7940ms
2026-02-22 21:30:16 [INFO]    [PING OK] ES | VLESS | 4200ms
2026-02-22 21:30:17 [INFO]    [PING OK] ES | VLESS | 4234ms
2026-02-22 21:30:17 [INFO]    [PING OK] IT | VLESS | 4278ms
2026-02-22 21:30:17 [INFO]    [PING OK] PL | VLESS | 4640ms
2026-02-22 21:30:17 [INFO]    [PING OK] HU | VLESS | 4062ms
2026-02-22 21:30:17 [INFO]    [PING OK] EE | VLESS | 4157ms
2026-02-22 21:30:17 [INFO]    [PING OK] ES | VLESS | 4235ms
2026-02-22 21:30:17 [INFO]    [PING OK] IT | VLESS | 4525ms
2026-02-22 21:30:18 [INFO]    [PING OK] HU | VLESS | 3999ms
2026-02-22 21:30:18 [INFO]    [PING OK] PL | VLESS | 3944ms
2026-02-22 21:30:18 [INFO]    [PING OK] PL | VLESS | 4658ms
2026-02-22 21:30:18 [INFO]    [PING OK] TR | VLESS | 4527ms
2026-02-22 21:30:19 [INFO]    [PING OK] HU | VLESS | 4414ms
2026-02-22 21:30:19 [INFO]    [PING OK] TR | VLESS | 4013ms
2026-02-22 21:30:19 [INFO]    [PING OK] IT | VLESS | 3749ms
2026-02-22 21:30:20 [INFO]    [PING OK] HU | VLESS | 3662ms
2026-02-22 21:30:20 [INFO]    [PING OK] ES | VLESS | 3887ms
2026-02-22 21:30:20 [INFO]    [PING OK] PL | VLESS | 3787ms
2026-02-22 21:30:20 [INFO]    [PING OK] PL | VLESS | 6082ms
2026-02-22 21:30:20 [INFO]    [PING OK] PL | VLESS | 3874ms
2026-02-22 21:30:21 [INFO]    [PING OK] DE | VLESS | 8624ms
2026-02-22 21:30:22 [INFO]    [PING OK] PL | VLESS | 4225ms
2026-02-22 21:30:22 [INFO]    [PING OK] NL | VLESS | 4168ms
2026-02-22 21:30:22 [INFO]    [PING OK] TR | VLESS | 4310ms
2026-02-22 21:30:23 [INFO]    [PING OK] DE | VLESS | 4612ms
2026-02-22 21:30:23 [INFO]    [PING OK] ES | VLESS | 4478ms
2026-02-22 21:30:23 [INFO]    [PING OK] DE | VLESS | 4464ms
2026-02-22 21:30:24 [INFO]    [PING OK] CA | VLESS | 4319ms
2026-02-22 21:30:24 [INFO]    [PING OK] PL | VLESS | 5414ms
2026-02-22 21:30:25 [INFO]    [PING OK] CA | VLESS | 5145ms
2026-02-22 21:30:27 [INFO]    [PING OK] CA | VLESS | 5272ms
2026-02-22 21:30:27 [INFO]    [PING OK] CA | VLESS | 5275ms
2026-02-22 21:30:28 [INFO]    [PING OK] CA | VLESS | 4968ms
2026-02-22 21:30:29 [INFO]    [PING OK] US | VLESS | 4981ms
2026-02-22 21:30:29 [INFO]    [PING OK] US | VLESS | 5406ms
2026-02-22 21:30:31 [INFO]    [PING OK] EE | VLESS | 3726ms
2026-02-22 21:30:31 [INFO]    [PING OK] CA | VLESS | 4701ms
