2026-02-23 01:40:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-23 01:40:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-23 01:40:08 [INFO] 🔍 Уникальных конфигов собрано: 655
2026-02-23 01:40:08 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-23 01:40:41 [INFO]    [PING OK] US | VLESS | 2269ms
2026-02-23 01:40:42 [INFO]    [PING OK] DE | VLESS | 1778ms
2026-02-23 01:40:42 [INFO]    [PING OK] DE | VLESS | 1985ms
2026-02-23 01:40:42 [INFO]    [PING OK] CA | VLESS | 3379ms
2026-02-23 01:40:42 [INFO]    [PING OK] DE | VLESS | 1735ms
2026-02-23 01:40:42 [INFO]    [PING OK] JP | VLESS | 3309ms
2026-02-23 01:40:42 [INFO]    [PING OK] US | VLESS | 1748ms
2026-02-23 01:40:42 [INFO]    [PING OK] US | VLESS | 1443ms
2026-02-23 01:40:43 [INFO]    [PING OK] CA | VLESS | 2819ms
2026-02-23 01:40:43 [INFO]    [PING OK] CA | VLESS | 3891ms
2026-02-23 01:40:44 [INFO]    [PING OK] DE | VLESS | 2163ms
2026-02-23 01:40:44 [INFO]    [PING OK] GB | VLESS | 2109ms
2026-02-23 01:40:45 [INFO]    [PING OK] FR | VLESS | 2719ms
2026-02-23 01:40:45 [INFO]    [PING OK] GB | VLESS | 2822ms
2026-02-23 01:40:45 [INFO]    [PING OK] AL | VLESS | 3335ms
2026-02-23 01:40:46 [INFO]    [PING OK] DE | VLESS | 3623ms
2026-02-23 01:40:46 [INFO]    [PING OK] CA | VLESS | 3878ms
2026-02-23 01:40:46 [INFO]    [PING OK] NL | VLESS | 3654ms
2026-02-23 01:40:46 [INFO]    [PING OK] SG | VLESS | 3680ms
2026-02-23 01:40:47 [INFO]    [PING OK] CA | VLESS | 4133ms
2026-02-23 01:40:47 [INFO]    [PING OK] LV | VLESS | 3748ms
2026-02-23 01:40:47 [INFO]    [PING OK] CA | VLESS | 4109ms
2026-02-23 01:40:47 [INFO]    [PING OK] PL | VLESS | 4038ms
2026-02-23 01:40:47 [INFO]    [PING OK] CA | VLESS | 4330ms
2026-02-23 01:40:47 [INFO]    [PING OK] FR | VLESS | 3498ms
2026-02-23 01:40:48 [INFO]    [PING OK] CA | VLESS | 4181ms
2026-02-23 01:40:48 [INFO]    [PING OK] FR | VLESS | 3564ms
2026-02-23 01:40:50 [INFO]    [PING OK] CA | VLESS | 4286ms
2026-02-23 01:40:50 [INFO]    [PING OK] CA | VLESS | 3687ms
2026-02-23 01:40:50 [INFO]    [PING OK] DE | VLESS | 3394ms
2026-02-23 01:40:51 [INFO]    [PING OK] CA | VLESS | 4126ms
2026-02-23 01:40:51 [INFO]    [PING OK] FR | VLESS | 3510ms
2026-02-23 01:40:51 [INFO]    [PING OK] DE | VLESS | 3348ms
2026-02-23 01:40:51 [INFO]    [PING OK] SG | VLESS | 3067ms
2026-02-23 01:40:51 [INFO]    [PING OK] CA | VLESS | 4990ms
2026-02-23 01:40:51 [INFO]    [PING OK] SG | VLESS | 2725ms
2026-02-23 01:40:52 [INFO]    [PING OK] CA | VLESS | 3469ms
2026-02-23 01:40:52 [INFO]    [PING OK] SG | VLESS | 2911ms
2026-02-23 01:40:52 [INFO]    [PING OK] LV | VLESS | 2630ms
2026-02-23 01:40:53 [INFO]    [PING OK] DE | VLESS | 2560ms
2026-02-23 01:40:53 [INFO]    [PING OK] CA | VLESS | 2968ms
2026-02-23 01:40:53 [INFO]    [PING OK] CA | VLESS | 4790ms
2026-02-23 01:40:55 [INFO]    [PING OK] FI | VLESS | 2380ms
2026-02-23 01:40:55 [INFO]    [PING OK] SG | VLESS | 2460ms
2026-02-23 01:40:55 [INFO]    [PING OK] CA | VLESS | 2728ms
2026-02-23 01:40:55 [INFO]    [PING OK] DE | VLESS | 2432ms
2026-02-23 01:40:55 [INFO]    [PING OK] DE | VLESS | 2497ms
2026-02-23 01:40:56 [INFO]    [PING OK] DE | VLESS | 2361ms
2026-02-23 01:40:56 [INFO]    [PING OK] DE | VLESS | 1792ms
2026-02-23 01:40:56 [INFO]    [PING OK] DE | VLESS | 1474ms
2026-02-23 01:40:56 [INFO]    [PING OK] DE | VLESS | 665ms
2026-02-23 01:40:58 [INFO]    [PING OK] TR | VLESS | 1214ms
2026-02-23 01:40:58 [INFO]    [PING OK] DE | VLESS | 1498ms
2026-02-23 01:40:59 [INFO]    [PING OK] NL | VLESS | 920ms
2026-02-23 01:40:59 [INFO]    [PING OK] US | VLESS | 1280ms
2026-02-23 01:40:59 [INFO]    [PING OK] DE | VLESS | 957ms
2026-02-23 01:40:59 [INFO]    [PING OK] CA | VLESS | 2466ms
2026-02-23 01:40:59 [INFO]    [PING OK] CA | VLESS | 2509ms
2026-02-23 01:40:59 [INFO]    [PING OK] CA | VLESS | 1784ms
2026-02-23 01:41:00 [INFO]    [PING OK] CA | VLESS | 3413ms
2026-02-23 01:41:00 [INFO]    [PING OK] DE | VLESS | 917ms
2026-02-23 01:41:00 [INFO]    [PING OK] CA | VLESS | 2126ms
2026-02-23 01:41:00 [INFO]    [PING OK] DE | VLESS | 714ms
2026-02-23 01:41:00 [INFO]    [PING OK] BR | VLESS | 1632ms
2026-02-23 01:41:00 [INFO]    [PING OK] CA | VLESS | 2216ms
2026-02-23 01:41:05 [INFO]    [PING OK] NL | VLESS | 5879ms
2026-02-23 01:41:09 [INFO]    [PING OK] FR | VLESS | 9185ms
2026-02-23 01:41:09 [INFO]    [PING OK] TR | VLESS | 10050ms
2026-02-23 01:41:10 [INFO]    [PING OK] FR | VLESS | 10563ms
2026-02-23 01:41:11 [INFO]    [PING OK] CA | VLESS | 11003ms
2026-02-23 01:41:11 [INFO]    [PING OK] EE | VLESS | 10684ms
2026-02-23 01:41:11 [INFO]    [PING OK] CH | VLESS | 10187ms
2026-02-23 01:41:11 [INFO]    [PING OK] CA | VLESS | 11032ms
2026-02-23 01:41:11 [INFO]    [PING OK] KR | VLESS | 11473ms
2026-02-23 01:41:12 [INFO]    [PING OK] FR | VLESS | 7776ms
2026-02-23 01:41:12 [INFO]    [PING OK] DE | VLESS | 6805ms
