2026-02-22 03:10:06 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-22 03:10:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-22 03:10:08 [INFO] 🔍 Уникальных конфигов собрано: 257
2026-02-22 03:10:08 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-22 03:10:13 [INFO]    [PING OK] ES | VLESS | 4056ms
2026-02-22 03:10:15 [INFO]    [PING OK] CZ | VLESS | 4186ms
2026-02-22 03:10:18 [INFO]    [PING OK] PL | VLESS | 3510ms
2026-02-22 03:10:18 [INFO]    [PING OK] ES | VLESS | 4104ms
2026-02-22 03:10:18 [INFO]    [PING OK] IT | VLESS | 4290ms
2026-02-22 03:10:18 [INFO]    [PING OK] HU | VLESS | 4053ms
2026-02-22 03:10:19 [INFO]    [PING OK] PL | VLESS | 4159ms
2026-02-22 03:10:19 [INFO]    [PING OK] ES | VLESS | 4357ms
2026-02-22 03:10:19 [INFO]    [PING OK] HU | VLESS | 4110ms
2026-02-22 03:10:19 [INFO]    [PING OK] TR | VLESS | 3955ms
2026-02-22 03:10:19 [INFO]    [PING OK] IT | VLESS | 4171ms
2026-02-22 03:10:19 [INFO]    [PING OK] IT | VLESS | 4016ms
2026-02-22 03:10:19 [INFO]    [PING OK] DE | VLESS | 4013ms
2026-02-22 03:10:19 [INFO]    [PING OK] PL | VLESS | 3944ms
2026-02-22 03:10:20 [INFO]    [PING OK] NL | VLESS | 4103ms
2026-02-22 03:10:20 [INFO]    [PING OK] PL | VLESS | 4043ms
2026-02-22 03:10:20 [INFO]    [PING OK] ES | VLESS | 4294ms
2026-02-22 03:10:20 [INFO]    [PING OK] ES | VLESS | 3998ms
2026-02-22 03:10:21 [INFO]    [PING OK] EE | VLESS | 4275ms
2026-02-22 03:10:21 [INFO]    [PING OK] HU | VLESS | 4367ms
2026-02-22 03:10:23 [INFO]    [PING OK] DE | VLESS | 4633ms
2026-02-22 03:10:23 [INFO]    [PING OK] HU | VLESS | 4646ms
2026-02-22 03:10:24 [INFO]    [PING OK] PL | VLESS | 4776ms
2026-02-22 03:10:24 [INFO]    [PING OK] PL | VLESS | 4731ms
2026-02-22 03:10:24 [INFO]    [PING OK] ES | VLESS | 5137ms
2026-02-22 03:10:24 [INFO]    [PING OK] TR | VLESS | 4729ms
2026-02-22 03:10:24 [INFO]    [PING OK] DE | VLESS | 4757ms
2026-02-22 03:10:24 [INFO]    [PING OK] DE | VLESS | 4922ms
2026-02-22 03:10:24 [INFO]    [PING OK] PL | VLESS | 4847ms
2026-02-22 03:10:25 [INFO]    [PING OK] ES | VLESS | 4839ms
2026-02-22 03:10:25 [INFO]    [PING OK] DE | VLESS | 5106ms
2026-02-22 03:10:25 [INFO]    [PING OK] EE | VLESS | 4575ms
2026-02-22 03:10:25 [INFO]    [PING OK] PL | VLESS | 4237ms
2026-02-22 03:10:25 [INFO]    [PING OK] DE | VLESS | 4623ms
2026-02-22 03:10:27 [INFO]    [PING OK] US | VLESS | 5199ms
2026-02-22 03:10:27 [INFO]    [PING OK] CA | VLESS | 7198ms
2026-02-22 03:10:28 [INFO]    [PING OK] US | VLESS | 4825ms
2026-02-22 03:10:30 [INFO]    [PING OK] DE | VLESS | 4945ms
2026-02-22 03:10:30 [INFO]    [PING OK] DE | VLESS | 5001ms
2026-02-22 03:10:30 [INFO]    [PING OK] DE | VLESS | 4797ms
2026-02-22 03:10:30 [INFO]    [PING OK] DE | VLESS | 5175ms
2026-02-22 03:10:30 [INFO]    [PING OK] NL | VLESS | 4671ms
2026-02-22 03:10:31 [INFO]    [PING OK] CA | VLESS | 4646ms
2026-02-22 03:10:31 [INFO]    [PING OK] CA | VLESS | 9741ms
2026-02-22 03:10:32 [INFO]    [PING OK] CA | VLESS | 5229ms
2026-02-22 03:10:32 [INFO]    [PING OK] CA | VLESS | 5731ms
2026-02-22 03:10:32 [INFO]    [PING OK] CA | VLESS | 8699ms
2026-02-22 03:10:33 [INFO]    [PING OK] US | VLESS | 3893ms
2026-02-22 03:10:33 [INFO]    [PING OK] CA | VLESS | 8382ms
2026-02-22 03:10:34 [INFO]    [PING OK] DE | VLESS | 3524ms
2026-02-22 03:10:34 [INFO]    [PING OK] CA | VLESS | 8392ms
2026-02-22 03:10:35 [INFO]    [PING OK] LV | VLESS | 3198ms
2026-02-22 03:10:35 [INFO]    [PING OK] US | VLESS | 3038ms
2026-02-22 03:10:35 [INFO]    [PING OK] CA | VLESS | 3751ms
2026-02-22 03:10:35 [INFO]    [PING OK] CA | VLESS | 3449ms
2026-02-22 03:10:35 [INFO]    [PING OK] DE | VLESS | 2414ms
2026-02-22 03:10:35 [INFO]    [PING OK] CA | VLESS | 6643ms
2026-02-22 03:10:35 [INFO]    [PING OK] CA | VLESS | 5049ms
2026-02-22 03:10:35 [INFO]    [PING OK] DE | VLESS | 1561ms
2026-02-22 03:10:36 [INFO]    [PING OK] CA | VLESS | 7314ms
2026-02-22 03:10:36 [INFO]    [PING OK] US | VLESS | 1172ms
