2026-02-22 13:00:06 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-22 13:00:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-22 13:00:08 [INFO] 🔍 Уникальных конфигов собрано: 257
2026-02-22 13:00:08 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-22 13:00:14 [INFO]    [PING OK] NL | VLESS | 5460ms
2026-02-22 13:00:15 [INFO]    [PING OK] DE | VLESS | 5587ms
2026-02-22 13:00:15 [INFO]    [PING OK] TR | VLESS | 4682ms
2026-02-22 13:00:15 [INFO]    [PING OK] CZ | VLESS | 4418ms
2026-02-22 13:00:16 [INFO]    [PING OK] NL | VLESS | 3562ms
2026-02-22 13:00:16 [INFO]    [PING OK] IT | VLESS | 4535ms
2026-02-22 13:00:16 [INFO]    [PING OK] DE | VLESS | 6444ms
2026-02-22 13:00:16 [INFO]    [PING OK] TR | VLESS | 3550ms
2026-02-22 13:00:18 [INFO]    [PING OK] TR | VLESS | 3006ms
2026-02-22 13:00:18 [INFO]    [PING OK] PL | VLESS | 3171ms
2026-02-22 13:00:18 [INFO]    [PING OK] PL | VLESS | 3071ms
2026-02-22 13:00:18 [INFO]    [PING OK] PL | VLESS | 3175ms
2026-02-22 13:00:19 [INFO]    [PING OK] PL | VLESS | 3183ms
2026-02-22 13:00:19 [INFO]    [PING OK] ES | VLESS | 3151ms
2026-02-22 13:00:19 [INFO]    [PING OK] HU | VLESS | 3112ms
2026-02-22 13:00:19 [INFO]    [PING OK] PL | VLESS | 4041ms
2026-02-22 13:00:19 [INFO]    [PING OK] ES | VLESS | 3252ms
2026-02-22 13:00:19 [INFO]    [PING OK] DE | VLESS | 3244ms
2026-02-22 13:00:19 [INFO]    [PING OK] DE | VLESS | 8592ms
2026-02-22 13:00:19 [INFO]    [PING OK] DE | VLESS | 8228ms
2026-02-22 13:00:21 [INFO]    [PING OK] HU | VLESS | 3924ms
2026-02-22 13:00:21 [INFO]    [PING OK] HU | VLESS | 4271ms
2026-02-22 13:00:21 [INFO]    [PING OK] PL | VLESS | 4144ms
2026-02-22 13:00:21 [INFO]    [PING OK] EE | VLESS | 5389ms
2026-02-22 13:00:21 [INFO]    [PING OK] HU | VLESS | 4454ms
2026-02-22 13:00:22 [INFO]    [PING OK] PL | VLESS | 3776ms
2026-02-22 13:00:23 [INFO]    [PING OK] NL | VLESS | 4259ms
2026-02-22 13:00:23 [INFO]    [PING OK] IT | VLESS | 4905ms
2026-02-22 13:00:24 [INFO]    [PING OK] CA | VLESS | 5113ms
2026-02-22 13:00:24 [INFO]    [PING OK] ES | VLESS | 4954ms
2026-02-22 13:00:25 [INFO]    [PING OK] HU | VLESS | 4794ms
2026-02-22 13:00:25 [INFO]    [PING OK] HU | VLESS | 5049ms
2026-02-22 13:00:25 [INFO]    [PING OK] PL | VLESS | 4873ms
2026-02-22 13:00:25 [INFO]    [PING OK] PL | VLESS | 5244ms
2026-02-22 13:00:25 [INFO]    [PING OK] HU | VLESS | 5776ms
2026-02-22 13:00:26 [INFO]    [PING OK] ES | VLESS | 5348ms
2026-02-22 13:00:27 [INFO]    [PING OK] NL | VLESS | 5189ms
2026-02-22 13:00:27 [INFO]    [PING OK] TR | VLESS | 6523ms
2026-02-22 13:00:27 [INFO]    [PING OK] NL | VLESS | 5177ms
2026-02-22 13:00:27 [INFO]    [PING OK] CA | VLESS | 6736ms
2026-02-22 13:00:27 [INFO]    [PING OK] PL | VLESS | 5600ms
2026-02-22 13:00:27 [INFO]    [PING OK] PL | VLESS | 6032ms
2026-02-22 13:00:28 [INFO]    [PING OK] CA | VLESS | 5440ms
2026-02-22 13:00:30 [INFO]    [PING OK] FI | VLESS | 4866ms
2026-02-22 13:00:30 [INFO]    [PING OK] CA | VLESS | 5183ms
2026-02-22 13:00:30 [INFO]    [PING OK] PL | VLESS | 8466ms
2026-02-22 13:00:31 [INFO]    [PING OK] US | VLESS | 4932ms
2026-02-22 13:00:32 [INFO]    [PING OK] JP | VLESS | 4600ms
2026-02-22 13:00:32 [INFO]    [PING OK] CA | VLESS | 4900ms
2026-02-22 13:00:32 [INFO]    [PING OK] DE | VLESS | 3599ms
2026-02-22 13:00:33 [INFO]    [PING OK] CA | VLESS | 4473ms
2026-02-22 13:00:33 [INFO]    [PING OK] CA | VLESS | 4330ms
2026-02-22 13:00:33 [INFO]    [PING OK] CA | VLESS | 4429ms
2026-02-22 13:00:33 [INFO]    [PING OK] NL | VLESS | 2450ms
2026-02-22 13:00:33 [INFO]    [PING OK] CA | VLESS | 4579ms
2026-02-22 13:00:33 [INFO]    [PING OK] CA | VLESS | 4573ms
2026-02-22 13:00:33 [INFO]    [PING OK] CA | VLESS | 2477ms
2026-02-22 13:00:33 [INFO]    [PING OK] BY | VLESS | 6506ms
2026-02-22 13:00:34 [INFO]    [PING OK] CA | VLESS | 3170ms
2026-02-22 13:00:34 [INFO]    [PING OK] CA | VLESS | 2971ms
2026-02-22 13:00:34 [INFO]    [PING OK] CA | VLESS | 3343ms
2026-02-22 13:00:38 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для 40 иностранных кандидатов...
2026-02-22 13:00:42 [INFO]    🏆 PL | VLESS | Пинг: 3175ms | Скорость: 6.31 Mbps ⚡⚡
2026-02-22 13:00:42 [INFO]    🏆 DE | VLESS | Пинг: 3244ms | Скорость: 6.4 Mbps ⚡⚡
2026-02-22 13:00:42 [INFO]    🏆 NL | VLESS | Пинг: 2450ms | Скорость: 5.96 Mbps ⚡⚡
2026-02-22 13:00:42 [INFO]    🏆 ES | VLESS | Пинг: 3252ms | Скорость: 6.46 Mbps ⚡⚡
