2026-02-24 12:00:06 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-24 12:00:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-24 12:00:07 [INFO] 🔍 Уникальных конфигов собрано: 233
2026-02-24 12:00:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-24 12:00:48 [INFO]    🏆 SG | VLESS | Пинг: 5137ms | Скорость: 10.35 Mbps ⚡⚡
2026-02-24 12:00:48 [INFO]    🏆 PL | VLESS | Пинг: 5189ms | Скорость: 15.85 Mbps ⚡⚡
2026-02-24 12:00:48 [INFO]    🏆 PL | VLESS | Пинг: 5562ms | Скорость: 14.52 Mbps ⚡⚡
2026-02-24 12:00:49 [INFO]    🏆 HU | VLESS | Пинг: 5547ms | Скорость: 11.1 Mbps ⚡⚡
2026-02-24 12:00:49 [INFO]    🏆 DE | VLESS | Пинг: 4613ms | Скорость: 3.37 Mbps ⚡⚡
2026-02-24 12:00:49 [INFO]    🏆 IT | VLESS | Пинг: 4862ms | Скорость: 3.51 Mbps ⚡⚡
2026-02-24 12:00:49 [INFO]    🏆 IT | VLESS | Пинг: 5168ms | Скорость: 6.32 Mbps ⚡⚡
2026-02-24 12:00:49 [INFO]    🏆 HU | VLESS | Пинг: 4738ms | Скорость: 2.25 Mbps ⚡
2026-02-24 12:00:51 [INFO]    🏆 TR | VLESS | Пинг: 4893ms | Скорость: 1.27 Mbps 
2026-02-24 12:00:52 [INFO]    🏆 IT | VLESS | Пинг: 5279ms | Скорость: 3.49 Mbps ⚡⚡
2026-02-24 12:00:57 [INFO] 📊 Итого в подписке сохранено иностранных серверов: 10
2026-02-24 12:00:57 [INFO] 💾 Файл успешно сохранен: FL1PVPN
