2026-02-26 06:40:06 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-26 06:40:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-26 06:40:08 [INFO] 🔍 Уникальных конфигов собрано: 619
2026-02-26 06:40:08 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-26 06:40:13 [INFO]    [PING OK] DE | VLESS | 4493ms
2026-02-26 06:40:13 [INFO]    [PING OK] LT | VLESS | 4429ms
2026-02-26 06:40:13 [INFO]    [PING OK] US | VLESS | 4880ms
2026-02-26 06:40:13 [INFO]    [PING OK] TR | VLESS | 4631ms
2026-02-26 06:40:14 [INFO]    [PING OK] DE | VLESS | 4364ms
2026-02-26 06:40:14 [INFO]    [PING OK] PL | VLESS | 4397ms
2026-02-26 06:40:14 [INFO]    [PING OK] PL | VLESS | 4259ms
2026-02-26 06:40:14 [INFO]    [PING OK] NO | VLESS | 4012ms
2026-02-26 06:40:15 [INFO]    [PING OK] NL | VLESS | 4582ms
2026-02-26 06:40:15 [INFO]    [PING OK] TR | VLESS | 3920ms
2026-02-26 06:40:19 [INFO]    [PING OK] DE | VLESS | 4400ms
2026-02-26 06:40:19 [INFO]    [PING OK] EE | VLESS | 4167ms
2026-02-26 06:40:19 [INFO]    [PING OK] PL | VLESS | 4277ms
2026-02-26 06:40:19 [INFO]    [PING OK] ES | VLESS | 3935ms
2026-02-26 06:40:19 [INFO]    [PING OK] NL | VLESS | 3779ms
2026-02-26 06:40:21 [INFO]    [PING OK] IT | VLESS | 3968ms
2026-02-26 06:40:23 [INFO]    [PING OK] NL | VLESS | 4226ms
2026-02-26 06:40:24 [INFO]    [PING OK] DE | VLESS | 4161ms
2026-02-26 06:40:25 [INFO]    [PING OK] DE | VLESS | 4287ms
2026-02-26 06:40:25 [INFO]    [PING OK] NL | VLESS | 4331ms
2026-02-26 06:40:25 [INFO]    [PING OK] TR | VLESS | 4379ms
2026-02-26 06:40:26 [INFO]    [PING OK] ES | VLESS | 4584ms
2026-02-26 06:40:27 [INFO]    [PING OK] US | VLESS | 4575ms
2026-02-26 06:40:29 [INFO]    [PING OK] PL | VLESS | 4759ms
2026-02-26 06:40:29 [INFO]    [PING OK] LT | VLESS | 4250ms
2026-02-26 06:40:29 [INFO]    [PING OK] IT | VLESS | 4386ms
2026-02-26 06:40:30 [INFO]    [PING OK] ES | VLESS | 4718ms
2026-02-26 06:40:30 [INFO]    [PING OK] DE | VLESS | 4500ms
2026-02-26 06:40:30 [INFO]    [PING OK] HU | VLESS | 4750ms
2026-02-26 06:40:31 [INFO]    [PING OK] HU | VLESS | 4291ms
2026-02-26 06:40:31 [INFO]    [PING OK] NL | VLESS | 4014ms
2026-02-26 06:40:32 [INFO]    [PING OK] FI | VLESS | 4182ms
2026-02-26 06:40:33 [INFO]    [PING OK] IT | VLESS | 4277ms
2026-02-26 06:40:33 [INFO]    [PING OK] PL | VLESS | 4339ms
2026-02-26 06:40:34 [INFO]    [PING OK] DE | VLESS | 4146ms
2026-02-26 06:40:34 [INFO]    [PING OK] US | VLESS | 4236ms
2026-02-26 06:40:35 [INFO]    [PING OK] DE | VLESS | 4096ms
2026-02-26 06:40:35 [INFO]    [PING OK] PL | VLESS | 4419ms
2026-02-26 06:40:35 [INFO]    [PING OK] PL | VLESS | 4503ms
2026-02-26 06:40:35 [INFO]    [PING OK] NL | VLESS | 4180ms
2026-02-26 06:40:36 [INFO]    [PING OK] DE | VLESS | 4315ms
2026-02-26 06:40:36 [INFO]    [PING OK] FI | VLESS | 4520ms
2026-02-26 06:40:36 [INFO]    [PING OK] TR | VLESS | 4307ms
2026-02-26 06:40:37 [INFO]    [PING OK] FI | VLESS | 4177ms
2026-02-26 06:40:38 [INFO]    [PING OK] NL | VLESS | 3972ms
2026-02-26 06:40:38 [INFO]    [PING OK] NL | VLESS | 4015ms
2026-02-26 06:40:39 [INFO]    [PING OK] PL | VLESS | 4308ms
2026-02-26 06:40:39 [INFO]    [PING OK] FR | VLESS | 4762ms
2026-02-26 06:40:39 [INFO]    [PING OK] NL | VLESS | 4436ms
2026-02-26 06:40:39 [INFO]    [PING OK] PL | VLESS | 4492ms
2026-02-26 06:40:40 [INFO]    [PING OK] DE | VLESS | 4368ms
2026-02-26 06:40:41 [INFO]    [PING OK] DE | VLESS | 4792ms
2026-02-26 06:40:41 [INFO]    [PING OK] DE | VLESS | 4572ms
2026-02-26 06:40:41 [INFO]    [PING OK] FI | VLESS | 4326ms
2026-02-26 06:40:41 [INFO]    [PING OK] ES | VLESS | 4481ms
2026-02-26 06:40:42 [INFO]    [PING OK] HU | VLESS | 4454ms
2026-02-26 06:40:42 [INFO]    [PING OK] HU | VLESS | 4451ms
2026-02-26 06:40:42 [INFO]    [PING OK] CA | VLESS | 4771ms
2026-02-26 06:40:42 [INFO]    [PING OK] NG | VLESS | 4899ms
2026-02-26 06:40:43 [INFO]    [PING OK] US | VLESS | 4498ms
2026-02-26 06:40:43 [INFO]    [PING OK] LV | VLESS | 4571ms
2026-02-26 06:40:44 [INFO]    [PING OK] FR | VLESS | 4109ms
2026-02-26 06:40:45 [INFO]    [PING OK] DE | VLESS | 5571ms
2026-02-26 06:40:46 [INFO]    [PING OK] NL | VLESS | 4209ms
2026-02-26 06:40:46 [INFO]    [PING OK] PL | VLESS | 4449ms
2026-02-26 06:40:46 [INFO]    [PING OK] NL | VLESS | 5733ms
2026-02-26 06:40:47 [INFO]    [PING OK] DE | VLESS | 3648ms
2026-02-26 06:40:47 [INFO]    [PING OK] NL | VLESS | 4241ms
2026-02-26 06:40:47 [INFO]    [PING OK] DE | VLESS | 3770ms
2026-02-26 06:40:47 [INFO]    [PING OK] NL | VLESS | 3783ms
2026-02-26 06:40:47 [INFO]    [PING OK] FR | VLESS | 4000ms
2026-02-26 06:40:48 [INFO]    [PING OK] DE | VLESS | 3658ms
