2026-02-22 02:10:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-22 02:10:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-22 02:10:08 [INFO] 🔍 Уникальных конфигов собрано: 264
2026-02-22 02:10:08 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-22 02:10:15 [INFO]    [PING OK] CZ | VLESS | 5179ms
2026-02-22 02:10:16 [INFO]    [PING OK] DE | VLESS | 5141ms
2026-02-22 02:10:19 [INFO]    [PING OK] PL | VLESS | 4403ms
2026-02-22 02:10:19 [INFO]    [PING OK] PL | VLESS | 4601ms
2026-02-22 02:10:19 [INFO]    [PING OK] TR | VLESS | 4598ms
2026-02-22 02:10:19 [INFO]    [PING OK] HU | VLESS | 4189ms
2026-02-22 02:10:20 [INFO]    [PING OK] PL | VLESS | 4602ms
2026-02-22 02:10:20 [INFO]    [PING OK] ES | VLESS | 4695ms
2026-02-22 02:10:20 [INFO]    [PING OK] EE | VLESS | 4434ms
2026-02-22 02:10:20 [INFO]    [PING OK] DE | VLESS | 8012ms
2026-02-22 02:10:20 [INFO]    [PING OK] PL | VLESS | 5018ms
2026-02-22 02:10:20 [INFO]    [PING OK] CA | VLESS | 5670ms
2026-02-22 02:10:20 [INFO]    [PING OK] PL | VLESS | 4762ms
2026-02-22 02:10:20 [INFO]    [PING OK] IT | VLESS | 4188ms
2026-02-22 02:10:20 [INFO]    [PING OK] TR | VLESS | 4289ms
2026-02-22 02:10:20 [INFO]    [PING OK] TR | VLESS | 4592ms
2026-02-22 02:10:20 [INFO]    [PING OK] PL | VLESS | 4066ms
2026-02-22 02:10:20 [INFO]    [PING OK] ES | VLESS | 4039ms
2026-02-22 02:10:21 [INFO]    [PING OK] IT | VLESS | 4179ms
2026-02-22 02:10:22 [INFO]    [PING OK] DE | VLESS | 4254ms
2026-02-22 02:10:22 [INFO]    [PING OK] PL | VLESS | 4449ms
2026-02-22 02:10:23 [INFO]    [PING OK] ES | VLESS | 4320ms
2026-02-22 02:10:24 [INFO]    [PING OK] IT | VLESS | 4381ms
2026-02-22 02:10:24 [INFO]    [PING OK] ES | VLESS | 4514ms
2026-02-22 02:10:24 [INFO]    [PING OK] CA | VLESS | 4624ms
2026-02-22 02:10:25 [INFO]    [PING OK] NL | VLESS | 4745ms
2026-02-22 02:10:25 [INFO]    [PING OK] PL | VLESS | 4194ms
2026-02-22 02:10:25 [INFO]    [PING OK] HU | VLESS | 4546ms
2026-02-22 02:10:25 [INFO]    [PING OK] US | VLESS | 5112ms
2026-02-22 02:10:25 [INFO]    [PING OK] IT | VLESS | 4604ms
2026-02-22 02:10:25 [INFO]    [PING OK] DE | VLESS | 4536ms
2026-02-22 02:10:25 [INFO]    [PING OK] DE | VLESS | 4395ms
2026-02-22 02:10:25 [INFO]    [PING OK] DE | VLESS | 4398ms
2026-02-22 02:10:25 [INFO]    [PING OK] PL | VLESS | 4562ms
2026-02-22 02:10:26 [INFO]    [PING OK] NL | VLESS | 4065ms
2026-02-22 02:10:27 [INFO]    [PING OK] DE | VLESS | 4466ms
2026-02-22 02:10:27 [INFO]    [PING OK] DE | VLESS | 6247ms
2026-02-22 02:10:27 [INFO]    [PING OK] CA | VLESS | 5177ms
2026-02-22 02:10:29 [INFO]    [PING OK] NL | VLESS | 6887ms
2026-02-22 02:10:29 [INFO]    [PING OK] CA | VLESS | 6744ms
2026-02-22 02:10:30 [INFO]    [PING OK] US | VLESS | 5343ms
2026-02-22 02:10:31 [INFO]    [PING OK] CA | VLESS | 6111ms
2026-02-22 02:10:31 [INFO]    [PING OK] DE | VLESS | 5073ms
2026-02-22 02:10:33 [INFO]    [PING OK] CA | VLESS | 7109ms
2026-02-22 02:10:33 [INFO]    [PING OK] CA | VLESS | 5554ms
2026-02-22 02:10:33 [INFO]    [PING OK] DE | VLESS | 6940ms
2026-02-22 02:10:33 [INFO]    [PING OK] US | VLESS | 4956ms
2026-02-22 02:10:33 [INFO]    [PING OK] US | VLESS | 5175ms
2026-02-22 02:10:33 [INFO]    [PING OK] CA | VLESS | 4705ms
2026-02-22 02:10:34 [INFO]    [PING OK] LV | VLESS | 4495ms
2026-02-22 02:10:34 [INFO]    [PING OK] CA | VLESS | 4521ms
2026-02-22 02:10:34 [INFO]    [PING OK] CA | VLESS | 4560ms
2026-02-22 02:10:34 [INFO]    [PING OK] CA | VLESS | 4522ms
2026-02-22 02:10:34 [INFO]    [PING OK] CA | VLESS | 4782ms
2026-02-22 02:10:34 [INFO]    [PING OK] US | VLESS | 3867ms
2026-02-22 02:10:35 [INFO]    [PING OK] CA | VLESS | 5937ms
2026-02-22 02:10:36 [INFO]    [PING OK] CA | VLESS | 9759ms
2026-02-22 02:10:37 [INFO]    [PING OK] CA | VLESS | 4103ms
2026-02-22 02:10:37 [INFO]    [PING OK] CA | VLESS | 3007ms
2026-02-22 02:10:37 [INFO]    [PING OK] CA | VLESS | 6148ms
2026-02-22 02:10:37 [INFO]    [PING OK] CA | VLESS | 3090ms
2026-02-22 02:10:37 [INFO]    [PING OK] CA | VLESS | 6421ms
2026-02-22 02:10:37 [INFO]    [PING OK] CA | VLESS | 9733ms
2026-02-22 02:10:39 [INFO]    [PING OK] CA | VLESS | 4984ms
2026-02-22 02:10:40 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для 40 иностранных кандидатов...
2026-02-22 02:10:44 [INFO]    🏆 IT | VLESS | Пинг: 4188ms | Скорость: 6.36 Mbps ⚡⚡
2026-02-22 02:10:44 [INFO]    🏆 HU | VLESS | Пинг: 4189ms | Скорость: 6.27 Mbps ⚡⚡
