2026-02-26 07:50:06 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-26 07:50:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-26 07:50:07 [INFO] 🔍 Уникальных конфигов собрано: 410
2026-02-26 07:50:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-26 07:50:30 [INFO]    [PING OK] LT | VLESS | 6141ms
2026-02-26 07:50:30 [INFO]    [PING OK] NL | VLESS | 7496ms
2026-02-26 07:50:30 [INFO]    [PING OK] SE | VLESS | 3208ms
2026-02-26 07:50:30 [INFO]    [PING OK] LT | VLESS | 6233ms
2026-02-26 07:50:30 [INFO]    [PING OK] DE | VLESS | 4232ms
2026-02-26 07:50:30 [INFO]    [PING OK] TR | VLESS | 3071ms
2026-02-26 07:50:30 [INFO]    [PING OK] NL | VLESS | 3410ms
2026-02-26 07:50:31 [INFO]    [PING OK] IT | VLESS | 3308ms
2026-02-26 07:50:31 [INFO]    [PING OK] FI | VLESS | 3277ms
2026-02-26 07:50:31 [INFO]    [PING OK] DE | VLESS | 3442ms
2026-02-26 07:50:31 [INFO]    [PING OK] DE | VLESS | 3319ms
2026-02-26 07:50:31 [INFO]    [PING OK] NL | VLESS | 3210ms
2026-02-26 07:50:31 [INFO]    [PING OK] PL | VLESS | 3451ms
2026-02-26 07:50:31 [INFO]    [PING OK] CH | VLESS | 3489ms
2026-02-26 07:50:32 [INFO]    [PING OK] NL | VLESS | 3335ms
2026-02-26 07:50:32 [INFO]    [PING OK] NL | VLESS | 3666ms
2026-02-26 07:50:32 [INFO]    [PING OK] DE | VLESS | 3949ms
2026-02-26 07:50:33 [INFO]    [PING OK] FI | VLESS | 3727ms
2026-02-26 07:50:34 [INFO]    [PING OK] DE | VLESS | 6577ms
2026-02-26 07:50:34 [INFO]    [PING OK] US | VLESS | 3865ms
2026-02-26 07:50:34 [INFO]    [PING OK] PL | VLESS | 3891ms
2026-02-26 07:50:34 [INFO]    [PING OK] FI | VLESS | 3877ms
2026-02-26 07:50:34 [INFO]    [PING OK] NL | VLESS | 5195ms
2026-02-26 07:50:34 [INFO]    [PING OK] CA | VLESS | 3918ms
2026-02-26 07:50:34 [INFO]    [PING OK] DE | VLESS | 3828ms
2026-02-26 07:50:34 [INFO]    [PING OK] NG | VLESS | 4024ms
2026-02-26 07:50:35 [INFO]    [PING OK] FR | VLESS | 3853ms
2026-02-26 07:50:35 [INFO]    [PING OK] PL | VLESS | 3691ms
2026-02-26 07:50:35 [INFO]    [PING OK] NL | VLESS | 3543ms
2026-02-26 07:50:36 [INFO]    [PING OK] DE | VLESS | 3423ms
2026-02-26 07:50:36 [INFO]    [PING OK] NL | VLESS | 3453ms
2026-02-26 07:50:36 [INFO]    [PING OK] FI | VLESS | 3153ms
2026-02-26 07:50:36 [INFO]    [PING OK] DE | VLESS | 3264ms
2026-02-26 07:50:36 [INFO]    [PING OK] US | VLESS | 5709ms
2026-02-26 07:50:37 [INFO]    [PING OK] FR | VLESS | 3217ms
2026-02-26 07:50:37 [INFO]    [PING OK] ES | VLESS | 3213ms
2026-02-26 07:50:38 [INFO]    [PING OK] PL | VLESS | 3127ms
2026-02-26 07:50:38 [INFO]    [PING OK] NL | VLESS | 3365ms
2026-02-26 07:50:38 [INFO]    [PING OK] PL | VLESS | 3176ms
2026-02-26 07:50:38 [INFO]    [PING OK] LT | VLESS | 3352ms
2026-02-26 07:50:38 [INFO]    [PING OK] FR | VLESS | 3142ms
2026-02-26 07:50:38 [INFO]    [PING OK] ES | VLESS | 3128ms
2026-02-26 07:50:38 [INFO]    [PING OK] NL | VLESS | 3098ms
2026-02-26 07:50:39 [INFO]    [PING OK] PL | VLESS | 3356ms
2026-02-26 07:50:39 [INFO]    [PING OK] DE | VLESS | 5678ms
2026-02-26 07:50:39 [INFO]    [PING OK] NL | VLESS | 3138ms
2026-02-26 07:50:39 [INFO]    [PING OK] FI | VLESS | 3370ms
2026-02-26 07:50:40 [INFO]    [PING OK] TR | VLESS | 3106ms
2026-02-26 07:50:40 [INFO]    [PING OK] HU | VLESS | 3814ms
2026-02-26 07:50:40 [INFO]    [PING OK] HK | VLESS | 3748ms
2026-02-26 07:50:40 [INFO]    [PING OK] DE | VLESS | 3384ms
2026-02-26 07:50:40 [INFO]    [PING OK] US | VLESS | 3696ms
2026-02-26 07:50:41 [INFO]    [PING OK] PL | VLESS | 3646ms
2026-02-26 07:50:41 [INFO]    [PING OK] DE | VLESS | 4813ms
2026-02-26 07:50:41 [INFO]    [PING OK] FR | VLESS | 3658ms
2026-02-26 07:50:43 [INFO]    [PING OK] ES | VLESS | 3871ms
2026-02-26 07:50:43 [INFO]    [PING OK] KZ | VLESS | 4331ms
2026-02-26 07:50:44 [INFO]    [PING OK] FI | VLESS | 3584ms
2026-02-26 07:50:44 [INFO]    [PING OK] US | VLESS | 4161ms
2026-02-26 07:50:44 [INFO]    [PING OK] DE | VLESS | 5370ms
2026-02-26 07:50:44 [INFO]    [PING OK] NL | VLESS | 4408ms
2026-02-26 07:50:44 [INFO]    [PING OK] HK | VLESS | 4208ms
2026-02-26 07:50:44 [INFO]    [PING OK] PL | VLESS | 3959ms
2026-02-26 07:50:44 [INFO]    [PING OK] DE | VLESS | 4077ms
2026-02-26 07:50:44 [INFO]    [PING OK] ES | VLESS | 4280ms
2026-02-26 07:50:45 [INFO]    [PING OK] HU | VLESS | 4278ms
2026-02-26 07:50:45 [INFO]    [PING OK] AE | VLESS | 4232ms
2026-02-26 07:50:45 [INFO]    [PING OK] TR | VLESS | 4450ms
