2026-02-15 20:37:49 [INFO] 🚀 START: Smart VLESS Selector (Target: 10, Strict Mode)
2026-02-15 20:37:49 [INFO] 🌐 Загрузка источников...
2026-02-15 20:37:51 [INFO] 🔍 Уникальных конфигов собрано: 320
2026-02-15 20:37:51 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 25)...
2026-02-15 20:38:12 [INFO]    [PING OK] RU | 307ms
2026-02-15 20:38:12 [INFO]    [PING OK] RU | 314ms
2026-02-15 20:38:12 [INFO]    [PING OK] RU | 748ms
2026-02-15 20:38:13 [INFO]    [PING OK] RU | 1795ms
2026-02-15 20:38:13 [INFO]    [PING OK] GB | 528ms
2026-02-15 20:38:13 [INFO]    [PING OK] NL | 540ms
2026-02-15 20:38:13 [INFO]    [PING OK] RU | 2297ms
2026-02-15 20:38:13 [INFO]    [PING OK] KZ | 199ms
2026-02-15 20:38:13 [INFO]    [PING OK] LV | 415ms
2026-02-15 20:38:14 [INFO]    [PING OK] CY | 794ms
2026-02-15 20:38:14 [INFO]    [PING OK] DE | 487ms
2026-02-15 20:38:14 [INFO]    [PING OK] NL | 1214ms
2026-02-15 20:38:14 [INFO]    [PING OK] RU | 428ms
2026-02-15 20:38:15 [INFO]    [PING OK] CY | 382ms
2026-02-15 20:38:15 [INFO]    [PING OK] DE | 272ms
2026-02-15 20:38:15 [INFO]    [PING OK] CY | 784ms
2026-02-15 20:38:15 [INFO]    [PING OK] NL | 213ms
2026-02-15 20:38:16 [INFO]    [PING OK] GB | 530ms
2026-02-15 20:38:16 [INFO]    [PING OK] DE | 1617ms
2026-02-15 20:38:16 [INFO]    [PING OK] NL | 209ms
2026-02-15 20:38:16 [INFO]    [PING OK] DE | 2122ms
2026-02-15 20:38:17 [INFO]    [PING OK] PL | 139ms
2026-02-15 20:38:17 [INFO]    [PING OK] SG | 378ms
2026-02-15 20:38:17 [INFO]    [PING OK] ES | 702ms
2026-02-15 20:38:17 [INFO]    [PING OK] DE | 242ms
2026-02-15 20:38:18 [INFO]    [PING OK] MY | 1713ms
2026-02-15 20:38:18 [INFO]    [PING OK] DE | 246ms
2026-02-15 20:38:19 [INFO]    [PING OK] FI | 190ms
2026-02-15 20:38:19 [INFO]    [PING OK] JP | 1269ms
2026-02-15 20:38:19 [INFO]    [PING OK] LV | 254ms
2026-02-15 20:38:19 [INFO]    [PING OK] NL | 2131ms
2026-02-15 20:38:19 [INFO]    [PING OK] RU | 161ms
2026-02-15 20:38:19 [INFO]    [PING OK] DE | 173ms
2026-02-15 20:38:19 [INFO]    [PING OK] DE | 155ms
