2026-02-23 03:10:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-23 03:10:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-23 03:10:07 [INFO] 🔍 Уникальных конфигов собрано: 229
2026-02-23 03:10:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-23 03:10:12 [INFO]    [PING OK] CZ | VLESS | 4061ms
2026-02-23 03:10:14 [INFO]    [PING OK] NL | VLESS | 5759ms
2026-02-23 03:10:14 [INFO]    [PING OK] DE | VLESS | 5923ms
2026-02-23 03:10:16 [INFO]    [PING OK] PL | VLESS | 3805ms
2026-02-23 03:10:16 [INFO]    [PING OK] TR | VLESS | 3733ms
2026-02-23 03:10:17 [INFO]    [PING OK] HU | VLESS | 3802ms
2026-02-23 03:10:17 [INFO]    [PING OK] EE | VLESS | 3779ms
2026-02-23 03:10:17 [INFO]    [PING OK] DE | VLESS | 3989ms
2026-02-23 03:10:17 [INFO]    [PING OK] CA | VLESS | 4190ms
2026-02-23 03:10:17 [INFO]    [PING OK] ES | VLESS | 3799ms
2026-02-23 03:10:17 [INFO]    [PING OK] PL | VLESS | 3668ms
2026-02-23 03:10:17 [INFO]    [PING OK] ES | VLESS | 3494ms
2026-02-23 03:10:18 [INFO]    [PING OK] CA | VLESS | 3711ms
2026-02-23 03:10:18 [INFO]    [PING OK] HU | VLESS | 3804ms
2026-02-23 03:10:18 [INFO]    [PING OK] US | VLESS | 4858ms
2026-02-23 03:10:19 [INFO]    [PING OK] TR | VLESS | 3682ms
2026-02-23 03:10:20 [INFO]    [PING OK] PL | VLESS | 3858ms
2026-02-23 03:10:21 [INFO]    [PING OK] IT | VLESS | 4068ms
2026-02-23 03:10:21 [INFO]    [PING OK] PL | VLESS | 3642ms
2026-02-23 03:10:21 [INFO]    [PING OK] PL | VLESS | 3925ms
2026-02-23 03:10:21 [INFO]    [PING OK] PL | VLESS | 3872ms
2026-02-23 03:10:22 [INFO]    [PING OK] PL | VLESS | 4105ms
2026-02-23 03:10:22 [INFO]    [PING OK] DE | VLESS | 4140ms
2026-02-23 03:10:22 [INFO]    [PING OK] CA | VLESS | 3970ms
2026-02-23 03:10:22 [INFO]    [PING OK] CA | VLESS | 4091ms
2026-02-23 03:10:22 [INFO]    [PING OK] PL | VLESS | 4593ms
2026-02-23 03:10:22 [INFO]    [PING OK] CA | VLESS | 3994ms
2026-02-23 03:10:23 [INFO]    [PING OK] CA | VLESS | 4372ms
2026-02-23 03:10:23 [INFO]    [PING OK] DE | VLESS | 3918ms
2026-02-23 03:10:23 [INFO]    [PING OK] CA | VLESS | 4115ms
2026-02-23 03:10:24 [INFO]    [PING OK] CA | VLESS | 4043ms
2026-02-23 03:10:25 [INFO]    [PING OK] CA | VLESS | 5718ms
2026-02-23 03:10:26 [INFO]    [PING OK] CA | VLESS | 5130ms
2026-02-23 03:10:27 [INFO]    [PING OK] CA | VLESS | 6480ms
2026-02-23 03:10:27 [INFO]    [PING OK] CA | VLESS | 5396ms
2026-02-23 03:10:27 [INFO]    [PING OK] CA | VLESS | 5329ms
2026-02-23 03:10:28 [INFO]    [PING OK] DE | VLESS | 5362ms
2026-02-23 03:10:28 [INFO]    [PING OK] DE | VLESS | 5161ms
2026-02-23 03:10:28 [INFO]    [PING OK] US | VLESS | 5590ms
2026-02-23 03:10:28 [INFO]    [PING OK] CA | VLESS | 5023ms
2026-02-23 03:10:28 [INFO]    [PING OK] CA | VLESS | 4900ms
2026-02-23 03:10:28 [INFO]    [PING OK] CA | VLESS | 5485ms
2026-02-23 03:10:28 [INFO]    [PING OK] CA | VLESS | 7692ms
2026-02-23 03:10:28 [INFO]    [PING OK] CA | VLESS | 5054ms
2026-02-23 03:10:29 [INFO]    [PING OK] NL | VLESS | 4467ms
2026-02-23 03:10:29 [INFO]    [PING OK] CA | VLESS | 4902ms
2026-02-23 03:10:29 [INFO]    [PING OK] CA | VLESS | 6694ms
2026-02-23 03:10:29 [INFO]    [PING OK] CA | VLESS | 6573ms
2026-02-23 03:10:29 [INFO]    [PING OK] CA | VLESS | 4785ms
2026-02-23 03:10:29 [INFO]    [PING OK] CA | VLESS | 5340ms
2026-02-23 03:10:30 [INFO]    [PING OK] CA | VLESS | 5448ms
2026-02-23 03:10:31 [INFO]    [PING OK] NL | VLESS | 3792ms
2026-02-23 03:10:31 [INFO]    [PING OK] CA | VLESS | 3823ms
2026-02-23 03:10:31 [INFO]    [PING OK] CA | VLESS | 6812ms
2026-02-23 03:10:31 [INFO]    [PING OK] CA | VLESS | 3577ms
2026-02-23 03:10:31 [INFO]    [PING OK] CA | VLESS | 3850ms
2026-02-23 03:10:31 [INFO]    [PING OK] CA | VLESS | 3244ms
2026-02-23 03:10:31 [INFO]    [PING OK] CA | VLESS | 8846ms
2026-02-23 03:10:31 [INFO]    [PING OK] CA | VLESS | 3855ms
2026-02-23 03:10:31 [INFO]    [PING OK] CA | VLESS | 3097ms
2026-02-23 03:10:31 [INFO]    [PING OK] CA | VLESS | 6427ms
2026-02-23 03:10:31 [INFO]    [PING OK] CA | VLESS | 7699ms
2026-02-23 03:10:31 [INFO]    [PING OK] CA | VLESS | 2001ms
2026-02-23 03:10:32 [INFO]    [PING OK] CA | VLESS | 2965ms
2026-02-23 03:10:32 [INFO]    [PING OK] CA | VLESS | 2799ms
2026-02-23 03:10:32 [INFO]    [PING OK] US | VLESS | 3282ms
2026-02-23 03:10:33 [INFO]    [PING OK] CA | VLESS | 5227ms
2026-02-23 03:10:33 [INFO]    [PING OK] CA | VLESS | 3597ms
2026-02-23 03:10:33 [INFO]    [PING OK] CA | VLESS | 6505ms
2026-02-23 03:10:34 [INFO]    [PING OK] CA | VLESS | 5225ms
2026-02-23 03:10:34 [INFO]    [PING OK] CA | VLESS | 7628ms
2026-02-23 03:10:34 [INFO]    [PING OK] CA | VLESS | 6497ms
2026-02-23 03:10:34 [INFO]    [PING OK] CA | VLESS | 6201ms
2026-02-23 03:10:36 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для 40 иностранных кандидатов...
2026-02-23 03:10:40 [INFO]    🏆 PL | VLESS | Пинг: 3642ms | Скорость: 6.85 Mbps ⚡⚡
2026-02-23 03:10:40 [INFO]    🏆 PL | VLESS | Пинг: 3668ms | Скорость: 6.71 Mbps ⚡⚡
2026-02-23 03:10:40 [INFO]    🏆 EE | VLESS | Пинг: 3779ms | Скорость: 6.52 Mbps ⚡⚡
