2026-02-21 13:00:06 [INFO] 🚀 START: Smart Selector (Target: 10, Strict Mode, Hybrid Protocol)
2026-02-21 13:00:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-21 13:00:15 [INFO] 🔍 Уникальных конфигов собрано: 3599
2026-02-21 13:00:15 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 40)...
2026-02-21 13:00:41 [INFO]    [PING OK] PL | VLESS | 2100ms
2026-02-21 13:00:41 [INFO]    [PING OK] RU | VLESS | 4234ms
2026-02-21 13:00:41 [INFO]    [PING OK] GB | VLESS | 1120ms
2026-02-21 13:00:41 [INFO]    [PING OK] HK | VLESS | 1411ms
2026-02-21 13:00:41 [INFO]    [PING OK] DE | VLESS | 179ms
2026-02-21 13:00:42 [INFO]    [PING OK] FI | VLESS | 208ms
2026-02-21 13:00:42 [INFO]    [PING OK] AE | VLESS | 797ms
2026-02-21 13:00:43 [INFO]    [PING OK] DE | VLESS | 420ms
2026-02-21 13:00:43 [INFO]    [PING OK] DE | VLESS | 163ms
2026-02-21 13:00:43 [INFO]    [PING OK] DE | VLESS | 2385ms
2026-02-21 13:00:43 [INFO]    [PING OK] US | VLESS | 618ms
2026-02-21 13:00:43 [INFO]    [PING OK] UZ | VLESS | 475ms
2026-02-21 13:00:44 [INFO]    [PING OK] FI | VLESS | 199ms
2026-02-21 13:00:44 [INFO]    [PING OK] NL | VLESS | 213ms
2026-02-21 13:00:44 [INFO]    [PING OK] DE | VLESS | 218ms
2026-02-21 13:00:44 [INFO]    [PING OK] US | VLESS | 453ms
2026-02-21 13:00:45 [INFO]    [PING OK] US | VLESS | 658ms
2026-02-21 13:00:45 [INFO]    [PING OK] AT | VLESS | 229ms
2026-02-21 13:00:45 [INFO]    [PING OK] CA | VLESS | 298ms
2026-02-21 13:00:45 [INFO]    [PING OK] NL | VLESS | 242ms
2026-02-21 13:00:45 [INFO]    [PING OK] FR | VMESS | 156ms
2026-02-21 13:00:45 [INFO]    [PING OK] AU | VLESS | 675ms
2026-02-21 13:00:46 [INFO]    [PING OK] RU | VMESS | 141ms
2026-02-21 13:00:46 [INFO]    [PING OK] CY | VLESS | 387ms
2026-02-21 13:00:46 [INFO]    [PING OK] US | VLESS | 625ms
2026-02-21 13:00:46 [INFO]    [PING OK] US | VLESS | 785ms
2026-02-21 13:00:46 [INFO]    [PING OK] US | VLESS | 546ms
2026-02-21 13:00:46 [INFO]    [PING OK] TW | VMESS | 595ms
2026-02-21 13:00:46 [INFO]    [PING OK] US | VLESS | 669ms
2026-02-21 13:00:47 [INFO]    [PING OK] IT | VLESS | 736ms
2026-02-21 13:00:50 [INFO]    [PING OK] DE | VLESS | 165ms
2026-02-21 13:00:51 [INFO]    [PING OK] DE | VLESS | 161ms
2026-02-21 13:00:52 [INFO]    [PING OK] FR | VLESS | 180ms
2026-02-21 13:00:52 [INFO]    [PING OK] DE | VLESS | 150ms
2026-02-21 13:00:53 [INFO]    [PING OK] DE | VLESS | 144ms
2026-02-21 13:00:53 [INFO]    [PING OK] DE | VLESS | 121ms
2026-02-21 13:00:53 [INFO]    [PING OK] DE | VLESS | 99ms
2026-02-21 13:00:56 [INFO]    [PING OK] TR | VMESS | 2533ms
2026-02-21 13:00:57 [INFO]    [PING OK] DE | VLESS | 125ms
2026-02-21 13:00:58 [INFO]    [PING OK] IR | VLESS | 4103ms
2026-02-21 13:00:59 [INFO]    [PING OK] DE | VLESS | 106ms
2026-02-21 13:01:00 [INFO]    [PING OK] DE | VLESS | 130ms
2026-02-21 13:01:00 [INFO]    [PING OK] HK | VMESS | 3104ms
2026-02-21 13:01:01 [INFO]    [PING OK] DE | VLESS | 119ms
2026-02-21 13:01:03 [INFO]    [PING OK] DE | VLESS | 122ms
2026-02-21 13:01:03 [INFO]    [PING OK] FR | VLESS | 765ms
2026-02-21 13:01:03 [INFO]    [PING OK] DE | VLESS | 117ms
2026-02-21 13:01:03 [INFO]    [PING OK] US | VLESS | 450ms
2026-02-21 13:01:04 [INFO]    [PING OK] DE | VLESS | 110ms
2026-02-21 13:01:05 [INFO]    [PING OK] DE | VLESS | 159ms
2026-02-21 13:01:05 [INFO]    [PING OK] DE | VLESS | 109ms
2026-02-21 13:01:06 [INFO]    [PING OK] DE | VLESS | 733ms
2026-02-21 13:01:07 [INFO]    [PING OK] DE | VLESS | 141ms
2026-02-21 13:01:08 [INFO]    [PING OK] DE | VLESS | 122ms
2026-02-21 13:01:08 [INFO]    [PING OK] RU | VLESS | 334ms
2026-02-21 13:01:08 [INFO]    [PING OK] RU | VLESS | 297ms
2026-02-21 13:01:09 [INFO]    [PING OK] RU | VLESS | 89ms
2026-02-21 13:01:10 [INFO]    [PING OK] SG | VLESS | 1098ms
