2026-02-23 06:50:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-23 06:50:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-23 06:50:08 [INFO] 🔍 Уникальных конфигов собрано: 228
2026-02-23 06:50:08 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-23 06:50:14 [INFO]    [PING OK] PL | VLESS | 4556ms
2026-02-23 06:50:16 [INFO]    [PING OK] DE | VLESS | 6665ms
2026-02-23 06:50:16 [INFO]    [PING OK] EE | VLESS | 4174ms
2026-02-23 06:50:17 [INFO]    [PING OK] DE | VLESS | 5500ms
2026-02-23 06:50:18 [INFO]    [PING OK] PL | VLESS | 3404ms
2026-02-23 06:50:18 [INFO]    [PING OK] PL | VLESS | 3373ms
2026-02-23 06:50:18 [INFO]    [PING OK] ES | VLESS | 3740ms
2026-02-23 06:50:18 [INFO]    [PING OK] FI | VLESS | 3449ms
2026-02-23 06:50:18 [INFO]    [PING OK] HU | VLESS | 3481ms
2026-02-23 06:50:18 [INFO]    [PING OK] PL | VLESS | 3575ms
2026-02-23 06:50:18 [INFO]    [PING OK] PL | VLESS | 3558ms
2026-02-23 06:50:18 [INFO]    [PING OK] HU | VLESS | 3553ms
2026-02-23 06:50:18 [INFO]    [PING OK] IT | VLESS | 3321ms
2026-02-23 06:50:18 [INFO]    [PING OK] HU | VLESS | 3410ms
2026-02-23 06:50:19 [INFO]    [PING OK] ES | VLESS | 3350ms
2026-02-23 06:50:19 [INFO]    [PING OK] IT | VLESS | 3286ms
2026-02-23 06:50:19 [INFO]    [PING OK] DE | VLESS | 3985ms
2026-02-23 06:50:19 [INFO]    [PING OK] TR | VLESS | 3465ms
2026-02-23 06:50:19 [INFO]    [PING OK] PL | VLESS | 3115ms
2026-02-23 06:50:19 [INFO]    [PING OK] EE | VLESS | 3126ms
2026-02-23 06:50:19 [INFO]    [PING OK] ES | VLESS | 3301ms
2026-02-23 06:50:20 [INFO]    [PING OK] IT | VLESS | 3033ms
2026-02-23 06:50:20 [INFO]    [PING OK] TR | VLESS | 2937ms
2026-02-23 06:50:20 [INFO]    [PING OK] TR | VLESS | 3005ms
2026-02-23 06:50:21 [INFO]    [PING OK] HU | VLESS | 3041ms
2026-02-23 06:50:21 [INFO]    [PING OK] CA | VLESS | 5476ms
2026-02-23 06:50:22 [INFO]    [PING OK] DE | VLESS | 3666ms
2026-02-23 06:50:22 [INFO]    [PING OK] CA | VLESS | 4625ms
2026-02-23 06:50:23 [INFO]    [PING OK] ES | VLESS | 3535ms
2026-02-23 06:50:23 [INFO]    [PING OK] DE | VLESS | 3982ms
2026-02-23 06:50:23 [INFO]    [PING OK] HU | VLESS | 3944ms
2026-02-23 06:50:23 [INFO]    [PING OK] ES | VLESS | 4078ms
2026-02-23 06:50:23 [INFO]    [PING OK] ES | VLESS | 4233ms
2026-02-23 06:50:24 [INFO]    [PING OK] HU | VLESS | 4004ms
2026-02-23 06:50:24 [INFO]    [PING OK] ES | VLESS | 4311ms
2026-02-23 06:50:24 [INFO]    [PING OK] PL | VLESS | 4865ms
2026-02-23 06:50:24 [INFO]    [PING OK] PL | VLESS | 4565ms
2026-02-23 06:50:24 [INFO]    [PING OK] TR | VLESS | 4209ms
2026-02-23 06:50:24 [INFO]    [PING OK] DE | VLESS | 4670ms
2026-02-23 06:50:24 [INFO]    [PING OK] PL | VLESS | 4503ms
2026-02-23 06:50:25 [INFO]    [PING OK] CA | VLESS | 4967ms
2026-02-23 06:50:26 [INFO]    [PING OK] CA | VLESS | 4919ms
2026-02-23 06:50:27 [INFO]    [PING OK] DE | VLESS | 5060ms
2026-02-23 06:50:28 [INFO]    [PING OK] CA | VLESS | 5010ms
2026-02-23 06:50:28 [INFO]    [PING OK] CA | VLESS | 5020ms
2026-02-23 06:50:29 [INFO]    [PING OK] DE | VLESS | 5178ms
2026-02-23 06:50:29 [INFO]    [PING OK] CA | VLESS | 5473ms
2026-02-23 06:50:29 [INFO]    [PING OK] NL | VLESS | 5488ms
2026-02-23 06:50:30 [INFO]    [PING OK] CA | VLESS | 5714ms
2026-02-23 06:50:30 [INFO]    [PING OK] CA | VLESS | 5309ms
2026-02-23 06:50:30 [INFO]    [PING OK] CA | VLESS | 5424ms
2026-02-23 06:50:30 [INFO]    [PING OK] CA | VLESS | 5268ms
2026-02-23 06:50:30 [INFO]    [PING OK] CA | VLESS | 7645ms
2026-02-23 06:50:30 [INFO]    [PING OK] CA | VLESS | 4763ms
2026-02-23 06:50:32 [INFO]    [PING OK] CA | VLESS | 3570ms
2026-02-23 06:50:32 [INFO]    [PING OK] CA | VLESS | 3709ms
2026-02-23 06:50:33 [INFO]    [PING OK] CA | VLESS | 3430ms
2026-02-23 06:50:33 [INFO]    [PING OK] CA | VLESS | 3099ms
2026-02-23 06:50:33 [INFO]    [PING OK] CA | VLESS | 3956ms
2026-02-23 06:50:33 [INFO]    [PING OK] CA | VLESS | 7896ms
2026-02-23 06:50:33 [INFO]    [PING OK] CA | VLESS | 2650ms
2026-02-23 06:50:33 [INFO]    [PING OK] GB | VLESS | 3988ms
2026-02-23 06:50:34 [INFO]    [PING OK] CA | VLESS | 8092ms
2026-02-23 06:50:37 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для 40 иностранных кандидатов...
2026-02-23 06:50:41 [INFO]    🏆 IT | VLESS | Пинг: 3033ms | Скорость: 6.32 Mbps ⚡⚡
2026-02-23 06:50:41 [INFO]    🏆 HU | VLESS | Пинг: 3041ms | Скорость: 6.24 Mbps ⚡⚡
2026-02-23 06:50:41 [INFO]    🏆 PL | VLESS | Пинг: 3115ms | Скорость: 6.19 Mbps ⚡⚡
2026-02-23 06:50:41 [INFO]    🏆 IT | VLESS | Пинг: 3286ms | Скорость: 6.19 Mbps ⚡⚡
2026-02-23 06:50:41 [INFO]    🏆 TR | VLESS | Пинг: 3005ms | Скорость: 6.03 Mbps ⚡⚡
2026-02-23 06:50:41 [INFO]    🏆 IT | VLESS | Пинг: 3321ms | Скорость: 6.22 Mbps ⚡⚡
2026-02-23 06:50:41 [INFO]    🏆 PL | VLESS | Пинг: 3404ms | Скорость: 6.22 Mbps ⚡⚡
2026-02-23 06:50:41 [INFO]    🏆 EE | VLESS | Пинг: 3126ms | Скорость: 5.97 Mbps ⚡⚡
2026-02-23 06:50:41 [INFO]    🏆 ES | VLESS | Пинг: 3301ms | Скорость: 5.67 Mbps ⚡⚡
2026-02-23 06:50:42 [INFO]    🏆 TR | VLESS | Пинг: 2937ms | Скорость: 4.37 Mbps ⚡⚡
2026-02-23 06:50:43 [INFO]    🏆 FI | VLESS | Пинг: 3449ms | Скорость: 10.87 Mbps ⚡⚡
2026-02-23 06:50:44 [INFO]    🏆 PL | VLESS | Пинг: 3558ms | Скорость: 9.83 Mbps ⚡⚡
2026-02-23 06:50:44 [INFO]    🏆 ES | VLESS | Пинг: 3350ms | Скорость: 1.63 Mbps ⚡
2026-02-23 06:50:44 [INFO]    🏆 HU | VLESS | Пинг: 3410ms | Скорость: 3.24 Mbps ⚡⚡
2026-02-23 06:50:44 [INFO]    🏆 PL | VLESS | Пинг: 3373ms | Скорость: 0.67 Mbps 
2026-02-23 06:50:44 [INFO]    🏆 TR | VLESS | Пинг: 3465ms | Скорость: 8.64 Mbps ⚡⚡
2026-02-23 06:50:44 [INFO]    🏆 HU | VLESS | Пинг: 3481ms | Скорость: 8.57 Mbps ⚡⚡
2026-02-23 06:50:46 [INFO]    🏆 ES | VLESS | Пинг: 3740ms | Скорость: 11.87 Mbps ⚡⚡
2026-02-23 06:50:46 [INFO]    🏆 HU | VLESS | Пинг: 3944ms | Скорость: 11.81 Mbps ⚡⚡
2026-02-23 06:50:47 [INFO]    🏆 DE | VLESS | Пинг: 3982ms | Скорость: 9.99 Mbps ⚡⚡
2026-02-23 06:50:47 [INFO]    🏆 HU | VLESS | Пинг: 4004ms | Скорость: 8.56 Mbps ⚡⚡
2026-02-23 06:50:47 [INFO]    🏆 ES | VLESS | Пинг: 4078ms | Скорость: 8.5 Mbps ⚡⚡
2026-02-23 06:50:47 [INFO]    🏆 ES | VLESS | Пинг: 4233ms | Скорость: 11.46 Mbps ⚡⚡
2026-02-23 06:50:47 [INFO]    🏆 TR | VLESS | Пинг: 4209ms | Скорость: 10.59 Mbps ⚡⚡
2026-02-23 06:50:48 [INFO]    🏆 EE | VLESS | Пинг: 4174ms | Скорость: 8.89 Mbps ⚡⚡
2026-02-23 06:50:48 [INFO]    🏆 HU | VLESS | Пинг: 3553ms | Скорость: 2.2 Mbps ⚡
2026-02-23 06:50:48 [INFO]    🏆 ES | VLESS | Пинг: 3535ms | Скорость: 2.0 Mbps ⚡
2026-02-23 06:50:48 [INFO]    🏆 PL | VLESS | Пинг: 3575ms | Скорость: 1.24 Mbps 
2026-02-23 06:50:48 [INFO]    🏆 PL | VLESS | Пинг: 4503ms | Скорость: 15.17 Mbps ⚡⚡
2026-02-23 06:50:48 [INFO]    🏆 ES | VLESS | Пинг: 4311ms | Скорость: 11.87 Mbps ⚡⚡
2026-02-23 06:50:48 [INFO]    🏆 PL | VLESS | Пинг: 4556ms | Скорость: 18.21 Mbps ⚡⚡
2026-02-23 06:50:49 [INFO]    🏆 CA | VLESS | Пинг: 3709ms | Скорость: 0.77 Mbps 
2026-02-23 06:50:51 [INFO]    🏆 CA | VLESS | Пинг: 3956ms | Скорость: 0.75 Mbps 
2026-02-23 06:50:51 [INFO] 📊 Итого в подписке сохранено иностранных серверов: 10
2026-02-23 06:50:51 [INFO] 💾 Файл успешно сохранен: FL1PVPN
