2026-02-26 05:30:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-26 05:30:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-26 05:30:06 [INFO] 🔍 Уникальных конфигов собрано: 615
2026-02-26 05:30:06 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-26 05:30:39 [INFO]    [PING OK] US | VLESS | 5335ms
2026-02-26 05:30:39 [INFO]    [PING OK] ES | VLESS | 4064ms
2026-02-26 05:30:39 [INFO]    [PING OK] DE | VLESS | 3892ms
2026-02-26 05:30:39 [INFO]    [PING OK] ES | VLESS | 4232ms
2026-02-26 05:30:40 [INFO]    [PING OK] PL | VLESS | 4013ms
2026-02-26 05:30:40 [INFO]    [PING OK] NL | VLESS | 4054ms
2026-02-26 05:30:41 [INFO]    [PING OK] FR | VLESS | 3664ms
2026-02-26 05:30:41 [INFO]    [PING OK] FI | VLESS | 3800ms
2026-02-26 05:30:41 [INFO]    [PING OK] LV | VLESS | 3446ms
2026-02-26 05:30:41 [INFO]    [PING OK] NL | VLESS | 8055ms
2026-02-26 05:30:42 [INFO]    [PING OK] CH | VLESS | 3533ms
2026-02-26 05:30:42 [INFO]    [PING OK] TR | VLESS | 3480ms
2026-02-26 05:30:42 [INFO]    [PING OK] CA | VLESS | 3891ms
2026-02-26 05:30:42 [INFO]    [PING OK] LV | VLESS | 3562ms
2026-02-26 05:30:42 [INFO]    [PING OK] KZ | VLESS | 4834ms
2026-02-26 05:30:43 [INFO]    [PING OK] PL | VLESS | 3610ms
2026-02-26 05:30:43 [INFO]    [PING OK] EE | VLESS | 3603ms
2026-02-26 05:30:43 [INFO]    [PING OK] FI | VLESS | 3633ms
2026-02-26 05:30:43 [INFO]    [PING OK] US | VLESS | 3748ms
2026-02-26 05:30:43 [INFO]    [PING OK] DE | VLESS | 3510ms
2026-02-26 05:30:44 [INFO]    [PING OK] DE | VLESS | 3644ms
2026-02-26 05:30:44 [INFO]    [PING OK] HU | VLESS | 3726ms
2026-02-26 05:30:44 [INFO]    [PING OK] DE | VLESS | 4096ms
2026-02-26 05:30:44 [INFO]    [PING OK] PL | VLESS | 7823ms
2026-02-26 05:30:44 [INFO]    [PING OK] NL | VLESS | 3746ms
2026-02-26 05:30:45 [INFO]    [PING OK] NL | VLESS | 3852ms
2026-02-26 05:30:45 [INFO]    [PING OK] TR | VLESS | 4210ms
2026-02-26 05:30:46 [INFO]    [PING OK] IT | VLESS | 4094ms
2026-02-26 05:30:46 [INFO]    [PING OK] FI | VLESS | 4408ms
2026-02-26 05:30:47 [INFO]    [PING OK] FI | VLESS | 4127ms
2026-02-26 05:30:47 [INFO]    [PING OK] PL | VLESS | 4324ms
2026-02-26 05:30:47 [INFO]    [PING OK] EE | VLESS | 4195ms
2026-02-26 05:30:47 [INFO]    [PING OK] US | VLESS | 4768ms
2026-02-26 05:30:48 [INFO]    [PING OK] GB | VLESS | 4458ms
2026-02-26 05:30:48 [INFO]    [PING OK] JP | VLESS | 4606ms
2026-02-26 05:30:48 [INFO]    [PING OK] FI | VLESS | 4441ms
2026-02-26 05:30:49 [INFO]    [PING OK] LV | VLESS | 3956ms
2026-02-26 05:30:49 [INFO]    [PING OK] JP | VLESS | 4543ms
2026-02-26 05:30:49 [INFO]    [PING OK] KZ | VLESS | 4490ms
2026-02-26 05:30:51 [INFO]    [PING OK] NL | VLESS | 4650ms
2026-02-26 05:30:51 [INFO]    [PING OK] NL | VLESS | 4938ms
2026-02-26 05:30:51 [INFO]    [PING OK] NL | VLESS | 4683ms
2026-02-26 05:30:51 [INFO]    [PING OK] NL | VLESS | 4462ms
2026-02-26 05:30:51 [INFO]    [PING OK] FI | VLESS | 3836ms
2026-02-26 05:30:51 [INFO]    [PING OK] US | VLESS | 4103ms
2026-02-26 05:30:51 [INFO]    [PING OK] HU | VLESS | 3550ms
2026-02-26 05:30:52 [INFO]    [PING OK] KZ | VLESS | 7372ms
2026-02-26 05:30:52 [INFO]    [PING OK] ES | VLESS | 3789ms
2026-02-26 05:30:52 [INFO]    [PING OK] NL | VLESS | 3598ms
2026-02-26 05:30:52 [INFO]    [PING OK] NL | VLESS | 3389ms
2026-02-26 05:30:52 [INFO]    [PING OK] EE | VLESS | 4001ms
2026-02-26 05:30:53 [INFO]    [PING OK] PL | VLESS | 3679ms
2026-02-26 05:30:53 [INFO]    [PING OK] FI | VLESS | 3614ms
2026-02-26 05:30:53 [INFO]    [PING OK] US | VLESS | 4167ms
2026-02-26 05:30:53 [INFO]    [PING OK] PL | VLESS | 3773ms
2026-02-26 05:30:55 [INFO]    [PING OK] ES | VLESS | 5282ms
2026-02-26 05:30:55 [INFO]    [PING OK] NL | VLESS | 5396ms
2026-02-26 05:30:55 [INFO]    [PING OK] US | VLESS | 4529ms
2026-02-26 05:30:55 [INFO]    [PING OK] JP | VLESS | 4715ms
2026-02-26 05:30:56 [INFO]    [PING OK] DE | VLESS | 4713ms
2026-02-26 05:30:57 [INFO]    [PING OK] NL | VLESS | 4864ms
2026-02-26 05:30:57 [INFO]    [PING OK] NL | VLESS | 4982ms
2026-02-26 05:30:57 [INFO]    [PING OK] IT | VLESS | 4625ms
2026-02-26 05:30:57 [INFO]    [PING OK] LT | VLESS | 4294ms
2026-02-26 05:30:57 [INFO]    [PING OK] JP | VLESS | 5104ms
2026-02-26 05:30:57 [INFO]    [PING OK] IT | VLESS | 4470ms
2026-02-26 05:30:57 [INFO]    [PING OK] NL | VLESS | 4619ms
2026-02-26 05:30:57 [INFO]    [PING OK] FI | VLESS | 5128ms
2026-02-26 05:30:57 [INFO]    [PING OK] NL | VLESS | 4060ms
2026-02-26 05:30:58 [INFO]    [PING OK] JP | VLESS | 4757ms
2026-02-26 05:30:58 [INFO]    [PING OK] US | VLESS | 5032ms
2026-02-26 05:30:58 [INFO]    [PING OK] JP | VLESS | 4327ms
2026-02-26 05:30:58 [INFO]    [PING OK] TR | VLESS | 4605ms
2026-02-26 05:30:59 [INFO]    [PING OK] US | VLESS | 4272ms
2026-02-26 05:30:59 [INFO]    [PING OK] CA | VLESS | 4089ms
2026-02-26 05:30:59 [INFO]    [PING OK] FI | VLESS | 3809ms
2026-02-26 05:30:59 [INFO]    [PING OK] FI | VLESS | 3942ms
2026-02-26 05:30:59 [INFO]    [PING OK] PL | VLESS | 3760ms
2026-02-26 05:31:00 [INFO]    [PING OK] PL | VLESS | 3934ms
2026-02-26 05:31:00 [INFO]    [PING OK] PL | VLESS | 4151ms
2026-02-26 05:31:01 [INFO]    [PING OK] HU | VLESS | 4175ms
2026-02-26 05:31:01 [INFO]    [PING OK] US | VLESS | 4342ms
2026-02-26 05:31:01 [INFO]    [PING OK] FI | VLESS | 4516ms
2026-02-26 05:31:02 [INFO]    [PING OK] DE | VLESS | 4507ms
2026-02-26 05:31:02 [INFO]    [PING OK] FR | VLESS | 4569ms
2026-02-26 05:31:02 [INFO]    [PING OK] JP | VLESS | 4573ms
2026-02-26 05:31:02 [INFO]    [PING OK] NL | VLESS | 4661ms
2026-02-26 05:31:03 [INFO]    [PING OK] TR | VLESS | 4511ms
2026-02-26 05:31:03 [INFO]    [PING OK] CA | VLESS | 4992ms
2026-02-26 05:31:03 [INFO]    [PING OK] FR | VLESS | 4234ms
2026-02-26 05:31:03 [INFO]    [PING OK] NL | VLESS | 4228ms
2026-02-26 05:31:04 [INFO]    [PING OK] HK | VLESS | 5205ms
2026-02-26 05:31:04 [INFO]    [PING OK] DE | VLESS | 4570ms
2026-02-26 05:31:04 [INFO]    [PING OK] HU | VLESS | 5429ms
2026-02-26 05:31:04 [INFO]    [PING OK] IT | VLESS | 4510ms
2026-02-26 05:31:04 [INFO]    [PING OK] NL | VLESS | 4582ms
2026-02-26 05:31:04 [INFO]    [PING OK] FI | VLESS | 4356ms
2026-02-26 05:31:04 [INFO]    [PING OK] ES | VLESS | 4514ms
2026-02-26 05:31:04 [INFO]    [PING OK] TR | VLESS | 4697ms
2026-02-26 05:31:04 [INFO]    [PING OK] NL | VLESS | 4469ms
2026-02-26 05:31:05 [INFO]    [PING OK] HU | VLESS | 4339ms
2026-02-26 05:31:05 [INFO]    [PING OK] NL | VLESS | 4197ms
2026-02-26 05:31:06 [INFO]    [PING OK] PL | VLESS | 4251ms
2026-02-26 05:31:06 [INFO]    [PING OK] PL | VLESS | 8459ms
2026-02-26 05:31:06 [INFO]    [PING OK] LT | VLESS | 4263ms
2026-02-26 05:31:07 [INFO]    [PING OK] PL | VLESS | 4553ms
2026-02-26 05:31:07 [INFO]    [PING OK] US | VLESS | 4441ms
2026-02-26 05:31:08 [INFO]    [PING OK] TR | VLESS | 4565ms
2026-02-26 05:31:08 [INFO]    [PING OK] PL | VLESS | 4672ms
2026-02-26 05:31:08 [INFO]    [PING OK] DE | VLESS | 4722ms
2026-02-26 05:31:08 [INFO]    [PING OK] DE | VLESS | 4953ms
2026-02-26 05:31:08 [INFO]    [PING OK] FI | VLESS | 4822ms
2026-02-26 05:31:09 [INFO]    [PING OK] DE | VLESS | 4997ms
2026-02-26 05:31:10 [INFO]    [PING OK] NL | VLESS | 5435ms
2026-02-26 05:31:10 [INFO]    [PING OK] DE | VLESS | 5629ms
2026-02-26 05:31:10 [INFO]    [PING OK] CH | VLESS | 5941ms
2026-02-26 05:31:11 [INFO]    [PING OK] DE | VLESS | 5793ms
2026-02-26 05:31:11 [INFO]    [PING OK] NL | VLESS | 5537ms
2026-02-26 05:31:11 [INFO]    [PING OK] DE | VLESS | 6546ms
2026-02-26 05:31:12 [INFO]    [PING OK] DE | VLESS | 5327ms
2026-02-26 05:31:13 [INFO]    [PING OK] DE | VLESS | 3350ms
2026-02-26 05:31:13 [INFO]    [PING OK] GB | VLESS | 3699ms
2026-02-26 05:31:13 [INFO]    [PING OK] DE | VLESS | 3442ms
2026-02-26 05:31:14 [INFO]    [PING OK] LV | VLESS | 3202ms
2026-02-26 05:31:14 [INFO]    [PING OK] FR | VLESS | 3076ms
2026-02-26 05:31:14 [INFO]    [PING OK] SG | VLESS | 7430ms
2026-02-26 05:31:14 [INFO]    [PING OK] DE | VLESS | 2332ms
2026-02-26 05:31:14 [INFO]    [PING OK] GB | VLESS | 2798ms
2026-02-26 05:31:19 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для 40 иностранных кандидатов...
2026-02-26 05:31:23 [INFO]    🏆 LV | VLESS | Пинг: 3202ms | Скорость: 6.62 Mbps ⚡⚡
2026-02-26 05:31:23 [INFO]    🏆 NL | VLESS | Пинг: 3220ms | Скорость: 6.5 Mbps ⚡⚡
2026-02-26 05:31:23 [INFO]    🏆 DE | VLESS | Пинг: 3350ms | Скорость: 6.75 Mbps ⚡⚡
2026-02-26 05:31:23 [INFO]    🏆 DE | VLESS | Пинг: 3442ms | Скорость: 6.84 Mbps ⚡⚡
2026-02-26 05:31:23 [INFO]    🏆 DE | VLESS | Пинг: 3374ms | Скорость: 6.75 Mbps ⚡⚡
2026-02-26 05:31:23 [INFO]    🏆 PL | VLESS | Пинг: 3033ms | Скорость: 6.39 Mbps ⚡⚡
2026-02-26 05:31:23 [INFO]    🏆 NL | VLESS | Пинг: 3389ms | Скорость: 6.73 Mbps ⚡⚡
