2026-02-17 05:40:05 [INFO] 🚀 START: Smart VLESS Selector (Target: 10, Strict Mode)
2026-02-17 05:40:05 [INFO] 🌐 Загрузка источников...
2026-02-17 05:40:08 [INFO] 🔍 Уникальных конфигов собрано: 639
2026-02-17 05:40:08 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 25)...
2026-02-17 05:40:09 [INFO]    [PING OK] DE | 237ms
2026-02-17 05:40:10 [INFO]    [PING OK] DE | 823ms
2026-02-17 05:40:10 [INFO]    [PING OK] NL | 234ms
2026-02-17 05:40:11 [INFO]    [PING OK] RU | 1223ms
2026-02-17 05:40:11 [INFO]    [PING OK] DE | 151ms
2026-02-17 05:40:12 [INFO]    [PING OK] FR | 215ms
2026-02-17 05:40:12 [INFO]    [PING OK] DE | 165ms
2026-02-17 05:40:15 [INFO]    [PING OK] DE | 193ms
2026-02-17 05:40:15 [INFO]    [PING OK] DE | 537ms
2026-02-17 05:40:15 [INFO]    [PING OK] DE | 1253ms
2026-02-17 05:40:18 [INFO]    [PING OK] DE | 162ms
2026-02-17 05:40:20 [INFO]    [PING OK] RU | 210ms
2026-02-17 05:40:21 [INFO]    [PING OK] PL | 152ms
2026-02-17 05:40:21 [INFO]    [PING OK] RU | 290ms
2026-02-17 05:40:21 [INFO]    [PING OK] RU | 323ms
2026-02-17 05:40:21 [INFO]    [PING OK] RU | 277ms
2026-02-17 05:40:21 [INFO]    [PING OK] RU | 657ms
2026-02-17 05:40:21 [INFO]    [PING OK] RU | 304ms
2026-02-17 05:40:21 [INFO]    [PING OK] RU | 284ms
2026-02-17 05:40:21 [INFO]    [PING OK] RU | 951ms
2026-02-17 05:40:22 [INFO]    [PING OK] RU | 201ms
2026-02-17 05:40:22 [INFO]    [PING OK] RU | 246ms
2026-02-17 05:40:22 [INFO]    [PING OK] US | 431ms
2026-02-17 05:40:22 [INFO]    [PING OK] DE | 1610ms
2026-02-17 05:40:22 [INFO]    [PING OK] RU | 258ms
2026-02-17 05:40:22 [INFO]    [PING OK] RU | 66ms
2026-02-17 05:40:22 [INFO]    [PING OK] RU | 243ms
2026-02-17 05:40:22 [INFO]    [PING OK] RU | 2018ms
2026-02-17 05:40:23 [INFO]    [PING OK] PL | 194ms
2026-02-17 05:40:23 [INFO]    [PING OK] RU | 729ms
2026-02-17 05:40:23 [INFO]    [PING OK] RU | 395ms
2026-02-17 05:40:23 [INFO]    [PING OK] RU | 273ms
2026-02-17 05:40:23 [INFO]    [PING OK] RU | 217ms
2026-02-17 05:40:23 [INFO]    [PING OK] FI | 244ms
2026-02-17 05:40:23 [INFO]    [PING OK] RU | 130ms
2026-02-17 05:40:23 [INFO]    [PING OK] RU | 363ms
2026-02-17 05:40:24 [INFO]    [PING OK] RU | 1178ms
2026-02-17 05:40:24 [INFO]    [PING OK] RU | 1220ms
2026-02-17 05:40:24 [INFO]    [PING OK] RU | 288ms
2026-02-17 05:40:25 [INFO]    [PING OK] RU | 197ms
2026-02-17 05:40:25 [INFO]    [PING OK] HU | 359ms
2026-02-17 05:40:25 [INFO]    [PING OK] RU | 259ms
2026-02-17 05:40:25 [INFO]    [PING OK] RU | 503ms
2026-02-17 05:40:25 [INFO]    [PING OK] FI | 135ms
2026-02-17 05:40:25 [INFO]    [PING OK] RU | 330ms
2026-02-17 05:40:26 [INFO]    [PING OK] RU | 271ms
2026-02-17 05:40:26 [INFO]    [PING OK] FI | 151ms
2026-02-17 05:40:26 [INFO]    [PING OK] RU | 258ms
2026-02-17 05:40:26 [INFO]    [PING OK] NL | 194ms
2026-02-17 05:40:26 [INFO]    [PING OK] RU | 4476ms
2026-02-17 05:40:26 [INFO]    [PING OK] NL | 1374ms
2026-02-17 05:40:26 [INFO]    [PING OK] RU | 454ms
2026-02-17 05:40:27 [INFO]    [PING OK] RU | 275ms
2026-02-17 05:40:27 [INFO]    [PING OK] RU | 222ms
2026-02-17 05:40:27 [INFO]    [PING OK] RU | 132ms
2026-02-17 05:40:27 [INFO]    [PING OK] RU | 212ms
2026-02-17 05:40:27 [INFO]    [PING OK] RU | 199ms
2026-02-17 05:40:28 [INFO]    [PING OK] RU | 1651ms
2026-02-17 05:40:28 [INFO]    [PING OK] RU | 2374ms
2026-02-17 05:40:28 [INFO]    [PING OK] RU | 4139ms
2026-02-17 05:40:28 [INFO]    [PING OK] RU | 73ms
2026-02-17 05:40:29 [INFO]    [PING OK] RU | 324ms
2026-02-17 05:40:29 [INFO]    [PING OK] FI | 185ms
2026-02-17 05:40:29 [INFO]    [PING OK] DE | 154ms
2026-02-17 05:40:29 [INFO]    [PING OK] NL | 201ms
2026-02-17 05:40:29 [INFO]    [PING OK] RU | 238ms
2026-02-17 05:40:30 [INFO]    [PING OK] RU | 204ms
2026-02-17 05:40:30 [INFO]    [PING OK] RU | 308ms
2026-02-17 05:40:30 [INFO]    [PING OK] RU | 216ms
2026-02-17 05:40:30 [INFO]    [PING OK] RU | 186ms
2026-02-17 05:40:30 [INFO]    [PING OK] RU | 272ms
2026-02-17 05:40:30 [INFO]    [PING OK] RU | 224ms
2026-02-17 05:40:30 [INFO]    [PING OK] DE | 168ms
2026-02-17 05:40:30 [INFO]    [PING OK] RU | 284ms
2026-02-17 05:40:30 [INFO]    [PING OK] RU | 231ms
2026-02-17 05:40:30 [INFO]    [PING OK] RU | 58ms
2026-02-17 05:40:31 [INFO]    [PING OK] RU | 190ms
2026-02-17 05:40:31 [INFO]    [PING OK] RU | 248ms
2026-02-17 05:40:31 [INFO]    [PING OK] RU | 273ms
2026-02-17 05:40:31 [INFO]    [PING OK] RU | 608ms
2026-02-17 05:40:31 [INFO]    [PING OK] RU | 1284ms
2026-02-17 05:40:31 [INFO]    [PING OK] RU | 293ms
2026-02-17 05:40:31 [INFO]    [PING OK] RU | 260ms
2026-02-17 05:40:31 [INFO]    [PING OK] RU | 882ms
2026-02-17 05:40:31 [INFO]    [PING OK] RU | 3065ms
2026-02-17 05:40:31 [INFO]    [PING OK] RU | 2805ms
2026-02-17 05:40:31 [INFO]    [PING OK] RU | 877ms
2026-02-17 05:40:32 [INFO]    [PING OK] RU | 842ms
2026-02-17 05:40:33 [INFO]    [PING OK] GB | 3427ms
2026-02-17 05:40:37 [INFO]    [PING OK] US | 466ms
2026-02-17 05:40:39 [INFO]    [PING OK] NL | 351ms
