2026-02-26 04:40:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-26 04:40:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-26 04:40:07 [INFO] 🔍 Уникальных конфигов собрано: 615
2026-02-26 04:40:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-26 04:40:36 [INFO]    [PING OK] PL | VLESS | 4600ms
2026-02-26 04:40:36 [INFO]    [PING OK] PL | VLESS | 4310ms
2026-02-26 04:40:36 [INFO]    [PING OK] DE | VLESS | 4478ms
2026-02-26 04:40:37 [INFO]    [PING OK] PL | VLESS | 4831ms
2026-02-26 04:40:37 [INFO]    [PING OK] ES | VLESS | 4413ms
2026-02-26 04:40:37 [INFO]    [PING OK] DE | VLESS | 4612ms
2026-02-26 04:40:37 [INFO]    [PING OK] PL | VLESS | 9189ms
2026-02-26 04:40:37 [INFO]    [PING OK] DE | VLESS | 5198ms
2026-02-26 04:40:37 [INFO]    [PING OK] FI | VLESS | 4583ms
2026-02-26 04:40:37 [INFO]    [PING OK] NL | VLESS | 5003ms
2026-02-26 04:40:38 [INFO]    [PING OK] DE | VLESS | 5205ms
2026-02-26 04:40:38 [INFO]    [PING OK] PL | VLESS | 5196ms
2026-02-26 04:40:38 [INFO]    [PING OK] FI | VLESS | 5033ms
2026-02-26 04:40:39 [INFO]    [PING OK] IT | VLESS | 5433ms
2026-02-26 04:40:40 [INFO]    [PING OK] US | VLESS | 5301ms
2026-02-26 04:40:41 [INFO]    [PING OK] NL | VLESS | 5051ms
2026-02-26 04:40:41 [INFO]    [PING OK] PL | VLESS | 5478ms
2026-02-26 04:40:41 [INFO]    [PING OK] TR | VLESS | 5193ms
2026-02-26 04:40:41 [INFO]    [PING OK] NL | VLESS | 4915ms
2026-02-26 04:40:42 [INFO]    [PING OK] NL | VLESS | 5023ms
2026-02-26 04:40:42 [INFO]    [PING OK] FI | VLESS | 4987ms
2026-02-26 04:40:42 [INFO]    [PING OK] NG | VLESS | 5326ms
2026-02-26 04:40:43 [INFO]    [PING OK] FR | VLESS | 4245ms
2026-02-26 04:40:43 [INFO]    [PING OK] FI | VLESS | 4429ms
2026-02-26 04:40:43 [INFO]    [PING OK] PL | VLESS | 4187ms
2026-02-26 04:40:43 [INFO]    [PING OK] PL | VLESS | 5589ms
2026-02-26 04:40:43 [INFO]    [PING OK] NL | VLESS | 4074ms
2026-02-26 04:40:43 [INFO]    [PING OK] NL | VLESS | 4394ms
2026-02-26 04:40:43 [INFO]    [PING OK] NL | VLESS | 4195ms
2026-02-26 04:40:43 [INFO]    [PING OK] TR | VLESS | 4344ms
2026-02-26 04:40:44 [INFO]    [PING OK] PL | VLESS | 4081ms
2026-02-26 04:40:44 [INFO]    [PING OK] DE | VLESS | 4725ms
2026-02-26 04:40:44 [INFO]    [PING OK] JP | VLESS | 4921ms
2026-02-26 04:40:45 [INFO]    [PING OK] PL | VLESS | 4262ms
2026-02-26 04:40:45 [INFO]    [PING OK] NL | VLESS | 4642ms
2026-02-26 04:40:45 [INFO]    [PING OK] US | VLESS | 4694ms
2026-02-26 04:40:45 [INFO]    [PING OK] DE | VLESS | 4885ms
2026-02-26 04:40:46 [INFO]    [PING OK] FI | VLESS | 4128ms
2026-02-26 04:40:46 [INFO]    [PING OK] NL | VLESS | 4346ms
2026-02-26 04:40:47 [INFO]    [PING OK] NL | VLESS | 4735ms
2026-02-26 04:40:47 [INFO]    [PING OK] PL | VLESS | 4341ms
2026-02-26 04:40:47 [INFO]    [PING OK] NL | VLESS | 4794ms
2026-02-26 04:40:47 [INFO]    [PING OK] PL | VLESS | 4222ms
2026-02-26 04:40:47 [INFO]    [PING OK] CA | VLESS | 4547ms
2026-02-26 04:40:47 [INFO]    [PING OK] ES | VLESS | 4525ms
2026-02-26 04:40:47 [INFO]    [PING OK] TR | VLESS | 4799ms
2026-02-26 04:40:48 [INFO]    [PING OK] NL | VLESS | 4757ms
2026-02-26 04:40:48 [INFO]    [PING OK] US | VLESS | 4989ms
2026-02-26 04:40:48 [INFO]    [PING OK] FI | VLESS | 4413ms
2026-02-26 04:40:48 [INFO]    [PING OK] PL | VLESS | 4661ms
2026-02-26 04:40:49 [INFO]    [PING OK] TR | VLESS | 4267ms
2026-02-26 04:40:49 [INFO]    [PING OK] NL | VLESS | 4779ms
2026-02-26 04:40:49 [INFO]    [PING OK] DE | VLESS | 4033ms
2026-02-26 04:40:49 [INFO]    [PING OK] IT | VLESS | 4117ms
2026-02-26 04:40:49 [INFO]    [PING OK] LT | VLESS | 5133ms
2026-02-26 04:40:49 [INFO]    [PING OK] PL | VLESS | 4621ms
2026-02-26 04:40:49 [INFO]    [PING OK] FR | VLESS | 4013ms
2026-02-26 04:40:49 [INFO]    [PING OK] ES | VLESS | 4262ms
2026-02-26 04:40:50 [INFO]    [PING OK] JP | VLESS | 5303ms
2026-02-26 04:40:50 [INFO]    [PING OK] TR | VLESS | 4438ms
2026-02-26 04:40:50 [INFO]    [PING OK] FI | VLESS | 4028ms
2026-02-26 04:40:51 [INFO]    [PING OK] DE | VLESS | 3882ms
2026-02-26 04:40:51 [INFO]    [PING OK] DE | VLESS | 3894ms
2026-02-26 04:40:51 [INFO]    [PING OK] LV | VLESS | 3524ms
2026-02-26 04:40:53 [INFO]    [PING OK] FI | VLESS | 3886ms
2026-02-26 04:40:53 [INFO]    [PING OK] DE | VLESS | 3993ms
2026-02-26 04:40:53 [INFO]    [PING OK] HU | VLESS | 4034ms
2026-02-26 04:40:53 [INFO]    [PING OK] DE | VLESS | 4178ms
2026-02-26 04:40:53 [INFO]    [PING OK] CH | VLESS | 6322ms
2026-02-26 04:40:53 [INFO]    [PING OK] DE | VLESS | 4940ms
2026-02-26 04:40:54 [INFO]    [PING OK] FI | VLESS | 4209ms
2026-02-26 04:40:54 [INFO]    [PING OK] NL | VLESS | 4280ms
2026-02-26 04:40:54 [INFO]    [PING OK] ES | VLESS | 4277ms
2026-02-26 04:40:55 [INFO]    [PING OK] NL | VLESS | 4030ms
2026-02-26 04:40:55 [INFO]    [PING OK] PL | VLESS | 4140ms
2026-02-26 04:40:55 [INFO]    [PING OK] DE | VLESS | 4441ms
2026-02-26 04:40:55 [INFO]    [PING OK] US | VLESS | 4547ms
2026-02-26 04:40:56 [INFO]    [PING OK] IT | VLESS | 4087ms
2026-02-26 04:40:56 [INFO]    [PING OK] NL | VLESS | 4138ms
2026-02-26 04:40:56 [INFO]    [PING OK] IT | VLESS | 4056ms
2026-02-26 04:40:57 [INFO]    [PING OK] KZ | VLESS | 6023ms
2026-02-26 04:40:57 [INFO]    [PING OK] FI | VLESS | 6480ms
2026-02-26 04:40:57 [INFO]    [PING OK] PL | VLESS | 6734ms
2026-02-26 04:40:58 [INFO]    [PING OK] DE | VLESS | 3676ms
2026-02-26 04:40:58 [INFO]    [PING OK] DE | VLESS | 6200ms
2026-02-26 04:40:58 [INFO]    [PING OK] JP | VLESS | 4139ms
2026-02-26 04:40:58 [INFO]    [PING OK] FI | VLESS | 3787ms
2026-02-26 04:40:59 [INFO]    [PING OK] FI | VLESS | 4156ms
2026-02-26 04:40:59 [INFO]    [PING OK] US | VLESS | 4273ms
2026-02-26 04:40:59 [INFO]    [PING OK] PL | VLESS | 4184ms
2026-02-26 04:40:59 [INFO]    [PING OK] AE | VLESS | 4084ms
2026-02-26 04:41:00 [INFO]    [PING OK] PL | VLESS | 6770ms
2026-02-26 04:41:00 [INFO]    [PING OK] NO | VLESS | 4157ms
2026-02-26 04:41:00 [INFO]    [PING OK] FI | VLESS | 4159ms
2026-02-26 04:41:00 [INFO]    [PING OK] DE | VLESS | 4242ms
2026-02-26 04:41:00 [INFO]    [PING OK] US | VLESS | 4830ms
2026-02-26 04:41:00 [INFO]    [PING OK] NL | VLESS | 4424ms
2026-02-26 04:41:01 [INFO]    [PING OK] NL | VLESS | 4098ms
2026-02-26 04:41:01 [INFO]    [PING OK] IT | VLESS | 4206ms
2026-02-26 04:41:01 [INFO]    [PING OK] ES | VLESS | 4126ms
2026-02-26 04:41:02 [INFO]    [PING OK] ES | VLESS | 4276ms
2026-02-26 04:41:02 [INFO]    [PING OK] TR | VLESS | 4234ms
2026-02-26 04:41:02 [INFO]    [PING OK] FR | VLESS | 4101ms
2026-02-26 04:41:02 [INFO]    [PING OK] EE | VLESS | 4409ms
2026-02-26 04:41:02 [INFO]    [PING OK] ES | VLESS | 4547ms
2026-02-26 04:41:03 [INFO]    [PING OK] EE | VLESS | 4162ms
2026-02-26 04:41:03 [INFO]    [PING OK] NL | VLESS | 4278ms
2026-02-26 04:41:03 [INFO]    [PING OK] NL | VLESS | 4292ms
2026-02-26 04:41:03 [INFO]    [PING OK] IT | VLESS | 4437ms
2026-02-26 04:41:04 [INFO]    [PING OK] NL | VLESS | 4378ms
2026-02-26 04:41:04 [INFO]    [PING OK] PL | VLESS | 5456ms
2026-02-26 04:41:04 [INFO]    [PING OK] DE | VLESS | 4463ms
2026-02-26 04:41:04 [INFO]    [PING OK] NL | VLESS | 4112ms
2026-02-26 04:41:05 [INFO]    [PING OK] US | VLESS | 4673ms
2026-02-26 04:41:05 [INFO]    [PING OK] NL | VLESS | 4631ms
2026-02-26 04:41:06 [INFO]    [PING OK] HK | VLESS | 5028ms
2026-02-26 04:41:06 [INFO]    [PING OK] PL | VLESS | 4952ms
2026-02-26 04:41:06 [INFO]    [PING OK] DE | VLESS | 4634ms
2026-02-26 04:41:06 [INFO]    [PING OK] US | VLESS | 4430ms
2026-02-26 04:41:06 [INFO]    [PING OK] PL | VLESS | 4145ms
2026-02-26 04:41:07 [INFO]    [PING OK] DE | VLESS | 4474ms
2026-02-26 04:41:07 [INFO]    [PING OK] FI | VLESS | 4635ms
2026-02-26 04:41:07 [INFO]    [PING OK] NL | VLESS | 4713ms
2026-02-26 04:41:07 [INFO]    [PING OK] NL | VLESS | 4329ms
2026-02-26 04:41:07 [INFO]    [PING OK] PL | VLESS | 4111ms
2026-02-26 04:41:07 [INFO]    [PING OK] LV | VLESS | 4772ms
2026-02-26 04:41:07 [INFO]    [PING OK] KZ | VLESS | 4626ms
2026-02-26 04:41:08 [INFO]    [PING OK] NL | VLESS | 4520ms
2026-02-26 04:41:08 [INFO]    [PING OK] US | VLESS | 4147ms
2026-02-26 04:41:08 [INFO]    [PING OK] DE | VLESS | 4132ms
2026-02-26 04:41:09 [INFO]    [PING OK] PL | VLESS | 4877ms
2026-02-26 04:41:09 [INFO]    [PING OK] US | VLESS | 5179ms
2026-02-26 04:41:09 [INFO]    [PING OK] DE | VLESS | 5508ms
2026-02-26 04:41:10 [INFO]    [PING OK] SE | VLESS | 5716ms
2026-02-26 04:41:10 [INFO]    [PING OK] FI | VLESS | 5351ms
2026-02-26 04:41:10 [INFO]    [PING OK] NL | VLESS | 5229ms
2026-02-26 04:41:10 [INFO]    [PING OK] FI | VLESS | 4684ms
2026-02-26 04:41:11 [INFO]    [PING OK] KZ | VLESS | 4614ms
2026-02-26 04:41:11 [INFO]    [PING OK] FI | VLESS | 4338ms
2026-02-26 04:41:11 [INFO]    [PING OK] LV | VLESS | 4578ms
2026-02-26 04:41:11 [INFO]    [PING OK] SE | VLESS | 4884ms
2026-02-26 04:41:11 [INFO]    [PING OK] EE | VLESS | 4888ms
2026-02-26 04:41:12 [INFO]    [PING OK] US | VLESS | 5690ms
2026-02-26 04:41:14 [INFO]    [PING OK] NL | VLESS | 5312ms
2026-02-26 04:41:14 [INFO]    [PING OK] LV | VLESS | 4535ms
2026-02-26 04:41:15 [INFO]    [PING OK] NL | VLESS | 4889ms
