2026-02-23 19:50:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-23 19:50:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-23 19:50:08 [INFO] 🔍 Уникальных конфигов собрано: 230
2026-02-23 19:50:08 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-23 19:50:45 [INFO]    🏆 IT | VLESS | Пинг: 4195ms | Скорость: 5.96 Mbps ⚡⚡
2026-02-23 19:50:45 [INFO]    🏆 TR | VLESS | Пинг: 4502ms | Скорость: 5.85 Mbps ⚡⚡
2026-02-23 19:50:45 [INFO]    🏆 PL | VLESS | Пинг: 4653ms | Скорость: 7.17 Mbps ⚡⚡
2026-02-23 19:50:45 [INFO]    🏆 CA | VLESS | Пинг: 4532ms | Скорость: 5.73 Mbps ⚡⚡
2026-02-23 19:50:46 [INFO]    🏆 TR | VLESS | Пинг: 4682ms | Скорость: 4.52 Mbps ⚡⚡
2026-02-23 19:50:46 [INFO]    🏆 PL | VLESS | Пинг: 4726ms | Скорость: 7.76 Mbps ⚡⚡
2026-02-23 19:50:46 [INFO]    🏆 ES | VLESS | Пинг: 4770ms | Скорость: 7.97 Mbps ⚡⚡
2026-02-23 19:50:47 [INFO]    🏆 ES | VLESS | Пинг: 4749ms | Скорость: 7.35 Mbps ⚡⚡
2026-02-23 19:50:47 [INFO]    🏆 TR | VLESS | Пинг: 4810ms | Скорость: 12.0 Mbps ⚡⚡
2026-02-23 19:50:47 [INFO]    🏆 NL | VLESS | Пинг: 4787ms | Скорость: 11.41 Mbps ⚡⚡
2026-02-23 19:50:47 [INFO]    🏆 HU | VLESS | Пинг: 4692ms | Скорость: 5.1 Mbps ⚡⚡
2026-02-23 19:50:48 [INFO]    🏆 CA | VLESS | Пинг: 4973ms | Скорость: 9.57 Mbps ⚡⚡
2026-02-23 19:50:48 [INFO]    🏆 PL | VLESS | Пинг: 5005ms | Скорость: 9.06 Mbps ⚡⚡
2026-02-23 19:50:48 [INFO]    🏆 TR | VLESS | Пинг: 4954ms | Скорость: 7.57 Mbps ⚡⚡
2026-02-23 19:50:49 [INFO]    🏆 SE | VLESS | Пинг: 4716ms | Скорость: 0.8 Mbps 
2026-02-23 19:50:50 [INFO]    🏆 PL | VLESS | Пинг: 4945ms | Скорость: 4.38 Mbps ⚡⚡
2026-02-23 19:50:51 [INFO]    🏆 CA | VLESS | Пинг: 4918ms | Скорость: 0.97 Mbps 
2026-02-23 19:50:52 [INFO]    🏆 CA | VLESS | Пинг: 5020ms | Скорость: 4.54 Mbps ⚡⚡
2026-02-23 19:50:52 [INFO] 📊 Итого в подписке сохранено иностранных серверов: 10
2026-02-23 19:50:52 [INFO] 💾 Файл успешно сохранен: FL1PVPN
