2026-02-22 10:30:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-22 10:30:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-22 10:30:08 [INFO] 🔍 Уникальных конфигов собрано: 258
2026-02-22 10:30:08 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-22 10:30:14 [INFO]    [PING OK] PL | VLESS | 3528ms
2026-02-22 10:30:15 [INFO]    [PING OK] ES | VLESS | 2625ms
2026-02-22 10:30:15 [INFO]    [PING OK] PL | VLESS | 3731ms
2026-02-22 10:30:15 [INFO]    [PING OK] CA | VLESS | 3603ms
2026-02-22 10:30:15 [INFO]    [PING OK] DE | VLESS | 5337ms
2026-02-22 10:30:16 [INFO]    [PING OK] DE | VLESS | 6765ms
2026-02-22 10:30:16 [INFO]    [PING OK] IT | VLESS | 1765ms
2026-02-22 10:30:16 [INFO]    [PING OK] DE | VLESS | 6963ms
2026-02-22 10:30:16 [INFO]    [PING OK] PL | VLESS | 1832ms
2026-02-22 10:30:16 [INFO]    [PING OK] TR | VLESS | 1967ms
2026-02-22 10:30:16 [INFO]    [PING OK] PL | VLESS | 1944ms
2026-02-22 10:30:17 [INFO]    [PING OK] DE | VLESS | 7609ms
2026-02-22 10:30:17 [INFO]    [PING OK] DE | VLESS | 7526ms
2026-02-22 10:30:17 [INFO]    [PING OK] DE | VLESS | 8225ms
2026-02-22 10:30:17 [INFO]    [PING OK] DE | VLESS | 8487ms
2026-02-22 10:30:19 [INFO]    [PING OK] DE | VLESS | 8379ms
2026-02-22 10:30:19 [INFO]    [PING OK] IT | VLESS | 4134ms
2026-02-22 10:30:19 [INFO]    [PING OK] ES | VLESS | 3281ms
2026-02-22 10:30:19 [INFO]    [PING OK] PL | VLESS | 3427ms
2026-02-22 10:30:19 [INFO]    [PING OK] HU | VLESS | 3486ms
2026-02-22 10:30:19 [INFO]    [PING OK] US | VLESS | 3900ms
2026-02-22 10:30:20 [INFO]    [PING OK] TR | VLESS | 3778ms
2026-02-22 10:30:20 [INFO]    [PING OK] DE | VLESS | 3934ms
2026-02-22 10:30:20 [INFO]    [PING OK] PL | VLESS | 3843ms
2026-02-22 10:30:21 [INFO]    [PING OK] PL | VLESS | 3632ms
2026-02-22 10:30:21 [INFO]    [PING OK] HU | VLESS | 3720ms
2026-02-22 10:30:21 [INFO]    [PING OK] DE | VLESS | 5726ms
2026-02-22 10:30:21 [INFO]    [PING OK] HU | VLESS | 3801ms
2026-02-22 10:30:21 [INFO]    [PING OK] NL | VLESS | 3665ms
2026-02-22 10:30:22 [INFO]    [PING OK] CA | VLESS | 4164ms
2026-02-22 10:30:23 [INFO]    [PING OK] HU | VLESS | 4324ms
2026-02-22 10:30:23 [INFO]    [PING OK] NL | VLESS | 4104ms
2026-02-22 10:30:23 [INFO]    [PING OK] ES | VLESS | 4425ms
2026-02-22 10:30:23 [INFO]    [PING OK] DE | VLESS | 6477ms
2026-02-22 10:30:23 [INFO]    [PING OK] PL | VLESS | 4713ms
2026-02-22 10:30:23 [INFO]    [PING OK] PL | VLESS | 4765ms
2026-02-22 10:30:23 [INFO]    [PING OK] HU | VLESS | 4569ms
2026-02-22 10:30:23 [INFO]    [PING OK] NL | VLESS | 4672ms
2026-02-22 10:30:24 [INFO]    [PING OK] PL | VLESS | 4961ms
2026-02-22 10:30:24 [INFO]    [PING OK] PL | VLESS | 6939ms
2026-02-22 10:30:24 [INFO]    [PING OK] HU | VLESS | 4500ms
2026-02-22 10:30:24 [INFO]    [PING OK] HU | VLESS | 4390ms
2026-02-22 10:30:24 [INFO]    [PING OK] NL | VLESS | 4762ms
2026-02-22 10:30:24 [INFO]    [PING OK] HU | VLESS | 4260ms
2026-02-22 10:30:24 [INFO]    [PING OK] EE | VLESS | 4356ms
2026-02-22 10:30:24 [INFO]    [PING OK] PL | VLESS | 6957ms
2026-02-22 10:30:25 [INFO]    [PING OK] CA | VLESS | 6979ms
2026-02-22 10:30:26 [INFO]    [PING OK] NL | VLESS | 5064ms
2026-02-22 10:30:27 [INFO]    [PING OK] CA | VLESS | 5292ms
2026-02-22 10:30:27 [INFO]    [PING OK] CA | VLESS | 5429ms
2026-02-22 10:30:27 [INFO]    [PING OK] TR | VLESS | 6954ms
2026-02-22 10:30:30 [INFO]    [PING OK] CA | VLESS | 6026ms
2026-02-22 10:30:30 [INFO]    [PING OK] US | VLESS | 5765ms
2026-02-22 10:30:30 [INFO]    [PING OK] CA | VLESS | 5796ms
2026-02-22 10:30:30 [INFO]    [PING OK] CA | VLESS | 6372ms
2026-02-22 10:30:31 [INFO]    [PING OK] JP | VLESS | 5754ms
2026-02-22 10:30:32 [INFO]    [PING OK] CA | VLESS | 4773ms
2026-02-22 10:30:32 [INFO]    [PING OK] CA | VLESS | 5177ms
2026-02-22 10:30:32 [INFO]    [PING OK] CA | VLESS | 4953ms
2026-02-22 10:30:32 [INFO]    [PING OK] CA | VLESS | 5267ms
2026-02-22 10:30:32 [INFO]    [PING OK] CA | VLESS | 5178ms
2026-02-22 10:30:33 [INFO]    [PING OK] DE | VLESS | 4278ms
2026-02-22 10:30:33 [INFO]    [PING OK] CA | VLESS | 4526ms
2026-02-22 10:30:33 [INFO]    [PING OK] CA | VLESS | 4612ms
2026-02-22 10:30:33 [INFO]    [PING OK] SE | VLESS | 1859ms
2026-02-22 10:30:33 [INFO]    [PING OK] FI | VLESS | 2428ms
2026-02-22 10:30:33 [INFO]    [PING OK] CA | VLESS | 3903ms
2026-02-22 10:30:33 [INFO]    [PING OK] CA | VLESS | 3378ms
2026-02-22 10:30:33 [INFO]    [PING OK] CA | VLESS | 3098ms
2026-02-22 10:30:34 [INFO]    [PING OK] CA | VLESS | 2368ms
2026-02-22 10:30:34 [INFO]    [PING OK] CA | VLESS | 2542ms
2026-02-22 10:30:34 [INFO]    [PING OK] CA | VLESS | 2610ms
2026-02-22 10:30:38 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для 40 иностранных кандидатов...
2026-02-22 10:30:42 [INFO]    🏆 IT | VLESS | Пинг: 1765ms | Скорость: 6.92 Mbps ⚡⚡
2026-02-22 10:30:42 [INFO]    🏆 SE | VLESS | Пинг: 1859ms | Скорость: 6.37 Mbps ⚡⚡
2026-02-22 10:30:42 [INFO]    🏆 PL | VLESS | Пинг: 1944ms | Скорость: 5.89 Mbps ⚡⚡
2026-02-22 10:30:42 [INFO]    🏆 HU | VLESS | Пинг: 3486ms | Скорость: 5.98 Mbps ⚡⚡
2026-02-22 10:30:42 [INFO]    🏆 ES | VLESS | Пинг: 2625ms | Скорость: 5.82 Mbps ⚡⚡
2026-02-22 10:30:42 [INFO]    🏆 ES | VLESS | Пинг: 3281ms | Скорость: 5.83 Mbps ⚡⚡
2026-02-22 10:30:42 [INFO]    🏆 PL | VLESS | Пинг: 1832ms | Скорость: 5.48 Mbps ⚡⚡
2026-02-22 10:30:44 [INFO]    🏆 FI | VLESS | Пинг: 2428ms | Скорость: 3.92 Mbps ⚡⚡
2026-02-22 10:30:44 [INFO]    🏆 PL | VLESS | Пинг: 3528ms | Скорость: 10.52 Mbps ⚡⚡
2026-02-22 10:30:44 [INFO]    🏆 TR | VLESS | Пинг: 1967ms | Скорость: 3.53 Mbps ⚡⚡
2026-02-22 10:30:45 [INFO]    🏆 PL | VLESS | Пинг: 3427ms | Скорость: 0.71 Mbps 
2026-02-22 10:30:45 [INFO]    🏆 PL | VLESS | Пинг: 3632ms | Скорость: 8.01 Mbps ⚡⚡
2026-02-22 10:30:46 [INFO]    🏆 NL | VLESS | Пинг: 3665ms | Скорость: 7.27 Mbps ⚡⚡
2026-02-22 10:30:46 [INFO]    🏆 HU | VLESS | Пинг: 3720ms | Скорость: 7.2 Mbps ⚡⚡
2026-02-22 10:30:46 [INFO]    🏆 TR | VLESS | Пинг: 3778ms | Скорость: 6.18 Mbps ⚡⚡
2026-02-22 10:30:46 [INFO]    🏆 PL | VLESS | Пинг: 3843ms | Скорость: 6.7 Mbps ⚡⚡
2026-02-22 10:30:47 [INFO]    🏆 DE | VLESS | Пинг: 3934ms | Скорость: 6.62 Mbps ⚡⚡
2026-02-22 10:30:47 [INFO]    🏆 NL | VLESS | Пинг: 4104ms | Скорость: 8.77 Mbps ⚡⚡
2026-02-22 10:30:48 [INFO]    🏆 HU | VLESS | Пинг: 4260ms | Скорость: 8.46 Mbps ⚡⚡
2026-02-22 10:30:48 [INFO]    🏆 DE | VLESS | Пинг: 4278ms | Скорость: 8.37 Mbps ⚡⚡
2026-02-22 10:30:48 [INFO]    🏆 HU | VLESS | Пинг: 4324ms | Скорость: 9.41 Mbps ⚡⚡
2026-02-22 10:30:48 [INFO]    🏆 HU | VLESS | Пинг: 4390ms | Скорость: 10.91 Mbps ⚡⚡
2026-02-22 10:30:49 [INFO]    🏆 HU | VLESS | Пинг: 4500ms | Скорость: 9.91 Mbps ⚡⚡
2026-02-22 10:30:49 [INFO]    🏆 HU | VLESS | Пинг: 3801ms | Скорость: 2.42 Mbps ⚡
2026-02-22 10:30:51 [INFO]    🏆 HU | VLESS | Пинг: 4569ms | Скорость: 5.42 Mbps ⚡⚡
2026-02-22 10:30:53 [INFO]    🏆 ES | VLESS | Пинг: 4425ms | Скорость: 3.63 Mbps ⚡⚡
2026-02-22 10:30:54 [INFO] 📊 Итого в подписке сохранено иностранных серверов: 10
2026-02-22 10:30:54 [INFO] 💾 Файл успешно сохранен: FL1PVPN
