2026-02-22 04:00:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-22 04:00:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-22 04:00:08 [INFO] 🔍 Уникальных конфигов собрано: 255
2026-02-22 04:00:08 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-22 04:00:47 [INFO]    🏆 PL | VLESS | Пинг: 4540ms | Скорость: 11.11 Mbps ⚡⚡
2026-02-22 04:00:49 [INFO]    🏆 HU | VLESS | Пинг: 4814ms | Скорость: 6.01 Mbps ⚡⚡
2026-02-22 04:00:49 [INFO]    🏆 NL | VLESS | Пинг: 4653ms | Скорость: 6.05 Mbps ⚡⚡
2026-02-22 04:00:49 [INFO]    🏆 DE | VLESS | Пинг: 4572ms | Скорость: 5.98 Mbps ⚡⚡
2026-02-22 04:00:49 [INFO]    🏆 PL | VLESS | Пинг: 4961ms | Скорость: 6.43 Mbps ⚡⚡
2026-02-22 04:00:49 [INFO]    🏆 DE | VLESS | Пинг: 4905ms | Скорость: 6.09 Mbps ⚡⚡
2026-02-22 04:00:49 [INFO]    🏆 TR | VLESS | Пинг: 4701ms | Скорость: 5.71 Mbps ⚡⚡
2026-02-22 04:00:49 [INFO]    🏆 US | VLESS | Пинг: 4893ms | Скорость: 5.52 Mbps ⚡⚡
2026-02-22 04:00:49 [INFO]    🏆 US | VLESS | Пинг: 4936ms | Скорость: 5.59 Mbps ⚡⚡
2026-02-22 04:00:49 [INFO]    🏆 CZ | VLESS | Пинг: 5028ms | Скорость: 5.38 Mbps ⚡⚡
2026-02-22 04:00:50 [INFO]    🏆 CA | VLESS | Пинг: 4739ms | Скорость: 4.04 Mbps ⚡⚡
2026-02-22 04:00:50 [INFO]    🏆 ES | VLESS | Пинг: 5162ms | Скорость: 6.93 Mbps ⚡⚡
2026-02-22 04:00:51 [INFO]    🏆 IT | VLESS | Пинг: 5291ms | Скорость: 9.38 Mbps ⚡⚡
2026-02-22 04:00:51 [INFO]    🏆 PL | VLESS | Пинг: 5416ms | Скорость: 9.43 Mbps ⚡⚡
2026-02-22 04:00:51 [INFO]    🏆 DE | VLESS | Пинг: 5568ms | Скорость: 10.85 Mbps ⚡⚡
2026-02-22 04:00:51 [INFO]    🏆 HU | VLESS | Пинг: 5575ms | Скорость: 10.94 Mbps ⚡⚡
2026-02-22 04:00:51 [INFO]    🏆 ES | VLESS | Пинг: 5432ms | Скорость: 9.54 Mbps ⚡⚡
2026-02-22 04:00:52 [INFO]    🏆 DE | VLESS | Пинг: 5518ms | Скорость: 7.42 Mbps ⚡⚡
2026-02-22 04:00:55 [INFO]    🏆 DE | VLESS | Пинг: 5419ms | Скорость: 2.29 Mbps ⚡
2026-02-22 04:00:55 [INFO] 📊 Итого в подписке сохранено иностранных серверов: 10
2026-02-22 04:00:55 [INFO] 💾 Файл успешно сохранен: FL1PVPN
