2026-02-22 16:40:06 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-22 16:40:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-22 16:40:08 [INFO] 🔍 Уникальных конфигов собрано: 244
2026-02-22 16:40:08 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-22 16:40:42 [INFO]    🏆 ES | VLESS | Пинг: 3249ms | Скорость: 6.09 Mbps ⚡⚡
2026-02-22 16:40:44 [INFO]    🏆 JP | VLESS | Пинг: 1013ms | Скорость: 3.77 Mbps ⚡⚡
2026-02-22 16:40:44 [INFO]    🏆 ES | VLESS | Пинг: 3356ms | Скорость: 11.25 Mbps ⚡⚡
2026-02-22 16:40:45 [INFO]    🏆 ES | VLESS | Пинг: 3032ms | Скорость: 2.72 Mbps ⚡
2026-02-22 16:40:45 [INFO]    🏆 DE | VLESS | Пинг: 3467ms | Скорость: 7.7 Mbps ⚡⚡
2026-02-22 16:40:45 [INFO]    🏆 NL | VLESS | Пинг: 3487ms | Скорость: 7.88 Mbps ⚡⚡
2026-02-22 16:40:45 [INFO]    🏆 HU | VLESS | Пинг: 3521ms | Скорость: 7.73 Mbps ⚡⚡
2026-02-22 16:40:45 [INFO]    🏆 DE | VLESS | Пинг: 3666ms | Скорость: 7.97 Mbps ⚡⚡
2026-02-22 16:40:46 [INFO]    🏆 PL | VLESS | Пинг: 3479ms | Скорость: 7.2 Mbps ⚡⚡
2026-02-22 16:40:46 [INFO]    🏆 ES | VLESS | Пинг: 3426ms | Скорость: 6.83 Mbps ⚡⚡
2026-02-22 16:40:46 [INFO]    🏆 ES | VLESS | Пинг: 3339ms | Скорость: 4.68 Mbps ⚡⚡
2026-02-22 16:40:47 [INFO]    🏆 PL | VLESS | Пинг: 3670ms | Скорость: 7.61 Mbps ⚡⚡
2026-02-22 16:40:48 [INFO]    🏆 TR | VLESS | Пинг: 3802ms | Скорость: 7.55 Mbps ⚡⚡
2026-02-22 16:40:48 [INFO]    🏆 NL | VLESS | Пинг: 3854ms | Скорость: 10.01 Mbps ⚡⚡
2026-02-22 16:40:48 [INFO]    🏆 DE | VLESS | Пинг: 3897ms | Скорость: 10.25 Mbps ⚡⚡
2026-02-22 16:40:48 [INFO]    🏆 HU | VLESS | Пинг: 3885ms | Скорость: 9.62 Mbps ⚡⚡
2026-02-22 16:40:48 [INFO]    🏆 TR | VLESS | Пинг: 4120ms | Скорость: 8.95 Mbps ⚡⚡
2026-02-22 16:40:49 [INFO]    🏆 HU | VLESS | Пинг: 4001ms | Скорость: 8.03 Mbps ⚡⚡
2026-02-22 16:40:49 [INFO]    🏆 HU | VLESS | Пинг: 4496ms | Скорость: 8.33 Mbps ⚡⚡
2026-02-22 16:40:49 [INFO]    🏆 HU | VLESS | Пинг: 3421ms | Скорость: 1.55 Mbps ⚡
2026-02-22 16:40:49 [INFO]    🏆 ES | VLESS | Пинг: 4154ms | Скорость: 6.98 Mbps ⚡⚡
2026-02-22 16:40:49 [INFO]    🏆 HU | VLESS | Пинг: 4811ms | Скорость: 18.89 Mbps ⚡⚡
2026-02-22 16:40:50 [INFO]    🏆 DE | VLESS | Пинг: 4520ms | Скорость: 5.45 Mbps ⚡⚡
2026-02-22 16:40:51 [INFO]    🏆 HU | VLESS | Пинг: 4687ms | Скорость: 4.43 Mbps ⚡⚡
2026-02-22 16:40:53 [INFO] 📊 Итого в подписке сохранено иностранных серверов: 10
2026-02-22 16:40:53 [INFO] 💾 Файл успешно сохранен: FL1PVPN
