2026-02-24 23:00:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-24 23:00:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-24 23:00:06 [INFO] 🔍 Уникальных конфигов собрано: 188
2026-02-24 23:00:06 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-24 23:00:12 [INFO]    [PING OK] IT | VLESS | 4878ms
2026-02-24 23:00:13 [INFO]    [PING OK] ES | VLESS | 4679ms
2026-02-24 23:00:13 [INFO]    [PING OK] TR | VLESS | 5285ms
2026-02-24 23:00:13 [INFO]    [PING OK] ES | VLESS | 4861ms
2026-02-24 23:00:13 [INFO]    [PING OK] HU | VLESS | 4199ms
2026-02-24 23:00:13 [INFO]    [PING OK] DE | VLESS | 3850ms
2026-02-24 23:00:13 [INFO]    [PING OK] PL | VLESS | 3433ms
2026-02-24 23:00:14 [INFO]    [PING OK] ES | VLESS | 3457ms
2026-02-24 23:00:15 [INFO]    [PING OK] NL | VLESS | 3553ms
2026-02-24 23:00:16 [INFO]    [PING OK] CA | VLESS | 6607ms
2026-02-24 23:00:16 [INFO]    [PING OK] DE | VLESS | 8609ms
2026-02-24 23:00:17 [INFO]    [PING OK] HU | VLESS | 3646ms
2026-02-24 23:00:17 [INFO]    [PING OK] ES | VLESS | 3545ms
2026-02-24 23:00:17 [INFO]    [PING OK] DE | VLESS | 3256ms
2026-02-24 23:00:17 [INFO]    [PING OK] HU | VLESS | 3536ms
2026-02-24 23:00:17 [INFO]    [PING OK] IT | VLESS | 3349ms
2026-02-24 23:00:17 [INFO]    [PING OK] PL | VLESS | 3694ms
2026-02-24 23:00:17 [INFO]    [PING OK] US | VLESS | 3524ms
2026-02-24 23:00:17 [INFO]    [PING OK] TR | VLESS | 3400ms
2026-02-24 23:00:17 [INFO]    [PING OK] HU | VLESS | 3194ms
2026-02-24 23:00:17 [INFO]    [PING OK] PL | VLESS | 3414ms
2026-02-24 23:00:17 [INFO]    [PING OK] PL | VLESS | 3556ms
2026-02-24 23:00:17 [INFO]    [PING OK] ES | VLESS | 3029ms
2026-02-24 23:00:17 [INFO]    [PING OK] FI | VLESS | 2919ms
2026-02-24 23:00:17 [INFO]    [PING OK] FI | VLESS | 3090ms
2026-02-24 23:00:17 [INFO]    [PING OK] ES | VLESS | 3354ms
2026-02-24 23:00:17 [INFO]    [PING OK] ES | VLESS | 3245ms
2026-02-24 23:00:18 [INFO]    [PING OK] HU | VLESS | 3381ms
2026-02-24 23:00:20 [INFO]    [PING OK] DE | VLESS | 6491ms
2026-02-24 23:00:20 [INFO]    [PING OK] US | VLESS | 6475ms
2026-02-24 23:00:20 [INFO]    [PING OK] NL | VLESS | 4216ms
2026-02-24 23:00:21 [INFO]    [PING OK] FI | VLESS | 5005ms
2026-02-24 23:00:23 [INFO]    [PING OK] US | VLESS | 4928ms
2026-02-24 23:00:23 [INFO]    [PING OK] NL | VLESS | 4909ms
2026-02-24 23:00:24 [INFO]    [PING OK] CA | VLESS | 6226ms
2026-02-24 23:00:24 [INFO]    [PING OK] CA | VLESS | 6486ms
2026-02-24 23:00:24 [INFO]    [PING OK] TR | VLESS | 4726ms
2026-02-24 23:00:24 [INFO]    [PING OK] DE | VLESS | 4224ms
2026-02-24 23:00:25 [INFO]    [PING OK] CA | VLESS | 5839ms
2026-02-24 23:00:25 [INFO]    [PING OK] US | VLESS | 1479ms
2026-02-24 23:00:26 [INFO]    [PING OK] CA | VLESS | 6369ms
2026-02-24 23:00:26 [INFO]    [PING OK] TW | VLESS | 3140ms
2026-02-24 23:00:26 [INFO]    [PING OK] NL | VLESS | 3517ms
2026-02-24 23:00:28 [INFO]    [PING OK] CA | VLESS | 7295ms
2026-02-24 23:00:29 [INFO]    [PING OK] CA | VLESS | 5889ms
2026-02-24 23:00:30 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для 40 иностранных кандидатов...
2026-02-24 23:00:34 [INFO]    🏆 FI | VLESS | Пинг: 3090ms | Скорость: 5.45 Mbps ⚡⚡
2026-02-24 23:00:34 [INFO]    🏆 ES | VLESS | Пинг: 3029ms | Скорость: 5.46 Mbps ⚡⚡
2026-02-24 23:00:34 [INFO]    🏆 HU | VLESS | Пинг: 3194ms | Скорость: 5.47 Mbps ⚡⚡
2026-02-24 23:00:34 [INFO]    🏆 PL | VLESS | Пинг: 3414ms | Скорость: 5.59 Mbps ⚡⚡
2026-02-24 23:00:34 [INFO]    🏆 IT | VLESS | Пинг: 3349ms | Скорость: 5.44 Mbps ⚡⚡
2026-02-24 23:00:34 [INFO]    🏆 PL | VLESS | Пинг: 3433ms | Скорость: 5.58 Mbps ⚡⚡
2026-02-24 23:00:34 [INFO]    🏆 HU | VLESS | Пинг: 3381ms | Скорость: 5.34 Mbps ⚡⚡
2026-02-24 23:00:34 [INFO]    🏆 TR | VLESS | Пинг: 3400ms | Скорость: 5.43 Mbps ⚡⚡
2026-02-24 23:00:34 [INFO]    🏆 FI | VLESS | Пинг: 2919ms | Скорость: 5.09 Mbps ⚡⚡
2026-02-24 23:00:34 [INFO]    🏆 ES | VLESS | Пинг: 3354ms | Скорость: 5.3 Mbps ⚡⚡
