2026-02-27 15:00:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-27 15:00:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-27 15:00:07 [INFO] 🔍 Уникальных конфигов собрано: 457
2026-02-27 15:00:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-27 15:00:39 [INFO]    [PING OK] GB | VLESS | 4324ms
2026-02-27 15:00:39 [INFO]    [PING OK] PL | VLESS | 7823ms
2026-02-27 15:00:39 [INFO]    [PING OK] DE | VLESS | 4217ms
2026-02-27 15:00:40 [INFO]    [PING OK] EE | VLESS | 4862ms
2026-02-27 15:00:40 [INFO]    [PING OK] FI | VLESS | 4622ms
2026-02-27 15:00:40 [INFO]    [PING OK] FI | VLESS | 4674ms
2026-02-27 15:00:40 [INFO]    [PING OK] SE | VLESS | 4094ms
2026-02-27 15:00:40 [INFO]    [PING OK] TR | VLESS | 4276ms
2026-02-27 15:00:40 [INFO]    [PING OK] DE | VLESS | 8589ms
2026-02-27 15:00:40 [INFO]    [PING OK] HU | VLESS | 4104ms
2026-02-27 15:00:41 [INFO]    [PING OK] FR | VLESS | 4370ms
2026-02-27 15:00:41 [INFO]    [PING OK] EE | VLESS | 3809ms
2026-02-27 15:00:41 [INFO]    [PING OK] JP | VLESS | 3927ms
2026-02-27 15:00:42 [INFO]    [PING OK] PL | VLESS | 4033ms
2026-02-27 15:00:42 [INFO]    [PING OK] US | VLESS | 4255ms
2026-02-27 15:00:42 [INFO]    [PING OK] PL | VLESS | 4961ms
2026-02-27 15:00:42 [INFO]    [PING OK] PL | VLESS | 4188ms
2026-02-27 15:00:43 [INFO]    [PING OK] NL | VLESS | 4048ms
2026-02-27 15:00:43 [INFO]    [PING OK] KZ | VLESS | 4084ms
2026-02-27 15:00:44 [INFO]    [PING OK] US | VLESS | 4482ms
2026-02-27 15:00:44 [INFO]    [PING OK] FI | VLESS | 4369ms
2026-02-27 15:00:44 [INFO]    [PING OK] LT | VLESS | 5433ms
2026-02-27 15:00:44 [INFO]    [PING OK] DE | VLESS | 4042ms
2026-02-27 15:00:45 [INFO]    [PING OK] PL | VLESS | 4324ms
2026-02-27 15:00:45 [INFO]    [PING OK] NL | VLESS | 7545ms
2026-02-27 15:00:45 [INFO]    [PING OK] LV | VLESS | 4002ms
2026-02-27 15:00:45 [INFO]    [PING OK] NL | VLESS | 4234ms
2026-02-27 15:00:45 [INFO]    [PING OK] PL | VLESS | 4160ms
2026-02-27 15:00:46 [INFO]    [PING OK] NL | VLESS | 4098ms
2026-02-27 15:00:46 [INFO]    [PING OK] NL | VLESS | 6491ms
2026-02-27 15:00:46 [INFO]    [PING OK] DE | VLESS | 4846ms
2026-02-27 15:00:46 [INFO]    [PING OK] LV | VLESS | 3637ms
2026-02-27 15:00:46 [INFO]    [PING OK] NL | VLESS | 3546ms
2026-02-27 15:00:46 [INFO]    [PING OK] NL | VLESS | 3675ms
2026-02-27 15:00:47 [INFO]    [PING OK] DE | VLESS | 3921ms
2026-02-27 15:00:47 [INFO]    [PING OK] FI | VLESS | 3878ms
2026-02-27 15:00:47 [INFO]    [PING OK] PL | VLESS | 3805ms
2026-02-27 15:00:47 [INFO]    [PING OK] NL | VLESS | 4032ms
2026-02-27 15:00:47 [INFO]    [PING OK] PL | VLESS | 4125ms
2026-02-27 15:00:48 [INFO]    [PING OK] US | VLESS | 3698ms
2026-02-27 15:00:48 [INFO]    [PING OK] CZ | VLESS | 3778ms
2026-02-27 15:00:48 [INFO]    [PING OK] FR | VLESS | 7826ms
2026-02-27 15:00:49 [INFO]    [PING OK] FI | VLESS | 3608ms
2026-02-27 15:00:50 [INFO]    [PING OK] PL | VLESS | 3950ms
2026-02-27 15:00:50 [INFO]    [PING OK] NL | VLESS | 3921ms
2026-02-27 15:00:50 [INFO]    [PING OK] FI | VLESS | 3735ms
2026-02-27 15:00:50 [INFO]    [PING OK] CZ | VLESS | 3610ms
2026-02-27 15:00:50 [INFO]    [PING OK] HU | VLESS | 3646ms
2026-02-27 15:00:50 [INFO]    [PING OK] PL | VLESS | 3647ms
2026-02-27 15:00:50 [INFO]    [PING OK] NL | VLESS | 3749ms
2026-02-27 15:00:50 [INFO]    [PING OK] FI | VLESS | 3186ms
2026-02-27 15:00:50 [INFO]    [PING OK] PL | VLESS | 3295ms
2026-02-27 15:00:50 [INFO]    [PING OK] DE | VLESS | 3105ms
2026-02-27 15:00:51 [INFO]    [PING OK] NL | VLESS | 3178ms
2026-02-27 15:00:51 [INFO]    [PING OK] CH | VLESS | 3219ms
2026-02-27 15:00:51 [INFO]    [PING OK] NL | VLESS | 3269ms
2026-02-27 15:00:51 [INFO]    [PING OK] FI | VLESS | 3141ms
2026-02-27 15:00:51 [INFO]    [PING OK] LT | VLESS | 3293ms
2026-02-27 15:00:52 [INFO]    [PING OK] NL | VLESS | 6181ms
